product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
Lizol Floor Cleaner 500 g,Home Care,500,485.74,2033.24,Medium,Low,Low,240,Bottle,HDPE Plastic
Coca-Cola Soft Drink 1000 g,Beverages,1000,1342.47,1402.34,Medium,Low,Low,720,Bottle,PET Plastic
Tropicana Juice 1000 g,Beverages,1000,1069.56,1524.26,Medium,Low,Low,180,Bottle,PET Plastic
Maggi Noodles 500 g,Food,500,588.51,1214.85,Medium,Low,Medium,7,Pouch,LDPE Plastic
Haldiram Namkeen 400 g,Food,400,367.92,1472.92,Medium,Low,Medium,180,Pouch,LDPE Plastic
Britannia Curd 400 g,Dairy,400,441.19,1114.17,Medium,High,Medium,365,Pouch,HDPE Plastic
HP Laptop 60 g,Electronics,60,62.37,225.51,High,Low,Low,30,Box,Corrugated Cardboard
Dolo Tablet Pack 30 g,Healthcare,30,36.52,112.98,Medium,High,Low,7,Bottle,HDPE Plastic
Tropicana Juice 60 g,Beverages,60,67.61,123.29,Medium,Low,Low,365,Bottle,PET Plastic
Benadryl Cough Syrup 30 g,Healthcare,30,34.9,50.47,Medium,High,Low,7,Bottle,HDPE Plastic
Britannia Butter 100 g,Dairy,100,100.09,195.44,Medium,High,Medium,180,Pouch,HDPE Plastic
Maaza Mango Drink 100 g,Beverages,100,103.53,377.36,Medium,Low,Low,180,Bottle,PET Plastic
Dabur Body Wash 200 g,Personal Care,200,231.42,341.8,Medium,Low,Low,240,Bottle,HDPE Plastic
Nestlé Namkeen 1000 g,Food,1000,1385.16,1938.8,Medium,Low,Medium,30,Pouch,LDPE Plastic
Amul Milk 400 g,Dairy,400,446.15,401.99,Medium,High,Medium,720,Pouch,HDPE Plastic
Benadryl Cough Syrup 400 g,Healthcare,400,369.05,594.32,Medium,High,Low,180,Bottle,HDPE Plastic
Mi Laptop 500 g,Electronics,500,690.45,2199.35,High,Low,Low,365,Box,Corrugated Cardboard
Sugar Face Cream 400 g,Cosmetics,400,403.57,590.78,High,Low,Low,180,Tube,HDPE Plastic
Dolo Tablet Pack 400 g,Healthcare,400,460.55,617.45,Medium,High,Low,365,Bottle,HDPE Plastic
Dabur Hair Oil 60 g,Personal Care,60,58.32,178.27,Medium,Low,Low,240,Bottle,HDPE Plastic
Pears Body Wash 200 g,Personal Care,200,188.45,868.65,Medium,Low,Low,1825,Bottle,HDPE Plastic
Amul Lassi 100 g,Dairy,100,135.49,358.56,Medium,High,Medium,365,Pouch,HDPE Plastic
Head & Shoulders Shampoo 60 g,Personal Care,60,54.93,77.55,Medium,Low,Low,180,Bottle,HDPE Plastic
Nestlé Namkeen 30 g,Food,30,36.42,93.51,Medium,Low,Medium,720,Pouch,LDPE Plastic
Maaza Mango Drink 30 g,Beverages,30,33.85,31.78,Medium,Low,Low,365,Bottle,PET Plastic
Haldiram Bhujia 2000 g,Food,2000,2052.19,2150.93,Medium,Low,Medium,180,Pouch,LDPE Plastic
Tropicana Juice 500 g,Beverages,500,513.49,1774.95,Medium,Low,Low,180,Bottle,PET Plastic
Amul Lassi 30 g,Dairy,30,34.29,131.95,Medium,High,Medium,7,Pouch,HDPE Plastic
Coca-Cola Soft Drink 400 g,Beverages,400,501.77,742.6,Medium,Low,Low,240,Bottle,PET Plastic
Vim Dishwash Liquid 2000 g,Home Care,2000,2793.97,4462.68,Medium,Low,Low,30,Bottle,HDPE Plastic
Haldiram Chips 400 g,Food,400,550.55,516.26,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Lizol Floor Cleaner 200 g,Home Care,200,229.79,808.35,Medium,Low,Low,240,Bottle,HDPE Plastic
Dabur Body Wash 2000 g,Personal Care,2000,2481.59,4600.1,Medium,Low,Low,720,Bottle,HDPE Plastic
Britannia Cheese 1000 g,Dairy,1000,1058.04,3908.85,Medium,High,Medium,7,Pouch,HDPE Plastic
Lakme Compact 60 g,Cosmetics,60,82.2,91.45,High,Low,Low,7,Tube,HDPE Plastic
Vim Dishwash Liquid 60 g,Home Care,60,65.79,269.73,Medium,Low,Low,365,Bottle,HDPE Plastic
Maggi Noodles 400 g,Food,400,530.85,735.34,Medium,Low,Medium,7,Pouch,LDPE Plastic
Surf Excel Detergent 200 g,Home Care,200,277.1,482.82,Medium,Low,Low,180,Bottle,HDPE Plastic
Coca-Cola Soft Drink 30 g,Beverages,30,41.0,69.61,Medium,Low,Low,365,Bottle,PET Plastic
Milky Mist Buttermilk 2000 g,Dairy,2000,1848.98,8458.15,Medium,High,Medium,30,Pouch,HDPE Plastic
Britannia Cheese 500 g,Dairy,500,520.44,873.12,Medium,High,Medium,720,Pouch,HDPE Plastic
Vim Dishwash Liquid 400 g,Home Care,400,456.64,1309.94,Medium,Low,Low,7,Bottle,HDPE Plastic
Milky Mist Buttermilk 60 g,Dairy,60,60.24,249.12,Medium,High,Medium,240,Pouch,HDPE Plastic
Lay's Chips 60 g,Food,60,63.58,129.76,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Lizol Floor Cleaner 30 g,Home Care,30,33.38,108.77,Medium,Low,Low,1825,Bottle,HDPE Plastic
HP Laptop 30 g,Electronics,30,28.1,127.26,High,Low,Low,1825,Box,Corrugated Cardboard
Head & Shoulders Handwash 100 g,Personal Care,100,121.32,275.45,Medium,Low,Low,240,Bottle,HDPE Plastic
Sugar Lipstick 200 g,Cosmetics,200,234.7,181.67,High,Low,Low,240,Tube,HDPE Plastic
Maggi Noodles 1000 g,Food,1000,1362.58,1639.11,Medium,Low,Medium,7,Pouch,LDPE Plastic
Lakme Compact 1000 g,Cosmetics,1000,999.04,3749.14,High,Low,Low,720,Tube,HDPE Plastic
Lay's Chips 200 g,Food,200,211.17,766.8,Medium,Low,Medium,30,Pouch,LDPE Plastic
Mi Laptop 400 g,Electronics,400,381.8,1242.92,High,Low,Low,365,Box,Corrugated Cardboard
Amul Lassi 1000 g,Dairy,1000,1355.2,1008.74,Medium,High,Medium,365,Pouch,HDPE Plastic
Britannia Butter 200 g,Dairy,200,182.36,601.13,Medium,High,Medium,240,Pouch,HDPE Plastic
Haldiram Chips 500 g,Food,500,497.67,1607.07,Medium,Low,Medium,365,Pouch,LDPE Plastic
Mi Laptop 1000 g,Electronics,1000,1319.56,4444.44,High,Low,Low,240,Box,Corrugated Cardboard
Amul Milk 60 g,Dairy,60,62.39,126.03,Medium,High,Medium,7,Pouch,HDPE Plastic
Maaza Mango Drink 400 g,Beverages,400,524.4,960.03,Medium,Low,Low,7,Bottle,PET Plastic
Mi Laptop 2000 g,Electronics,2000,1993.03,4295.44,High,Low,Low,240,Box,Corrugated Cardboard
Head & Shoulders Handwash 200 g,Personal Care,200,261.18,727.33,Medium,Low,Low,7,Bottle,HDPE Plastic
Dolo Tablet Pack 60 g,Healthcare,60,78.1,61.76,Medium,High,Low,30,Bottle,HDPE Plastic
Haldiram Chips 60 g,Food,60,68.26,260.4,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Benadryl Cough Syrup 2000 g,Healthcare,2000,1932.71,5274.4,Medium,High,Low,7,Bottle,HDPE Plastic
Lay's Chips 100 g,Food,100,102.37,103.95,Medium,Low,Medium,7,Pouch,LDPE Plastic
HP Laptop 100 g,Electronics,100,139.01,406.89,High,Low,Low,7,Box,Corrugated Cardboard
Mi Smartphone 100 g,Electronics,100,110.84,309.51,High,Low,Low,720,Box,Corrugated Cardboard
Britannia Curd 200 g,Dairy,200,212.63,453.09,Medium,High,Medium,30,Pouch,HDPE Plastic
Coca-Cola Soft Drink 2000 g,Beverages,2000,2790.96,2357.26,Medium,Low,Low,240,Bottle,PET Plastic
Coca-Cola Soft Drink 60 g,Beverages,60,65.17,240.28,Medium,Low,Low,240,Bottle,PET Plastic
Surf Excel Detergent 60 g,Home Care,60,73.12,205.55,Medium,Low,Low,180,Bottle,HDPE Plastic
Mi Laptop 60 g,Electronics,60,77.88,195.41,High,Low,Low,30,Box,Corrugated Cardboard
Lay's Chips 400 g,Food,400,441.96,739.29,Medium,Low,Medium,180,Pouch,LDPE Plastic
Dolo Tablet Pack 500 g,Healthcare,500,553.52,433.69,Medium,High,Low,1825,Bottle,HDPE Plastic
Sugar Lipstick 1000 g,Cosmetics,1000,1001.83,821.74,High,Low,Low,30,Tube,HDPE Plastic
Dolo Syrup 1000 g,Healthcare,1000,1188.9,2149.49,Medium,High,Low,1825,Bottle,HDPE Plastic
Amul Milk 30 g,Dairy,30,35.27,95.11,Medium,High,Medium,240,Pouch,HDPE Plastic
Maggi Noodles 100 g,Food,100,107.4,139.87,Medium,Low,Medium,30,Pouch,LDPE Plastic
Haldiram Namkeen 2000 g,Food,2000,2553.56,7461.87,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Dolo Syrup 200 g,Healthcare,200,242.11,614.9,Medium,High,Low,30,Bottle,HDPE Plastic
Mi Smartphone 30 g,Electronics,30,33.0,81.49,High,Low,Low,240,Box,Corrugated Cardboard
Head & Shoulders Shampoo 500 g,Personal Care,500,479.43,1509.11,Medium,Low,Low,365,Bottle,HDPE Plastic
Dabur Shampoo 60 g,Personal Care,60,81.66,117.65,Medium,Low,Low,720,Bottle,HDPE Plastic
Haldiram Chips 100 g,Food,100,139.09,261.99,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Mi Laptop 200 g,Electronics,200,211.91,187.26,High,Low,Low,30,Box,Corrugated Cardboard
Britannia Cheese 60 g,Dairy,60,67.27,87.24,Medium,High,Medium,720,Pouch,HDPE Plastic
Pears Body Wash 400 g,Personal Care,400,487.85,1776.4,Medium,Low,Low,365,Bottle,HDPE Plastic
Benadryl Cough Syrup 100 g,Healthcare,100,114.42,306.63,Medium,High,Low,7,Bottle,HDPE Plastic
Dabur Body Wash 500 g,Personal Care,500,525.93,1367.71,Medium,Low,Low,365,Bottle,HDPE Plastic
Amul Milk 200 g,Dairy,200,250.75,493.63,Medium,High,Medium,7,Pouch,HDPE Plastic
Milky Mist Buttermilk 1000 g,Dairy,1000,1305.79,4378.4,Medium,High,Medium,7,Pouch,HDPE Plastic
Lakme Compact 200 g,Cosmetics,200,196.51,160.3,High,Low,Low,7,Tube,HDPE Plastic
Pears Soap 200 g,Personal Care,200,195.92,834.69,Medium,Low,Low,7,Bottle,HDPE Plastic
HP Laptop 1000 g,Electronics,1000,1322.22,3557.19,High,Low,Low,240,Box,Corrugated Cardboard
Nestlé Namkeen 200 g,Food,200,279.66,353.46,Medium,Low,Medium,720,Pouch,LDPE Plastic
Dabur Hair Oil 400 g,Personal Care,400,502.34,713.66,Medium,Low,Low,365,Bottle,HDPE Plastic
Benadryl Cough Syrup 200 g,Healthcare,200,188.54,535.5,Medium,High,Low,30,Bottle,HDPE Plastic
Lizol Floor Cleaner 100 g,Home Care,100,127.31,200.94,Medium,Low,Low,240,Bottle,HDPE Plastic
Pears Soap 400 g,Personal Care,400,517.84,899.51,Medium,Low,Low,365,Bottle,HDPE Plastic
Lay's Chips 30 g,Food,30,27.4,35.84,Medium,Low,Medium,30,Pouch,LDPE Plastic
Sugar Face Cream 30 g,Cosmetics,30,27.62,100.88,High,Low,Low,720,Tube,HDPE Plastic
Dabur Body Wash 400 g,Personal Care,400,455.42,516.33,Medium,Low,Low,1825,Bottle,HDPE Plastic
Maaza Mango Drink 500 g,Beverages,500,555.94,438.7,Medium,Low,Low,180,Bottle,PET Plastic
Surf Excel Detergent 1000 g,Home Care,1000,915.62,2718.9,Medium,Low,Low,7,Bottle,HDPE Plastic
Dabur Hair Oil 2000 g,Personal Care,2000,1895.69,6744.54,Medium,Low,Low,1825,Bottle,HDPE Plastic
Britannia Curd 500 g,Dairy,500,689.3,1353.01,Medium,High,Medium,365,Pouch,HDPE Plastic
Nestlé Namkeen 500 g,Food,500,538.9,1142.35,Medium,Low,Medium,240,Pouch,LDPE Plastic
Britannia Cheese 200 g,Dairy,200,230.77,357.94,Medium,High,Medium,1825,Pouch,HDPE Plastic
Milky Mist Buttermilk 200 g,Dairy,200,252.32,606.14,Medium,High,Medium,180,Pouch,HDPE Plastic
Amul Cheese 200 g,Dairy,200,205.87,866.68,Medium,High,Medium,7,Pouch,HDPE Plastic
Dolo Tablet Pack 2000 g,Healthcare,2000,1822.12,3503.38,Medium,High,Low,720,Bottle,HDPE Plastic
Dolo Syrup 100 g,Healthcare,100,122.08,247.94,Medium,High,Low,180,Bottle,HDPE Plastic
Britannia Cheese 2000 g,Dairy,2000,2255.19,6199.61,Medium,High,Medium,240,Pouch,HDPE Plastic
Milky Mist Buttermilk 30 g,Dairy,30,32.83,78.37,Medium,High,Medium,7,Pouch,HDPE Plastic
Pears Soap 100 g,Personal Care,100,125.81,431.99,Medium,Low,Low,30,Bottle,HDPE Plastic
Lakme Compact 2000 g,Cosmetics,2000,2010.09,6664.27,High,Low,Low,240,Tube,HDPE Plastic
Head & Shoulders Handwash 500 g,Personal Care,500,511.24,958.37,Medium,Low,Low,240,Bottle,HDPE Plastic
Samsung Mobile Phone 500 g,Electronics,500,488.19,960.86,High,Low,Low,240,Box,Corrugated Cardboard
Dabur Hair Oil 100 g,Personal Care,100,116.53,207.71,Medium,Low,Low,365,Bottle,HDPE Plastic
Head & Shoulders Shampoo 200 g,Personal Care,200,275.18,645.41,Medium,Low,Low,180,Bottle,HDPE Plastic
Maaza Mango Drink 60 g,Beverages,60,74.05,246.45,Medium,Low,Low,1825,Bottle,PET Plastic
Haldiram Namkeen 1000 g,Food,1000,1017.09,1315.55,Medium,Low,Medium,240,Pouch,LDPE Plastic
Samsung Mobile Phone 1000 g,Electronics,1000,1399.98,3301.0,High,Low,Low,30,Box,Corrugated Cardboard
Nestlé Namkeen 100 g,Food,100,91.69,345.73,Medium,Low,Medium,720,Pouch,LDPE Plastic
Britannia Butter 500 g,Dairy,500,535.33,1840.27,Medium,High,Medium,365,Pouch,HDPE Plastic
Sugar Lipstick 60 g,Cosmetics,60,63.93,118.39,High,Low,Low,180,Tube,HDPE Plastic
Lay's Chips 2000 g,Food,2000,2425.28,2886.89,Medium,Low,Medium,720,Pouch,LDPE Plastic
Amul Lassi 60 g,Dairy,60,81.42,193.57,Medium,High,Medium,180,Pouch,HDPE Plastic
Nestlé Namkeen 2000 g,Food,2000,1867.22,6631.72,Medium,Low,Medium,365,Pouch,LDPE Plastic
Pears Soap 30 g,Personal Care,30,37.26,37.51,Medium,Low,Low,1825,Bottle,HDPE Plastic
Nestlé Namkeen 400 g,Food,400,505.89,565.68,Medium,Low,Medium,1825,Pouch,LDPE Plastic
Lakme Compact 30 g,Cosmetics,30,36.33,96.26,High,Low,Low,1825,Tube,HDPE Plastic
Samsung Mobile Phone 2000 g,Electronics,2000,2597.39,3083.19,High,Low,Low,1825,Box,Corrugated Cardboard
Maaza Mango Drink 1000 g,Beverages,1000,1132.66,1564.37,Medium,Low,Low,180,Bottle,PET Plastic
Tropicana Juice 100 g,Beverages,100,130.29,187.22,Medium,Low,Low,365,Bottle,PET Plastic
Maggi Noodles 60 g,Food,60,58.68,180.58,Medium,Low,Medium,180,Pouch,LDPE Plastic
HP Laptop 400 g,Electronics,400,545.1,734.14,High,Low,Low,7,Box,Corrugated Cardboard
Amul Cheese 500 g,Dairy,500,464.82,1422.74,Medium,High,Medium,7,Pouch,HDPE Plastic
Pears Body Wash 30 g,Personal Care,30,28.52,59.26,Medium,Low,Low,7,Bottle,HDPE Plastic
Amul Milk 500 g,Dairy,500,672.18,658.56,Medium,High,Medium,240,Pouch,HDPE Plastic
Milky Mist Buttermilk 100 g,Dairy,100,111.95,135.28,Medium,High,Medium,240,Pouch,HDPE Plastic
Mi Laptop 100 g,Electronics,100,108.0,95.0,High,Low,Low,240,Box,Corrugated Cardboard
Lakme Foundation 400 g,Cosmetics,400,534.56,1732.0,High,Low,Low,240,Tube,HDPE Plastic
Dabur Shampoo 400 g,Personal Care,400,363.54,1207.11,Medium,Low,Low,365,Bottle,HDPE Plastic
HP Laptop 2000 g,Electronics,2000,1902.86,8034.49,High,Low,Low,720,Box,Corrugated Cardboard
Amul Cheese 60 g,Dairy,60,67.95,178.07,Medium,High,Medium,1825,Pouch,HDPE Plastic
Lizol Floor Cleaner 60 g,Home Care,60,66.17,78.4,Medium,Low,Low,365,Bottle,HDPE Plastic
Head & Shoulders Handwash 1000 g,Personal Care,1000,1198.52,3030.32,Medium,Low,Low,7,Bottle,HDPE Plastic
Lakme Foundation 30 g,Cosmetics,30,30.38,70.7,High,Low,Low,240,Tube,HDPE Plastic
Head & Shoulders Handwash 60 g,Personal Care,60,67.99,166.51,Medium,Low,Low,30,Bottle,HDPE Plastic
Surf Excel Detergent 2000 g,Home Care,2000,2618.82,1829.12,Medium,Low,Low,180,Bottle,HDPE Plastic
Lay's Chips 1000 g,Food,1000,1068.51,2104.08,Medium,Low,Medium,720,Pouch,LDPE Plastic
Mi Smartphone 200 g,Electronics,200,189.9,437.07,High,Low,Low,240,Box,Corrugated Cardboard
Amul Lassi 2000 g,Dairy,2000,2201.64,7278.23,Medium,High,Medium,365,Pouch,HDPE Plastic
Sugar Face Cream 500 g,Cosmetics,500,529.52,2210.09,High,Low,Low,1825,Tube,HDPE Plastic
Dolo Tablet Pack 200 g,Healthcare,200,230.49,299.2,Medium,High,Low,30,Bottle,HDPE Plastic
Dabur Shampoo 500 g,Personal Care,500,451.54,2003.93,Medium,Low,Low,240,Bottle,HDPE Plastic
Benadryl Cough Syrup 500 g,Healthcare,500,583.44,1113.36,Medium,High,Low,240,Bottle,HDPE Plastic
Haldiram Namkeen 500 g,Food,500,588.46,1116.62,Medium,Low,Medium,240,Pouch,LDPE Plastic
Vim Dishwash Liquid 1000 g,Home Care,1000,917.46,3257.82,Medium,Low,Low,180,Bottle,HDPE Plastic
Amul Butter 60 g,Dairy,60,59.89,168.96,Medium,High,Medium,1825,Pouch,HDPE Plastic
Lakme Foundation 1000 g,Cosmetics,1000,1088.45,4346.09,High,Low,Low,30,Tube,HDPE Plastic
Dolo Syrup 400 g,Healthcare,400,363.0,1371.84,Medium,High,Low,720,Bottle,HDPE Plastic
Britannia Butter 30 g,Dairy,30,32.5,112.73,Medium,High,Medium,720,Pouch,HDPE Plastic
Lakme Foundation 2000 g,Cosmetics,2000,2048.42,7865.69,High,Low,Low,180,Tube,HDPE Plastic
Dolo Tablet Pack 100 g,Healthcare,100,118.23,164.23,Medium,High,Low,240,Bottle,HDPE Plastic
HP Laptop 200 g,Electronics,200,222.84,538.79,High,Low,Low,1825,Box,Corrugated Cardboard
Samsung Mobile Phone 200 g,Electronics,200,258.39,398.14,High,Low,Low,180,Box,Corrugated Cardboard
Maggi Noodles 200 g,Food,200,187.81,713.11,Medium,Low,Medium,7,Pouch,LDPE Plastic
Sugar Lipstick 100 g,Cosmetics,100,117.56,216.63,High,Low,Low,1825,Tube,HDPE Plastic
Dolo Syrup 2000 g,Healthcare,2000,2222.98,7007.63,Medium,High,Low,180,Bottle,HDPE Plastic
Britannia Curd 60 g,Dairy,60,78.33,61.32,Medium,High,Medium,720,Pouch,HDPE Plastic
Lakme Compact 500 g,Cosmetics,500,570.18,1597.61,High,Low,Low,180,Tube,HDPE Plastic
Mi Smartphone 500 g,Electronics,500,644.04,506.48,High,Low,Low,30,Box,Corrugated Cardboard
Haldiram Bhujia 200 g,Food,200,205.46,302.93,Medium,Low,Medium,240,Pouch,LDPE Plastic
Lizol Floor Cleaner 400 g,Home Care,400,534.75,1310.96,Medium,Low,Low,1825,Bottle,HDPE Plastic
Britannia Curd 2000 g,Dairy,2000,2673.06,7523.36,Medium,High,Medium,7,Pouch,HDPE Plastic
Dabur Face Wash 30 g,Personal Care,30,36.46,104.69,Medium,Low,Low,30,Bottle,HDPE Plastic
Amul Milk 2000 g,Dairy,2000,2204.98,4530.95,Medium,High,Medium,1825,Pouch,HDPE Plastic
Sugar Face Cream 60 g,Cosmetics,60,71.55,115.54,High,Low,Low,180,Tube,HDPE Plastic
Vim Dishwash Liquid 100 g,Home Care,100,121.32,167.65,Medium,Low,Low,7,Bottle,HDPE Plastic
Maggi Noodles 30 g,Food,30,29.82,83.6,Medium,Low,Medium,7,Pouch,LDPE Plastic
Samsung Mobile Phone 100 g,Electronics,100,92.87,233.28,High,Low,Low,7,Box,Corrugated Cardboard
Sugar Face Cream 1000 g,Cosmetics,1000,1278.29,1132.68,High,Low,Low,7,Tube,HDPE Plastic
Sugar Face Cream 100 g,Cosmetics,100,116.42,209.81,High,Low,Low,720,Tube,HDPE Plastic
Maaza Mango Drink 200 g,Beverages,200,243.61,414.73,Medium,Low,Low,1825,Bottle,PET Plastic
Dabur Face Wash 500 g,Personal Care,500,465.0,1443.77,Medium,Low,Low,240,Bottle,HDPE Plastic
Mi Smartphone 2000 g,Electronics,2000,2663.07,8032.56,High,Low,Low,180,Box,Corrugated Cardboard
Pears Soap 2000 g,Personal Care,2000,2343.97,5661.19,Medium,Low,Low,720,Bottle,HDPE Plastic
Head & Shoulders Shampoo 1000 g,Personal Care,1000,1247.09,2000.18,Medium,Low,Low,720,Bottle,HDPE Plastic
Lakme Foundation 100 g,Cosmetics,100,93.29,360.18,High,Low,Low,180,Tube,HDPE Plastic
Surf Excel Detergent 30 g,Home Care,30,37.76,65.71,Medium,Low,Low,7,Bottle,HDPE Plastic
