material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent
66,Jackfruit Seed Bioplastics,Bio-based composite,2.0,2,90.0,88.0,30
67,Durian Rind Composites,Agro-waste composite,3.0,3,88.0,85.0,45
68,Mango Seed Coatings,Bio-based polymer,2.0,2,92.0,87.0,40
69,Papaya Leaf Fibers,Agro-waste fiber,2.0,2,90.0,85.0,50
70,Guava Pomace Fillers,Agro-waste particle,2.0,3,88.0,82.0,55
71,Lentil Hull Composites,Agro-waste composite,3.0,3,85.0,80.0,60
72,Chickpea Straw Pulp,Fiber-based,3.0,3,90.0,85.0,65
73,Soybean Hull Sheets,Agro-waste fiber,3.0,3,88.0,82.0,55
74,Alginate Films (Brown Algae),Bio-based polysaccharide,2.0,2,95.0,93.0,25
75,Carrageenan Wraps (Red Algae),Bio-based polysaccharide,2.0,2,95.0,92.0,25
76,Fucoidan-Based Trays,Bio-based polysaccharide,3.0,3,94.0,91.0,25
77,Pectin Films (Fruit-Derived),Bio-based polysaccharide,2.0,2,92.0,88.0,30
78,Bacterial Cellulose Sheets,Bio-based (microbial),4.0,3,95.0,90.0,20
79,Pullulan Films (Fungal),Bio-based polysaccharide,2.0,2,95.0,92.0,25
80,Xanthan Gum Coatings,Bio-based polysaccharide,2.0,2,90.0,88.0,30
81,Guar Gum Composites,Bio-based polysaccharide,2.0,3,92.0,87.0,35
82,Orange Peel Composites,Agro-waste composite,2.0,2,92.0,88.0,40
83,Lemon Peel Films,Agro-waste polymer,2.0,2,90.0,87.0,35
84,Pomegranate Rind Trays,Agro-waste composite,3.0,3,88.0,85.0,45
85,Grape Pomace Fillers,Agro-waste particle,2.0,3,90.0,86.0,50
86,Tomato Skin Sheets,Agro-waste fiber,2.0,2,92.0,88.0,40
87,Onion Peel Composites,Agro-waste composite,3.0,3,85.0,82.0,55
88,Garlic Husk Padding,Agro-waste particle,2.0,2,88.0,85.0,50
89,Eggshell Calcium Composites,Bio-mineral composite,4.0,4,85.0,80.0,60
90,Crab Shell Chitin Films,Bio-based polysaccharide,3.0,3,90.0,88.0,30
91,Shrimp Shell Chitosan Trays,Bio-based polysaccharide,3.0,3,92.0,89.0,30
92,Fish Scale Bioplastics,Bio-based composite,3.0,3,85.0,85.0,25
93,Feather Keratin Foams,Bio-based protein,2.0,2,90.0,87.0,20
94,Wool Fiber Padding,Natural fiber (animal),3.0,3,85.0,75.0,70
95,Silk Cocoons Composites,Natural fiber (protein),3.0,3,80.0,80.0,40
96,Casein (Milk Protein) Films,Bio-based protein,2.0,2,90.0,82.0,25
97,Gelatin-Based Wraps,Bio-based protein,2.0,2,95.0,85.0,20
98,Collagen Sheets,Bio-based protein,3.0,3,92.0,88.0,30
99,Lignin Foams (Wood Extract),Bio-based polymer,3.0,3,85.0,90.0,40
100,Hemicellulose Films,Bio-based polysaccharide,2.0,2,90.0,88.0,35
101,Glucomannan Noodles/Padding,Bio-based polysaccharide,2.0,3,95.0,87.0,25
102,Locust Bean Gum Trays,Bio-based polysaccharide,2.0,2,92.0,86.0,30
103,Konjac Glucomannan Films,Bio-based polysaccharide,2.0,2,95.0,88.0,25
104,Fungal Keratinase Composites,Bio-based composite,3.0,3,95.0,92.0,20
105,Bacterial Nanocellulose Foams,Bio-based (microbial),4.0,4,95.0,90.0,20
106,Pha From Bacteria (Films),Bio-based polyester,3.0,3,95.0,85.0,25
107,Phb Bottles/Trays,Bio-based polyester,4.0,4,90.0,80.0,30
108,Polyhydroxybutyrate Composites,Bio-based polyester,4.0,4,92.0,82.0,30
109,Spider Silk-Inspired Synthetics,Bio-based protein mimic,5.0,4,85.0,88.0,40
110,Nettle Fiber Bags,Natural fiber,4.0,4,90.0,87.0,55
111,Willow Bark Composites,Lignocellulosic,3.0,3,88.0,85.0,60
