product_id,product_name,product_category,product_weight_g,product_volume_cm3,price_inr,fragility_level,temperature_sensitivity,moisture_sensitivity,shelf_life_days,packaging_format,current_packaging_material
PRD0071,Pears Body Wash 200 g,Personal Care,200,188.45,868.65,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0072,Milky Mist Buttermilk 500 g,Dairy,500,630.17,1314.25,Medium,High,Medium,180,Pouch,HDPE Plastic
PRD0073,Amul Lassi 100 g,Dairy,100,135.49,358.56,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0074,Head & Shoulders Shampoo 60 g,Personal Care,60,54.93,77.55,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0075,Nestlé Namkeen 30 g,Food,30,36.42,93.51,Medium,Low,Medium,720,Pouch,LDPE Plastic
PRD0076,Maaza Mango Drink 30 g,Beverages,30,33.85,31.78,Medium,Low,Low,365,Bottle,PET Plastic
PRD0077,Haldiram Bhujia 2000 g,Food,2000,2052.19,2150.93,Medium,Low,Medium,180,Pouch,LDPE Plastic
PRD0078,Coca-Cola Soft Drink 200 g,Beverages,200,253.98,882.04,Medium,Low,Low,240,Bottle,PET Plastic
PRD0079,Dolo Tablet Pack 400 g,Healthcare,400,513.39,1233.12,Medium,High,Low,720,Bottle,HDPE Plastic
PRD0080,Tropicana Juice 500 g,Beverages,500,513.49,1774.95,Medium,Low,Low,180,Bottle,PET Plastic
PRD0081,Amul Lassi 30 g,Dairy,30,34.29,131.95,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0082,Coca-Cola Soft Drink 400 g,Beverages,400,501.77,742.6,Medium,Low,Low,240,Bottle,PET Plastic
PRD0083,Mi Smartphone 400 g,Electronics,400,555.63,1705.66,High,Low,Low,7,Box,Corrugated Cardboard
PRD0084,Vim Dishwash Liquid 2000 g,Home Care,2000,2793.97,4462.68,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0085,Haldiram Chips 400 g,Food,400,550.55,516.26,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0086,Lizol Floor Cleaner 200 g,Home Care,200,229.79,808.35,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0087,Dabur Body Wash 2000 g,Personal Care,2000,2481.59,4600.1,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0088,Britannia Cheese 1000 g,Dairy,1000,1058.04,3908.85,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0089,Lakme Compact 60 g,Cosmetics,60,82.2,91.45,High,Low,Low,7,Tube,HDPE Plastic
PRD0090,Vim Dishwash Liquid 60 g,Home Care,60,65.79,269.73,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0091,Maggi Noodles 400 g,Food,400,530.85,735.34,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0092,Surf Excel Detergent 200 g,Home Care,200,277.1,482.82,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0093,Maaza Mango Drink 30 g,Beverages,30,39.18,94.03,Medium,Low,Low,365,Bottle,PET Plastic
PRD0094,Coca-Cola Soft Drink 30 g,Beverages,30,41,69.61,Medium,Low,Low,365,Bottle,PET Plastic
PRD0095,Milky Mist Buttermilk 2000 g,Dairy,2000,1848.98,8458.15,Medium,High,Medium,30,Pouch,HDPE Plastic
PRD0096,Britannia Cheese 500 g,Dairy,500,520.44,873.12,Medium,High,Medium,720,Pouch,HDPE Plastic
PRD0097,Vim Dishwash Liquid 400 g,Home Care,400,456.64,1309.94,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0098,Milky Mist Buttermilk 60 g,Dairy,60,60.24,249.12,Medium,High,Medium,240,Pouch,HDPE Plastic
PRD0099,Maaza Mango Drink 2000 g,Beverages,2000,2227.42,5653.61,Medium,Low,Low,30,Bottle,PET Plastic
PRD0100,Lay's Chips 60 g,Food,60,63.58,129.76,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0101,Tropicana Juice 1000 g,Beverages,1000,1106.94,2739.42,Medium,Low,Low,240,Bottle,PET Plastic
PRD0102,Vim Dishwash Liquid 2000 g,Home Care,2000,2077.52,8760.87,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0103,Tropicana Juice 200 g,Beverages,200,218.46,637.89,Medium,Low,Low,240,Bottle,PET Plastic
PRD0104,Lizol Floor Cleaner 30 g,Home Care,30,33.38,108.77,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0105,HP Laptop 30 g,Electronics,30,28.1,127.26,High,Low,Low,1825,Box,Corrugated Cardboard
PRD0106,Samsung Mobile Phone 60 g,Electronics,60,60.71,81.76,High,Low,Low,720,Box,Corrugated Cardboard
PRD0107,Nestlé Namkeen 30 g,Food,30,27.02,37.95,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0108,Head & Shoulders Handwash 100 g,Personal Care,100,121.32,275.45,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0109,Haldiram Chips 400 g,Food,400,464.89,1182.68,Medium,Low,Medium,240,Pouch,LDPE Plastic
PRD0110,Lizol Floor Cleaner 30 g,Home Care,30,35.06,134.6,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0111,Sugar Lipstick 200 g,Cosmetics,200,234.7,181.67,High,Low,Low,240,Tube,HDPE Plastic
PRD0112,Lizol Floor Cleaner 200 g,Home Care,200,229.83,659.1,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0113,Maggi Noodles 1000 g,Food,1000,1362.58,1639.11,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0114,Lakme Compact 1000 g,Cosmetics,1000,999.04,3749.14,High,Low,Low,720,Tube,HDPE Plastic
PRD0115,Lay's Chips 200 g,Food,200,211.17,766.8,Medium,Low,Medium,30,Pouch,LDPE Plastic
PRD0116,Mi Laptop 400 g,Electronics,400,381.8,1242.92,High,Low,Low,365,Box,Corrugated Cardboard
PRD0117,Amul Lassi 1000 g,Dairy,1000,1355.2,1008.74,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0118,Britannia Butter 200 g,Dairy,200,182.36,601.13,Medium,High,Medium,240,Pouch,HDPE Plastic
PRD0119,Head & Shoulders Shampoo 100 g,Personal Care,100,109.67,412.32,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0120,Haldiram Chips 500 g,Food,500,497.67,1607.07,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0121,Mi Laptop 1000 g,Electronics,1000,1319.56,4444.44,High,Low,Low,240,Box,Corrugated Cardboard
PRD0122,Amul Milk 60 g,Dairy,60,62.39,126.03,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0123,Maaza Mango Drink 400 g,Beverages,400,524.4,960.03,Medium,Low,Low,7,Bottle,PET Plastic
PRD0124,Mi Laptop 2000 g,Electronics,2000,1993.03,4295.44,High,Low,Low,240,Box,Corrugated Cardboard
PRD0125,Head & Shoulders Handwash 200 g,Personal Care,200,261.18,727.33,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0126,Dolo Tablet Pack 60 g,Healthcare,60,78.1,61.76,Medium,High,Low,30,Bottle,HDPE Plastic
PRD0127,Maggi Noodles 400 g,Food,400,426.99,1731.57,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0128,Surf Excel Detergent 400 g,Home Care,400,419.48,1387.93,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0129,Haldiram Chips 60 g,Food,60,68.26,260.4,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0130,Benadryl Cough Syrup 2000 g,Healthcare,2000,1932.71,5274.4,Medium,High,Low,7,Bottle,HDPE Plastic
PRD0131,Surf Excel Detergent 200 g,Home Care,200,212.78,396.47,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0132,Lay's Chips 100 g,Food,100,102.37,103.95,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0133,HP Laptop 100 g,Electronics,100,139.01,406.89,High,Low,Low,7,Box,Corrugated Cardboard
PRD0134,Surf Excel Detergent 200 g,Home Care,200,189.64,528.87,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0135,Mi Smartphone 100 g,Electronics,100,110.84,309.51,High,Low,Low,720,Box,Corrugated Cardboard
PRD0136,Coca-Cola Soft Drink 400 g,Beverages,400,418.76,1158.99,Medium,Low,Low,180,Bottle,PET Plastic
PRD0137,Surf Excel Detergent 200 g,Home Care,200,223.94,297.44,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0138,Britannia Curd 200 g,Dairy,200,212.63,453.09,Medium,High,Medium,30,Pouch,HDPE Plastic
PRD0139,Coca-Cola Soft Drink 2000 g,Beverages,2000,2790.96,2357.26,Medium,Low,Low,240,Bottle,PET Plastic
PRD0140,Maaza Mango Drink 30 g,Beverages,30,40.15,49.85,Medium,Low,Low,7,Bottle,PET Plastic
PRD0141,Coca-Cola Soft Drink 60 g,Beverages,60,65.17,240.28,Medium,Low,Low,240,Bottle,PET Plastic
PRD0142,Surf Excel Detergent 60 g,Home Care,60,73.12,205.55,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0143,Tropicana Juice 500 g,Beverages,500,485.34,777.36,Medium,Low,Low,180,Bottle,PET Plastic
PRD0144,Head & Shoulders Shampoo 30 g,Personal Care,30,39.28,69.4,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0145,Milky Mist Buttermilk 60 g,Dairy,60,60.1,224.55,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0146,Mi Laptop 60 g,Electronics,60,77.88,195.41,High,Low,Low,30,Box,Corrugated Cardboard
PRD0147,Lay's Chips 400 g,Food,400,441.96,739.29,Medium,Low,Medium,180,Pouch,LDPE Plastic
PRD0148,Dolo Tablet Pack 500 g,Healthcare,500,553.52,433.69,Medium,High,Low,1825,Bottle,HDPE Plastic
PRD0149,Sugar Lipstick 1000 g,Cosmetics,1000,1001.83,821.74,High,Low,Low,30,Tube,HDPE Plastic
PRD0150,Dolo Syrup 1000 g,Healthcare,1000,1188.9,2149.49,Medium,High,Low,1825,Bottle,HDPE Plastic
PRD0151,Amul Milk 30 g,Dairy,30,35.27,95.11,Medium,High,Medium,240,Pouch,HDPE Plastic
PRD0152,Maggi Noodles 100 g,Food,100,107.4,139.87,Medium,Low,Medium,30,Pouch,LDPE Plastic
PRD0153,Haldiram Namkeen 2000 g,Food,2000,2553.56,7461.87,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0154,Maaza Mango Drink 30 g,Beverages,30,41.63,77.58,Medium,Low,Low,7,Bottle,PET Plastic
PRD0155,Dolo Syrup 200 g,Healthcare,200,242.11,614.9,Medium,High,Low,30,Bottle,HDPE Plastic
PRD0156,Mi Smartphone 30 g,Electronics,30,33,81.49,High,Low,Low,240,Box,Corrugated Cardboard
PRD0157,Sugar Face Cream 200 g,Cosmetics,200,277.07,763.58,High,Low,Low,30,Tube,HDPE Plastic
PRD0158,Head & Shoulders Shampoo 500 g,Personal Care,500,479.43,1509.11,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0159,Surf Excel Detergent 400 g,Home Care,400,476.52,950.09,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0160,Lakme Compact 100 g,Cosmetics,100,91.17,308.99,High,Low,Low,240,Tube,HDPE Plastic
PRD0161,Mi Laptop 2000 g,Electronics,2000,2636.55,7597.92,High,Low,Low,240,Box,Corrugated Cardboard
PRD0162,Haldiram Chips 500 g,Food,500,557.65,569.67,Medium,Low,Medium,240,Pouch,LDPE Plastic
PRD0163,Dabur Shampoo 60 g,Personal Care,60,81.66,117.65,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0164,Haldiram Bhujia 1000 g,Food,1000,1226.37,3701.7,Medium,Low,Medium,7,Pouch,LDPE Plastic
PRD0165,Haldiram Chips 100 g,Food,100,139.09,261.99,Medium,Low,Medium,1825,Pouch,LDPE Plastic
PRD0166,Milky Mist Buttermilk 60 g,Dairy,60,78.99,183.52,Medium,High,Medium,180,Pouch,HDPE Plastic
PRD0167,Britannia Curd 400 g,Dairy,400,541.01,995.48,Medium,High,Medium,180,Pouch,HDPE Plastic
PRD0168,Mi Laptop 200 g,Electronics,200,211.91,187.26,High,Low,Low,30,Box,Corrugated Cardboard
PRD0169,Dolo Tablet Pack 500 g,Healthcare,500,673.85,712.17,Medium,High,Low,1825,Bottle,HDPE Plastic
PRD0170,Lizol Floor Cleaner 500 g,Home Care,500,691.54,1238.12,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0171,Maggi Noodles 500 g,Food,500,516.19,2232.42,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0172,Britannia Cheese 60 g,Dairy,60,67.27,87.24,Medium,High,Medium,720,Pouch,HDPE Plastic
PRD0173,Pears Body Wash 400 g,Personal Care,400,487.85,1776.4,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0174,Sugar Face Cream 200 g,Cosmetics,200,194.94,615.88,High,Low,Low,240,Tube,HDPE Plastic
PRD0175,Benadryl Cough Syrup 100 g,Healthcare,100,114.42,306.63,Medium,High,Low,7,Bottle,HDPE Plastic
PRD0176,Dabur Body Wash 500 g,Personal Care,500,525.93,1367.71,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0177,Maaza Mango Drink 100 g,Beverages,100,100.21,310.85,Medium,Low,Low,240,Bottle,PET Plastic
PRD0178,Amul Milk 200 g,Dairy,200,250.75,493.63,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0179,Milky Mist Buttermilk 1000 g,Dairy,1000,1305.79,4378.4,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0180,Lakme Compact 200 g,Cosmetics,200,196.51,160.3,High,Low,Low,7,Tube,HDPE Plastic
PRD0181,Pears Soap 200 g,Personal Care,200,195.92,834.69,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0182,Head & Shoulders Shampoo 100 g,Personal Care,100,110.66,271.76,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0183,Dolo Tablet Pack 60 g,Healthcare,60,63.01,58.76,Medium,High,Low,720,Bottle,HDPE Plastic
PRD0184,HP Laptop 1000 g,Electronics,1000,1322.22,3557.19,High,Low,Low,240,Box,Corrugated Cardboard
PRD0185,Nestlé Namkeen 200 g,Food,200,279.66,353.46,Medium,Low,Medium,720,Pouch,LDPE Plastic
PRD0186,Dabur Hair Oil 400 g,Personal Care,400,502.34,713.66,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0187,Benadryl Cough Syrup 200 g,Healthcare,200,188.54,535.5,Medium,High,Low,30,Bottle,HDPE Plastic
PRD0188,Lizol Floor Cleaner 100 g,Home Care,100,127.31,200.94,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0189,Sugar Lipstick 2000 g,Cosmetics,2000,2272.14,5526.58,High,Low,Low,7,Tube,HDPE Plastic
PRD0190,Pears Soap 400 g,Personal Care,400,517.84,899.51,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0191,Lay's Chips 30 g,Food,30,27.4,35.84,Medium,Low,Medium,30,Pouch,LDPE Plastic
PRD0192,Sugar Face Cream 30 g,Cosmetics,30,27.62,100.88,High,Low,Low,720,Tube,HDPE Plastic
PRD0193,Head & Shoulders Shampoo 30 g,Personal Care,30,27.99,89.54,Medium,Low,Low,180,Bottle,HDPE Plastic
PRD0194,Coca-Cola Soft Drink 1000 g,Beverages,1000,953.56,1561.18,Medium,Low,Low,7,Bottle,PET Plastic
PRD0195,Dabur Body Wash 400 g,Personal Care,400,455.42,516.33,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0196,Maaza Mango Drink 500 g,Beverages,500,555.94,438.7,Medium,Low,Low,180,Bottle,PET Plastic
PRD0197,Lizol Floor Cleaner 500 g,Home Care,500,642.31,1513.72,Medium,Low,Low,240,Bottle,HDPE Plastic
PRD0198,Surf Excel Detergent 1000 g,Home Care,1000,915.62,2718.9,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0199,Lakme Foundation 200 g,Cosmetics,200,251.44,772.59,High,Low,Low,365,Tube,HDPE Plastic
PRD0200,Lizol Floor Cleaner 30 g,Home Care,30,34.85,56.01,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0201,Dabur Hair Oil 2000 g,Personal Care,2000,1895.69,6744.54,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0202,Britannia Curd 500 g,Dairy,500,689.3,1353.01,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0203,Britannia Butter 200 g,Dairy,200,229.83,241.34,Medium,High,Medium,720,Pouch,HDPE Plastic
PRD0204,Nestlé Namkeen 500 g,Food,500,538.9,1142.35,Medium,Low,Medium,240,Pouch,LDPE Plastic
PRD0205,Nestlé Namkeen 500 g,Food,500,501.53,886.91,Medium,Low,Medium,365,Pouch,LDPE Plastic
PRD0206,Britannia Curd 200 g,Dairy,200,274.39,253.89,Medium,High,Medium,365,Pouch,HDPE Plastic
PRD0207,Pears Body Wash 100 g,Personal Care,100,133.4,246.61,Medium,Low,Low,365,Bottle,HDPE Plastic
PRD0208,Sugar Lipstick 2000 g,Cosmetics,2000,2489.06,3503.38,High,Low,Low,30,Tube,HDPE Plastic
PRD0209,Britannia Cheese 200 g,Dairy,200,230.77,357.94,Medium,High,Medium,1825,Pouch,HDPE Plastic
PRD0210,Milky Mist Buttermilk 200 g,Dairy,200,252.32,606.14,Medium,High,Medium,180,Pouch,HDPE Plastic
PRD0211,Amul Cheese 200 g,Dairy,200,205.87,866.68,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0212,Milky Mist Buttermilk 200 g,Dairy,200,218.42,888.04,Medium,High,Medium,1825,Pouch,HDPE Plastic
PRD0213,Surf Excel Detergent 1000 g,Home Care,1000,1036.91,1204.33,Medium,Low,Low,7,Bottle,HDPE Plastic
PRD0214,Lizol Floor Cleaner 2000 g,Home Care,2000,1833.93,4552.76,Medium,Low,Low,1825,Bottle,HDPE Plastic
PRD0215,Dolo Tablet Pack 2000 g,Healthcare,2000,1822.12,3503.38,Medium,High,Low,720,Bottle,HDPE Plastic
PRD0216,Dolo Syrup 1000 g,Healthcare,1000,1250.58,2973.48,Medium,High,Low,720,Bottle,HDPE Plastic
PRD0217,Dolo Syrup 100 g,Healthcare,100,122.08,247.94,Medium,High,Low,180,Bottle,HDPE Plastic
PRD0218,Surf Excel Detergent 1000 g,Home Care,1000,1021.2,2280.49,Medium,Low,Low,720,Bottle,HDPE Plastic
PRD0219,Britannia Cheese 2000 g,Dairy,2000,2255.19,6199.61,Medium,High,Medium,240,Pouch,HDPE Plastic
PRD0220,Milky Mist Buttermilk 30 g,Dairy,30,32.83,78.37,Medium,High,Medium,7,Pouch,HDPE Plastic
PRD0221,Pears Soap 100 g,Personal Care,100,125.81,431.99,Medium,Low,Low,30,Bottle,HDPE Plastic
PRD0222,Sugar Lipstick 200 g,Cosmetics,200,251.73,539.02,High,Low,Low,720,Tube,HDPE Plastic
PRD0223,Lakme Compact 2000 g,Cosmetics,2000,2010.09,6664.27,High,Low,Low,240,Tube,HDPE Plastic
