"product_name","sector","main_packaging_material","material_name","material_suitability_score"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sugarcane Pulp Trays","17.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Apple Pomace Films","14.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Bamboo Leaf Sheets","15.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Reed Fiber Padding","16.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Esparto Grass Composites","15.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Typha (Cattail) Fiber","15.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Kenaf Fiber Molded","17.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Ramie Fiber Bags","16.5"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Coir Pith Blocks","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Areca Palm Leaf Plates","14.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sal Leaf Plates","15.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Sago Palm Starch Films","15.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Jackfruit Seed Bioplastics","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Durian Rind Composites","15.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Mango Seed Coatings","15.0"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Papaya Leaf Fibers","15.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Guava Pomace Fillers","16.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Lentil Hull Composites","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Chickpea Straw Pulp","17.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Soybean Hull Sheets","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Alginate Films (Brown Algae)","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Carrageenan Wraps (Red Algae)","13.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Fucoidan-Based Trays","13.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pectin Films (Fruit-Derived)","13.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Bacterial Cellulose Sheets","14.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pullulan Films (Fungal)","13.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Xanthan Gum Coatings","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Guar Gum Composites","14.5"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Orange Peel Composites","14.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Lemon Peel Films","13.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pomegranate Rind Trays","15.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Grape Pomace Fillers","15.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Tomato Skin Sheets","14.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Onion Peel Composites","15.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Garlic Husk Padding","15.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Eggshell Calcium Composites","17.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Crab Shell Chitin Films","13.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Shrimp Shell Chitosan Trays","14.0"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Fish Scale Bioplastics","12.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Feather Keratin Foams","12.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Wool Fiber Padding","18.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Silk Cocoons Composites","13.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Casein (Milk Protein) Films","13.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Gelatin-Based Wraps","14.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Collagen Sheets","14.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Lignin Foams (Wood Extract)","12.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Hemicellulose Films","13.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Glucomannan Noodles/Padding","14.4"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Locust Bean Gum Trays","14.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Konjac Glucomannan Films","14.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Fungal Keratinase Composites","13.3"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Bacterial Nanocellulose Foams","14.1"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Pha From Bacteria (Films)","15.2"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Phb Bottles/Trays","15.6"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Polyhydroxybutyrate Composites","15.8"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Spider Silk-Inspired Synthetics","13.9"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Nettle Fiber Bags","16.7"
"Smartphone box","Electronics","Recycled cardboard box + molded pulp tray","Willow Bark Composites","16.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Recycled Cardboard / Paperboard","20.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Molded Pulp (Recycled Paper Fiber)","19.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Kraft Paper Wraps, Paper Padding","20.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Starch-Based Foams/Peanuts","15.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Mycelium-Based Molded Packaging","13.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Bagasse, Wheat-Straw, Other Agri Fibers","17.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pla Bioplastic (Films, Rigid)","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Other Compostable Bioplastics (Pha, Pbs)","14.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cellulose / Seaweed Bio-Films","13.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pcr Pet (Bottles, Trays)","-3.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pcr Hdpe/Ldpe","-3.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Glass (Bottles, Jars, Vials)","-0.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Aluminium Cans / Tins","-0.5"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Bamboo (Components, Shells)","15.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cork, Wood, Wood-Composites","17.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cotton/Jute Textile Bags","20.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Hemp Fiber Molded Packaging","17.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sugarcane Bagasse Sheets","17.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Rice Husk Composites","14.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Chitin/Chitosan Films (Mushroom/Shell)","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Recycled Steel Tins","-1.0"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pcr Pp (Polypropylene) Trays","-5.0"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Beeswax-Coated Paper","14.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Seaweed-Based Rigid Trays","13.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Newspaper Honeycomb Inserts","19.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Algae-Based Plastics","12.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cellophane Films","16.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cornstarch-Based Bioplastic Trays","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Coconut Coir Padding","16.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Palm Leaf Trays","14.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Banana Fiber Composites","15.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Cassava Starch Foams","14.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Beet Pulp Molded Pulp","17.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Carrot Pulp Trays","14.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Tapioca-Based Films","16.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Corn Cob Fillers","16.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Peanut Shell Composites","14.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sorghum Stalk Padding","15.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Flax Fiber Bags","17.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sisal Fiber Wraps","16.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Abaca (Manila Hemp) Sheets","17.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Kapok Fiber Cushions","13.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pineapple Leaf Fibers (Piña)","15.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Coffee Husk Composites","14.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Olive Stone Fillers","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Date Palm Composites","17.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Avocado Seed Bioplastics","12.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Mushroom Root (Mycelium Variants)","13.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Agar-Agar Films (Seaweed Binder)","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Wheat Bran Sheets","18.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Barley Straw Pulp","19.0"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Maize Cob Composites","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Potato Starch Foams","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sugarcane Pulp Trays","17.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Apple Pomace Films","14.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Bamboo Leaf Sheets","15.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Reed Fiber Padding","16.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Esparto Grass Composites","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Typha (Cattail) Fiber","15.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Kenaf Fiber Molded","17.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Ramie Fiber Bags","16.5"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Coir Pith Blocks","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Areca Palm Leaf Plates","14.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sal Leaf Plates","15.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Sago Palm Starch Films","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Jackfruit Seed Bioplastics","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Durian Rind Composites","15.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Mango Seed Coatings","15.0"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Papaya Leaf Fibers","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Guava Pomace Fillers","16.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Lentil Hull Composites","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Chickpea Straw Pulp","17.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Soybean Hull Sheets","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Alginate Films (Brown Algae)","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Carrageenan Wraps (Red Algae)","13.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Fucoidan-Based Trays","13.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pectin Films (Fruit-Derived)","13.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Bacterial Cellulose Sheets","14.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pullulan Films (Fungal)","13.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Xanthan Gum Coatings","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Guar Gum Composites","14.5"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Orange Peel Composites","14.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Lemon Peel Films","13.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pomegranate Rind Trays","15.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Grape Pomace Fillers","15.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Tomato Skin Sheets","14.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Onion Peel Composites","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Garlic Husk Padding","15.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Eggshell Calcium Composites","17.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Crab Shell Chitin Films","13.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Shrimp Shell Chitosan Trays","14.0"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Fish Scale Bioplastics","12.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Feather Keratin Foams","12.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Wool Fiber Padding","18.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Silk Cocoons Composites","13.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Casein (Milk Protein) Films","13.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Gelatin-Based Wraps","14.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Collagen Sheets","14.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Lignin Foams (Wood Extract)","12.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Hemicellulose Films","13.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Glucomannan Noodles/Padding","14.4"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Locust Bean Gum Trays","14.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Konjac Glucomannan Films","14.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Fungal Keratinase Composites","13.3"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Bacterial Nanocellulose Foams","14.1"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Pha From Bacteria (Films)","15.2"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Phb Bottles/Trays","15.6"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Polyhydroxybutyrate Composites","15.8"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Spider Silk-Inspired Synthetics","13.9"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Nettle Fiber Bags","16.7"
"Laptop shipping pack","Electronics","Heavy corrugated cardboard + paper padding","Willow Bark Composites","16.6"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Recycled Cardboard / Paperboard","20.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Molded Pulp (Recycled Paper Fiber)","19.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Kraft Paper Wraps, Paper Padding","20.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Starch-Based Foams/Peanuts","15.3"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Mycelium-Based Molded Packaging","13.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Bagasse, Wheat-Straw, Other Agri Fibers","17.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Pla Bioplastic (Films, Rigid)","13.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Other Compostable Bioplastics (Pha, Pbs)","14.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cellulose / Seaweed Bio-Films","13.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Pcr Pet (Bottles, Trays)","-3.4"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Pcr Hdpe/Ldpe","-3.9"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Glass (Bottles, Jars, Vials)","-0.4"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Aluminium Cans / Tins","-0.5"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Bamboo (Components, Shells)","15.6"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cork, Wood, Wood-Composites","17.6"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cotton/Jute Textile Bags","20.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Hemp Fiber Molded Packaging","17.1"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Sugarcane Bagasse Sheets","17.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Rice Husk Composites","14.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Chitin/Chitosan Films (Mushroom/Shell)","13.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Recycled Steel Tins","-1.0"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Pcr Pp (Polypropylene) Trays","-5.0"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Beeswax-Coated Paper","14.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Seaweed-Based Rigid Trays","13.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Newspaper Honeycomb Inserts","19.6"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Algae-Based Plastics","12.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cellophane Films","16.3"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cornstarch-Based Bioplastic Trays","16.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Coconut Coir Padding","16.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Palm Leaf Trays","14.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Banana Fiber Composites","15.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Cassava Starch Foams","14.9"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Beet Pulp Molded Pulp","17.1"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Carrot Pulp Trays","14.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Tapioca-Based Films","16.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Corn Cob Fillers","16.8"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Peanut Shell Composites","14.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Sorghum Stalk Padding","15.9"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Flax Fiber Bags","17.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Sisal Fiber Wraps","16.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Abaca (Manila Hemp) Sheets","17.1"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Kapok Fiber Cushions","13.9"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Pineapple Leaf Fibers (Piña)","15.1"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Coffee Husk Composites","14.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Olive Stone Fillers","16.7"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Date Palm Composites","17.2"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Avocado Seed Bioplastics","12.9"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Mushroom Root (Mycelium Variants)","13.3"
"Earbuds/headphones retail box","Electronics","Folding boxboard + paper insert","Agar-Agar Films (Seaweed Binder)","13.2"
