Material_Type,Strength,Weight_Capacity,Product_Category,Fragility_Level,Shipping_Type,Recyclability_Percentage,Biodegradability_Score,CO2_Emission_Score,Cost_Per_Unit,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
steel sae 1137,669,13.38,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.166666666666664,3.611834862385321
steel sae 1137,584,11.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.44444444444444,3.2141284403669723
steel sae 1137,1082,21.64,electronics,High,International,65.0,0.4,200.0,18.0,1.0,60.111111111111114,5.544220183486239
steel sae 1141,676,13.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.55555555555556,3.6445871559633027
steel sae 1141,707,14.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,39.27777777777778,3.7896330275229357
steel sae 1141,598,11.96,electronics,High,International,65.0,0.4,200.0,18.0,1.0,33.22222222222222,3.279633027522936
steel sae 1141,1634,32.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,90.77777777777777,8.126972477064221
steel sae 1144,703,14.06,electronics,High,International,65.0,0.4,200.0,18.0,1.0,39.05555555555556,3.77091743119266
steel sae 1144,667,13.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.05555555555556,3.6024770642201838
steel sae 1144,584,11.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.44444444444444,3.2141284403669723
steel sae 1144,876,17.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,48.666666666666664,4.580366972477064
steel sae 1340,836,16.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,46.44444444444444,4.393211009174312
steel sae 1340,703,14.06,electronics,High,International,65.0,0.4,200.0,18.0,1.0,39.05555555555556,3.77091743119266
steel sae 1340,1806,36.12,electronics,High,International,65.0,0.4,200.0,18.0,1.0,100.33333333333333,8.931743119266054
steel sae 3140,891,17.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,49.5,4.650550458715596
steel sae 3140,689,13.780000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,38.27777777777778,3.705412844036697
steel sae 4037,1027,20.54,electronics,High,International,65.0,0.4,200.0,18.0,1.0,57.05555555555556,5.286880733944954
steel sae 4042,1800,36.0,electronics,High,International,65.0,0.4,200.0,18.0,1.0,100.0,8.903669724770642
steel sae 4130,669,13.38,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.166666666666664,3.611834862385321
steel sae 4130,560,11.200000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,31.11111111111111,3.101834862385321
steel sae 4130,1627,32.54,electronics,High,International,65.0,0.4,200.0,18.0,1.0,90.38888888888889,8.094220183486238
steel sae 4140,1020,20.400000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,56.666666666666664,5.254128440366973
steel sae 4140,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
steel sae 4140,1772,35.44,electronics,High,International,65.0,0.4,200.0,18.0,1.0,98.44444444444444,8.772660550458715
steel sae 4150,1155,23.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,64.16666666666667,5.885779816513761
steel sae 4150,729,14.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,40.5,3.8925688073394498
steel sae 4150,1931,38.62,electronics,High,International,65.0,0.4,200.0,18.0,1.0,107.27777777777777,9.516605504587156
steel sae 4320,793,15.860000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,44.05555555555556,4.192018348623853
steel sae 4320,579,11.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.166666666666664,3.1907339449541285
steel sae 4340,1279,25.580000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,71.05555555555556,6.465963302752293
steel sae 4340,745,14.9,electronics,High,International,65.0,0.4,200.0,18.0,1.0,41.388888888888886,3.9674311926605506
steel sae 4340,1875,37.5,electronics,High,International,65.0,0.4,200.0,18.0,1.0,104.16666666666667,9.254587155963304
steel sae 4620,574,11.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,31.88888888888889,3.1673394495412843
steel sae 4620,512,10.24,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.444444444444443,2.8772477064220183
steel sae 4820,755,15.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,41.94444444444444,4.0142201834862385
steel sae 4820,681,13.620000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.833333333333336,3.667981651376147
steel sae 5046,1744,34.88,electronics,High,International,65.0,0.4,200.0,18.0,1.0,96.88888888888889,8.64165137614679
steel sae 5130,1613,32.26,electronics,High,International,65.0,0.4,200.0,18.0,1.0,89.61111111111111,8.028715596330276
steel sae 5140,793,15.860000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,44.05555555555556,4.192018348623853
steel sae 5140,572,11.44,electronics,High,International,65.0,0.4,200.0,18.0,1.0,31.77777777777778,3.157981651376147
steel sae 5140,1793,35.86,electronics,High,International,65.0,0.4,200.0,18.0,1.0,99.61111111111111,8.87091743119266
steel sae 5150,870,17.400000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,48.333333333333336,4.552293577981652
steel sae 5150,676,13.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.55555555555556,3.6445871559633027
steel sae 5150,1944,38.88,electronics,High,International,65.0,0.4,200.0,18.0,1.0,108.0,9.577431192660551
steel sae 5160,957,19.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,53.166666666666664,4.959357798165137
steel sae 5160,722,14.44,electronics,High,International,65.0,0.4,200.0,18.0,1.0,40.111111111111114,3.859816513761468
steel sae 5160,2220,44.4,electronics,High,International,65.0,0.4,200.0,18.0,1.0,123.33333333333333,10.868807339449543
steel sae 6150,939,18.78,electronics,High,International,65.0,0.4,200.0,18.0,1.0,52.166666666666664,4.875137614678899
steel sae 6150,667,13.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,37.05555555555556,3.6024770642201838
steel sae 6150,1931,38.62,electronics,High,International,65.0,0.4,200.0,18.0,1.0,107.27777777777777,9.516605504587156
steel sae 8620,633,12.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,35.166666666666664,3.4433944954128437
steel sae 8620,536,10.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,29.77777777777778,2.98954128440367
steel sae 8630,650,13.0,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.111111111111114,3.522935779816514
steel sae 8630,564,11.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,31.333333333333332,3.1205504587155963
steel sae 8630,1641,32.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,91.16666666666667,8.159724770642201
steel sae 8640,1862,37.24,electronics,High,International,65.0,0.4,200.0,18.0,1.0,103.44444444444444,9.193761467889908
steel sae 8650,1024,20.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,56.888888888888886,5.272844036697248
steel sae 8650,715,14.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,39.72222222222222,3.827064220183486
steel sae 8650,1937,38.74,electronics,High,International,65.0,0.4,200.0,18.0,1.0,107.61111111111111,9.544678899082568
steel sae 8660,1634,32.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,90.77777777777777,8.126972477064221
steel sae 8740,929,18.580000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,51.611111111111114,4.828348623853211
steel sae 8740,695,13.9,electronics,High,International,65.0,0.4,200.0,18.0,1.0,38.611111111111114,3.73348623853211
steel sae 8740,1999,39.980000000000004,electronics,High,International,65.0,0.4,200.0,18.0,1.0,111.05555555555556,9.834770642201835
steel sae 9255,933,18.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,51.833333333333336,4.847064220183485
steel sae 9255,774,15.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,43.0,4.103119266055046
steel sae 9255,2103,42.06,electronics,High,International,65.0,0.4,200.0,18.0,1.0,116.83333333333333,10.32137614678899
steel sae 9260,1758,35.160000000000004,electronics,High,International,65.0,0.4,200.0,18.0,1.0,97.66666666666667,8.707155963302753
steel sae 9310,907,18.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,50.388888888888886,4.725412844036697
steel sae 9310,820,16.4,electronics,High,International,65.0,0.4,200.0,18.0,1.0,45.55555555555556,4.318348623853211
steel sae 30201,793,15.860000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,44.05555555555556,4.192018348623853
steel sae 30201,862,17.240000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.888888888888886,4.514862385321101
steel sae 30201,1034,20.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,57.44444444444444,5.319633027522936
steel sae 30201,1207,24.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,67.05555555555556,6.12908256880734
steel sae 30201,1276,25.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,70.88888888888889,6.451926605504587
steel sae 30202,724,14.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,40.22222222222222,3.8691743119266055
steel sae 30202,862,17.240000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.888888888888886,4.514862385321101
steel sae 30301,758,15.16,electronics,High,International,65.0,0.4,200.0,18.0,1.0,42.111111111111114,4.028256880733945
steel sae 30301,862,17.240000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.888888888888886,4.514862385321101
steel sae 30301,1034,20.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,57.44444444444444,5.319633027522936
steel sae 30301,1207,24.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,67.05555555555556,6.12908256880734
steel sae 30301,1276,25.52,electronics,High,International,65.0,0.4,200.0,18.0,1.0,70.88888888888889,6.451926605504587
steel sae 30302,621,12.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.5,3.387247706422018
steel sae 30302,862,17.240000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.888888888888886,4.514862385321101
steel sae 30302b,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
steel sae 30303,621,12.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.5,3.387247706422018
steel sae 30304,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
steel sae 30304l,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
steel sae 30305,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
steel sae 30308,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
steel sae 30309,621,12.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.5,3.387247706422018
steel sae 30310,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
steel sae 30314,689,13.780000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,38.27777777777778,3.705412844036697
steel sae 30316,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
steel sae 30316l,538,10.76,electronics,High,International,65.0,0.4,200.0,18.0,1.0,29.88888888888889,2.998899082568807
steel sae 30317,621,12.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,34.5,3.387247706422018
steel sae 30321,600,12.0,electronics,High,International,65.0,0.4,200.0,18.0,1.0,33.333333333333336,3.2889908256880735
steel sae 30347,634,12.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,35.22222222222222,3.4480733944954127
steel sae 30348,634,12.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,35.22222222222222,3.4480733944954127
steel sae 51403,517,10.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.72222222222222,2.9006422018348625
steel sae 51403,1310,26.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,72.77777777777777,6.611009174311927
steel sae 51405,483,9.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.833333333333332,2.7415596330275234
steel sae 51410,517,10.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.72222222222222,2.9006422018348625
steel sae 51410,1310,26.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,72.77777777777777,6.611009174311927
steel sae 51414,827,16.54,electronics,High,International,65.0,0.4,200.0,18.0,1.0,45.94444444444444,4.351100917431192
steel sae 51414,1379,27.580000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,76.61111111111111,6.933853211009174
steel sae 51416,517,10.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.72222222222222,2.9006422018348625
steel sae 51416,1310,26.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,72.77777777777777,6.611009174311927
steel sae 51420,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
steel sae 51420,1586,31.720000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,88.11111111111111,7.902385321100917
steel sae 51430,517,10.34,electronics,High,International,65.0,0.4,200.0,18.0,1.0,28.72222222222222,2.9006422018348625
steel sae 51430f,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
steel sae 51431,862,17.240000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,47.888888888888886,4.514862385321101
steel sae 51431,1413,28.26,electronics,High,International,65.0,0.4,200.0,18.0,1.0,78.5,7.092935779816513
steel sae 51440a,724,14.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,40.22222222222222,3.8691743119266055
steel sae 51440a,1793,35.86,electronics,High,International,65.0,0.4,200.0,18.0,1.0,99.61111111111111,8.87091743119266
steel sae 51440c,758,15.16,electronics,High,International,65.0,0.4,200.0,18.0,1.0,42.111111111111114,4.028256880733945
steel sae 51440c,1965,39.300000000000004,electronics,High,International,65.0,0.4,200.0,18.0,1.0,109.16666666666667,9.675688073394497
steel sae 51446,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
steel sae 51501,483,9.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.833333333333332,2.7415596330275234
steel sae 51502,483,9.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.833333333333332,2.7415596330275234
grey cast iron class 20,138,2.7600000000000002,electronics,High,International,65.0,0.4,200.0,18.0,1.0,7.666666666666667,1.1273394495412843
grey cast iron class 25,172,3.44,electronics,High,International,65.0,0.4,200.0,18.0,1.0,9.555555555555555,1.286422018348624
grey cast iron class 30,207,4.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,11.5,1.450183486238532
grey cast iron class 35,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
grey cast iron class 40,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
grey cast iron class 50,345,6.9,electronics,High,International,65.0,0.4,200.0,18.0,1.0,19.166666666666668,2.0958715596330273
grey cast iron class 60,414,8.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.0,2.418715596330275
malleable cast iron,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
malleable cast iron,414,8.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.0,2.418715596330275
malleable cast iron,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
malleable cast iron,689,13.780000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,38.27777777777778,3.705412844036697
nodular cast iron,414,8.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.0,2.418715596330275
nodular cast iron,552,11.040000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,30.666666666666668,3.0644036697247703
nodular cast iron,689,13.780000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,38.27777777777778,3.705412844036697
nodular cast iron,827,16.54,electronics,High,International,65.0,0.4,200.0,18.0,1.0,45.94444444444444,4.351100917431192
copper alloy c80100,172,3.44,electronics,High,International,65.0,0.4,200.0,18.0,1.0,9.555555555555555,1.286422018348624
high-copper alloy c81300,365,7.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,20.27777777777778,2.1894495412844037
high-copper alloy c81500,352,7.04,electronics,High,International,65.0,0.4,200.0,18.0,1.0,19.555555555555557,2.128623853211009
high-copper alloy c81700,634,12.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,35.22222222222222,3.4480733944954127
red brass c83300,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
red brass c83400,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
red brass c83600,255,5.1000000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,14.166666666666666,1.674770642201835
red brass c83800,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
semi-red brass c84200,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
semi-red brass c84400,234,4.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.0,1.57651376146789
semi-red brass c84500,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
semi-red brass c84800,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
yellow brass c85200,262,5.24,electronics,High,International,65.0,0.4,200.0,18.0,1.0,14.555555555555555,1.7075229357798165
yellow brass c85400,234,4.68,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.0,1.57651376146789
yellow brass c85500,414,8.28,electronics,High,International,65.0,0.4,200.0,18.0,1.0,23.0,2.418715596330275
yellow brass c85700,345,6.9,electronics,High,International,65.0,0.4,200.0,18.0,1.0,19.166666666666668,2.0958715596330273
yellow brass c85800,379,7.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,21.055555555555557,2.254954128440367
manganese bronze c86100,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
manganese bronze c86200,655,13.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,36.388888888888886,3.5463302752293577
manganese bronze c86300,793,15.860000000000001,electronics,High,International,65.0,0.4,200.0,18.0,1.0,44.05555555555556,4.192018348623853
manganese bronze c86400,448,8.96,electronics,High,International,65.0,0.4,200.0,18.0,1.0,24.88888888888889,2.5777981651376147
manganese bronze c86500,490,9.8,electronics,High,International,65.0,0.4,200.0,18.0,1.0,27.22222222222222,2.7743119266055043
manganese bronze c86700,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
manganese bronze c86800,565,11.3,electronics,High,International,65.0,0.4,200.0,18.0,1.0,31.38888888888889,3.125229357798165
silicon brass c87200,379,7.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,21.055555555555557,2.254954128440367
silicon bronze c87400,379,7.58,electronics,High,International,65.0,0.4,200.0,18.0,1.0,21.055555555555557,2.254954128440367
silicon bronze c87500,462,9.24,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.666666666666668,2.643302752293578
silicon bronze c87600,455,9.1,electronics,High,International,65.0,0.4,200.0,18.0,1.0,25.27777777777778,2.6105504587155965
silicon bronze c87800,586,11.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,32.55555555555556,3.2234862385321104
silicon bronze c87900,483,9.66,electronics,High,International,65.0,0.4,200.0,18.0,1.0,26.833333333333332,2.7415596330275234
tin bronze c90200,262,5.24,electronics,High,International,65.0,0.4,200.0,18.0,1.0,14.555555555555555,1.7075229357798165
tin bronze c90300,310,6.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,17.22222222222222,1.9321100917431193
tin bronze c90500,310,6.2,electronics,High,International,65.0,0.4,200.0,18.0,1.0,17.22222222222222,1.9321100917431193
tin bronze c90700,303,6.0600000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.833333333333332,1.8993577981651377
tin bronze c90900,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
tin bronze c91000,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
tin bronze c91100,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
tin bronze c91300,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
tin bronze c91600,303,6.0600000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.833333333333332,1.8993577981651377
tin bronze c91700,303,6.0600000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.833333333333332,1.8993577981651377
leaded tin bronze c92200,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
leaded tin bronze c92300,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
leaded tin bronze c92500,303,6.0600000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.833333333333332,1.8993577981651377
leaded tin bronze c92600,303,6.0600000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.833333333333332,1.8993577981651377
leaded tin bronze c92700,290,5.8,electronics,High,International,65.0,0.4,200.0,18.0,1.0,16.11111111111111,1.838532110091743
leaded tin bronze c92800,276,5.5200000000000005,electronics,High,International,65.0,0.4,200.0,18.0,1.0,15.333333333333334,1.7730275229357797
leaded tin bronze c92900,324,6.48,electronics,High,International,65.0,0.4,200.0,18.0,1.0,18.0,1.9976146788990827
high leaded tin bronze c93200,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
high leaded tin bronze c93400,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
high leaded tin bronze c93500,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
high leaded tin bronze c93700,241,4.82,electronics,High,International,65.0,0.4,200.0,18.0,1.0,13.38888888888889,1.6092660550458715
high leaded tin bronze c93800,207,4.14,electronics,High,International,65.0,0.4,200.0,18.0,1.0,11.5,1.450183486238532
high leaded tin bronze c93900,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
high leaded tin bronze c94300,186,3.72,electronics,High,International,65.0,0.4,200.0,18.0,1.0,10.333333333333334,1.3519266055045873
high leaded tin bronze c94400,221,4.42,electronics,High,International,65.0,0.4,200.0,18.0,1.0,12.277777777777779,1.5156880733944953
