product_id,product_name,product_category,weight_kg,fragility_level,moisture_sensitivity,temperature_sensitivity,food_grade_required,shelf_life_days,shape_type,value_category,fragility_score,risk_score,weight_log,shelf_life_months
P025,Medical Face Masks – Variant 1,Stationery,0.9,Medium,High,Low,No,956,Round,Medium,,,0.6418538861723948,31.866666666666667
P026,Disposable Syringes – Variant 1,Cosmetics,4.01,Medium,Low,Low,Yes,1527,Rectangular,High,,,1.6114359150967734,50.9
P027,Hand Sanitizer Bottle – Variant 1,Cosmetics,1.9,Medium,Low,High,No,152,Foldable,High,,,1.0647107369924282,5.066666666666666
P028,Latex Gloves – Variant 1,Pharmaceuticals,4.45,Low,High,High,Yes,1070,Foldable,High,,,1.6956156086751528,35.666666666666664
P029,Digital Thermometer – Variant 1,Electronics,3.21,Medium,High,Medium,No,365,Round,Low,,,1.43746264769429,12.166666666666666
P030,First Aid Kit – Variant 1,Cosmetics,2.98,Low,High,Medium,No,458,Flat,Low,,,1.3812818192963463,15.266666666666667
P031,Liquid Detergent Bottle – Variant 1,Home Goods,3.03,Medium,High,Low,Yes,1271,Rectangular,Low,,,1.3937663759585914,42.36666666666667
P032,Laundry Powder Pack – Variant 1,Apparel,1.21,High,High,Low,No,365,Rectangular,Medium,,,0.7929925155296614,12.166666666666666
P033,Dishwashing Liquid – Variant 1,Electronics,3.58,Low,Low,High,No,1809,Flat,High,,,1.5216989981260935,60.3
P034,Surface Cleaner Spray – Variant 1,Apparel,0.32,Medium,High,High,Yes,77,Pouch,Medium,,,0.2776317365982795,2.566666666666667
P035,Floor Cleaner Can – Variant 1,Pharmaceuticals,1.86,High,High,Medium,Yes,1609,Foldable,Medium,,,1.0508216248317612,53.63333333333333
P036,Fabric Softener Bottle – Variant 1,Cosmetics,4.5,Medium,High,Medium,No,1747,Round,Medium,,,1.7047480922384253,58.233333333333334
P037,Bleach Liquid Can – Variant 1,Food,4.74,High,Medium,High,No,1923,Cylindrical,High,,,1.747459210331475,64.1
P038,Glass Cleaner Spray – Variant 1,FMCG,4.49,Medium,Low,Medium,Yes,244,Flat,Low,,,1.7029282555214393,8.133333333333333
P039,Toilet Cleaner Bottle – Variant 1,Food,4.81,Medium,Medium,Medium,No,717,Foldable,High,,,1.7595805708638197,23.9
P040,Air Freshener Can – Variant 1,Food,3.32,Medium,High,Medium,Yes,1958,Cylindrical,High,,,1.463255402256019,65.26666666666667
P041,Shampoo Bottle – Variant 1,Apparel,3.69,High,Medium,Medium,Yes,1636,Round,Low,,,1.5454325824581878,54.53333333333333
P042,Hair Conditioner – Variant 1,Apparel,3.45,Low,High,High,Yes,1459,Rectangular,Medium,,,1.4929040961781488,48.63333333333333
P043,Body Wash Bottle – Variant 1,FMCG,3.94,Medium,Medium,Low,No,306,Round,High,,,1.597365331199831,10.2
P044,Hand Soap Dispenser – Variant 1,Food,0.68,High,High,Medium,Yes,1876,Rectangular,Low,,,0.5187937934151675,62.53333333333333
P045,Face Cream Jar – Variant 1,Food,2.51,High,Low,High,No,1108,Foldable,High,,,1.2556160374777743,36.93333333333333
P046,Sunscreen Lotion – Variant 1,FMCG,2.89,High,High,Low,No,1213,Flat,Medium,,,1.358409157630355,40.43333333333333
P047,Toothpaste Tube – Variant 1,Pharmaceuticals,4.82,Low,Medium,High,Yes,12,Rectangular,Medium,,,1.7613002617433464,0.4
P048,Mouthwash Bottle – Variant 1,Electronics,4.45,Low,Low,High,Yes,964,Round,Low,,,1.6956156086751528,32.13333333333333
P049,Deodorant Spray – Variant 1,Apparel,4.43,Medium,Low,High,Yes,801,Foldable,Low,,,1.691939133945844,26.7
P050,Perfume Bottle – Variant 1,Pharmaceuticals,3.02,Low,Low,High,No,76,Pouch,High,,,1.3912819026309295,2.533333333333333
P051,Smartphone Box – Variant 1,Cosmetics,3.94,Medium,Medium,Medium,No,1806,Flat,Medium,,,1.597365331199831,60.2
P052,Organic Tomato Sauce – Variant 2,Glassware,0.93,High,Medium,Low,Yes,601,Rectangular,High,,,0.6575200029167941,20.033333333333335
P053,Basmati Rice Pack – Variant 2,Food,3.48,Low,Medium,Medium,Yes,942,Round,High,,,1.4996230464268938,31.4
P054,Frozen Chicken Nuggets – Variant 2,Electronics,0.96,Low,Medium,Medium,No,1747,Cylindrical,High,,,0.6729444732424258,58.233333333333334
P055,Almond Milk Carton – Variant 2,Home Goods,2.69,High,High,Medium,Yes,1488,Cylindrical,Medium,,,1.3056264580524357,49.6
P056,Whole Wheat Bread – Variant 2,Home Goods,2.39,Low,Low,High,Yes,83,Round,Low,,,1.220829921392359,2.7666666666666666
P057,Olive Oil Bottle – Variant 2,Medical Supplies,2.53,Low,Medium,Medium,Yes,1113,Cylindrical,High,,,1.2612978709452054,37.1
P058,Chocolate Biscuit Pack – Variant 2,Medical Supplies,4.59,High,Medium,Medium,Yes,1477,Round,High,,,1.7209792871670078,49.233333333333334
P059,Instant Noodles Cup – Variant 2,Pharmaceuticals,3.25,Low,Low,Low,Yes,999,Flat,Medium,,,1.4469189829363254,33.3
P060,Breakfast Cereal Box – Variant 2,FMCG,4.28,High,High,Low,No,136,Flat,Medium,,,1.6639260977181702,4.533333333333333
P061,Honey Bottle – Variant 2,Apparel,4.24,Medium,Medium,Low,Yes,413,Foldable,High,,,1.6563214983329508,13.766666666666667
P062,Canned Tuna – Variant 2,Apparel,0.57,Medium,Medium,Medium,No,995,Foldable,Medium,,,0.4510756193602166,33.166666666666664
P063,Peanut Butter Jar – Variant 2,Cosmetics,4.13,Medium,High,Medium,No,356,Cylindrical,High,,,1.6351056591826783,11.866666666666667
P064,Yogurt Tub – Variant 2,Glassware,2.83,Medium,Medium,High,No,1245,Flat,Medium,,,1.3428648031925547,41.5
P065,Cheddar Cheese Block – Variant 2,Food,1.06,Medium,Medium,Medium,Yes,1613,Flat,High,,,0.7227059828014898,53.766666666666666
P066,Butter Pack – Variant 2,Cosmetics,0.39,High,Medium,Low,Yes,426,Cylindrical,Low,,,0.3293037471426004,14.2
P067,Green Tea Sachets – Variant 2,FMCG,0.49,Medium,Low,High,No,660,Cylindrical,High,,,0.3987761199573678,22.0
P068,Ground Coffee Pouch – Variant 2,Food,1.38,Medium,Low,Medium,No,1283,Pouch,Medium,,,0.8671004876833833,42.766666666666666
P069,Sugar Paper Bag – Variant 2,Cosmetics,1.68,Low,High,High,No,106,Foldable,High,,,0.9858167945227653,3.533333333333333
P070,Salt Shaker – Variant 2,FMCG,1.22,Low,Low,Medium,No,1671,Foldable,High,,,0.7975071958841881,55.7
P071,Spice Masala Box – Variant 2,Medical Supplies,3.68,High,Medium,Medium,No,1237,Foldable,Low,,,1.5432981099295553,41.233333333333334
P072,Pain Relief Tablets – Variant 2,Glassware,0.85,Medium,High,Low,No,1789,Round,Medium,,,0.6151856390902334,59.63333333333333
P073,Vitamin Capsules – Variant 2,Stationery,3.61,High,Medium,Medium,Yes,1279,Round,High,,,1.528227857008557,42.63333333333333
P074,Cough Syrup Bottle – Variant 2,FMCG,4.47,Medium,Low,Low,Yes,1307,Cylindrical,High,,,1.6992786164338898,43.56666666666667
P075,Antibiotic Strip – Variant 2,Food,0.49,High,High,High,Yes,911,Pouch,Low,,,0.3987761199573678,30.366666666666667
P076,Medical Face Masks – Variant 2,Cosmetics,4.09,Low,Low,High,No,1385,Foldable,Low,,,1.6272778305624314,46.166666666666664
P077,Disposable Syringes – Variant 2,Glassware,3.67,Low,High,Low,Yes,1502,Foldable,High,,,1.541159071680806,50.06666666666667
P078,Hand Sanitizer Bottle – Variant 2,Apparel,2.36,Medium,High,Medium,Yes,1642,Round,Low,,,1.2119409739751128,54.733333333333334
P079,Latex Gloves – Variant 2,Electronics,4.97,Medium,Medium,Low,No,172,Flat,Low,,,1.7867469274045107,5.733333333333333
P080,Digital Thermometer – Variant 2,Cosmetics,3.66,Medium,Medium,Medium,Yes,1882,Flat,Low,,,1.5390154481375546,62.733333333333334
P081,First Aid Kit – Variant 2,Stationery,4.95,High,Medium,Medium,No,1881,Rectangular,Low,,,1.7833912195575383,62.7
P082,Liquid Detergent Bottle – Variant 2,Pharmaceuticals,2.72,High,High,High,Yes,1799,Pouch,Medium,,,1.3137236682850553,59.96666666666667
P083,Laundry Powder Pack – Variant 2,Home Goods,0.26,Low,Medium,High,Yes,1882,Cylindrical,Medium,,,0.23111172096338664,62.733333333333334
P084,Dishwashing Liquid – Variant 2,FMCG,4.89,Medium,High,High,No,708,Foldable,Medium,,,1.7732559976634952,23.6
P085,Surface Cleaner Spray – Variant 2,Home Goods,1.66,High,Medium,Low,Yes,1810,Foldable,Low,,,0.9783261227936076,60.333333333333336
P086,Floor Cleaner Can – Variant 2,Food,1.33,Medium,Low,Medium,No,1482,Rectangular,Medium,,,0.8458682675776092,49.4
P087,Fabric Softener Bottle – Variant 2,Medical Supplies,3.38,Low,Low,Medium,No,854,Round,Low,,,1.4770487243883548,28.466666666666665
P088,Bleach Liquid Can – Variant 2,Stationery,2.79,Low,High,High,No,1425,Flat,High,,,1.332366019094335,47.5
P089,Glass Cleaner Spray – Variant 2,Apparel,3.61,Medium,High,High,No,1577,Flat,High,,,1.528227857008557,52.56666666666667
P090,Toilet Cleaner Bottle – Variant 2,Medical Supplies,3.35,High,High,Medium,Yes,692,Round,Medium,,,1.4701758451005926,23.066666666666666
P091,Air Freshener Can – Variant 2,Electronics,1.55,High,Low,Medium,Yes,1669,Flat,Low,,,0.9360933591703349,55.63333333333333
P092,Shampoo Bottle – Variant 2,Medical Supplies,0.53,Low,Medium,High,Yes,1683,Rectangular,Low,,,0.4252677354043441,56.1
P093,Hair Conditioner – Variant 2,Home Goods,3.65,High,High,Low,No,1699,Round,High,,,1.536867219599265,56.63333333333333
P094,Body Wash Bottle – Variant 2,Home Goods,2.41,Low,High,Low,No,256,Pouch,High,,,1.2267122912954254,8.533333333333333
P095,Hand Soap Dispenser – Variant 2,Food,3.83,High,Low,Low,No,771,Cylindrical,High,,,1.5748464676644813,25.7
P096,Face Cream Jar – Variant 2,Medical Supplies,2.83,Medium,High,Low,No,617,Rectangular,Medium,,,1.3428648031925547,20.566666666666666
P097,Sunscreen Lotion – Variant 2,Food,1.33,Medium,Medium,Medium,No,453,Rectangular,Medium,,,0.8458682675776092,15.1
P098,Toothpaste Tube – Variant 2,Pharmaceuticals,4.33,High,Medium,Medium,Yes,452,Cylindrical,Low,,,1.673351238177753,15.066666666666666
P099,Mouthwash Bottle – Variant 2,Pharmaceuticals,0.21,Medium,High,Medium,No,482,Round,High,,,0.19062035960864973,16.066666666666666
P100,Deodorant Spray – Variant 2,Glassware,3.48,High,High,Medium,No,1536,Cylindrical,High,,,1.4996230464268938,51.2
