material_name,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_kg,recyclability_percent,cost_per_unit_usd,moisture_resistance,heat_resistance,industry_standard,reuse_cycles,compostable
Mushroom Packaging Variant 114,8,39.31,9,0.99,91,0.68,Medium,Medium,General,2,No
Mushroom Packaging Variant 115,7,1.16,5,0.61,95,0.76,High,Low,Electronics,3,No
Bamboo Fiber Variant 116,5,34.75,1,4.7,75,0.49,Medium,High,Food,3,No
Aluminum Variant 117,5,37.25,4,1.71,77,0.59,Low,Low,Electronics,3,Yes
Palm Leaf Variant 118,6,36.41,10,4.84,45,1.76,Low,High,General,5,Yes
Palm Leaf Variant 119,10,7.93,5,2.63,59,1.64,Medium,High,General,1,Yes
Bagasse Fiber Variant 120,6,28.74,8,5.92,88,0.52,Medium,High,Electronics,2,No
Glass Variant 121,5,38.06,9,4.85,72,0.41,High,Medium,Cosmetics,5,Yes
Kraft Paper Variant 122,10,46.95,10,0.35,73,1.03,Medium,Medium,Food,5,No
Recycled PET Variant 123,6,23.85,3,3.21,80,1.87,Low,Medium,Cosmetics,4,No
Palm Leaf Variant 124,9,17.64,10,1.81,71,2.39,High,Low,Cosmetics,4,No
Aluminum Variant 125,6,7.73,4,3.66,56,0.3,Low,Medium,Electronics,3,No
Recycled Paper Variant 126,7,34.25,1,3.0,74,1.43,Low,High,General,3,Yes
Bagasse Fiber Variant 127,6,42.43,3,3.73,90,0.34,High,Low,Food,3,No
Corrugated Cardboard Variant 128,8,36.0,7,3.66,66,1.23,High,High,Cosmetics,5,No
Aluminum Variant 129,6,41.45,3,4.29,93,0.23,High,Low,General,3,Yes
Aluminum Variant 130,5,17.32,1,3.26,44,1.49,Medium,Medium,General,3,Yes
Bagasse Fiber Variant 131,6,45.02,3,3.63,97,0.64,Low,Low,General,2,Yes
Palm Leaf Variant 132,9,42.78,3,2.48,59,1.8,Medium,Medium,Cosmetics,4,Yes
Aluminum Variant 133,9,9.62,9,1.57,52,0.91,High,Low,General,1,No
Bamboo Fiber Variant 134,4,20.24,9,3.91,56,2.5,Low,High,Cosmetics,2,Yes
Molded Pulp Variant 135,9,20.03,5,0.27,100,2.34,High,Low,Electronics,4,No
Bagasse Fiber Variant 136,9,6.82,5,5.43,82,0.98,Low,Low,General,1,No
Glass Variant 137,7,29.07,3,4.54,92,0.95,Low,Low,General,2,Yes
Steel Variant 138,4,8.6,8,5.22,79,1.79,Low,Low,General,3,No
Glass Variant 139,10,29.72,9,3.16,77,1.53,Medium,Low,General,4,Yes
Recycled PET Variant 140,9,25.45,9,5.32,85,0.58,High,Low,Food,1,Yes
Glass Variant 141,10,10.66,10,3.47,81,1.66,Low,Medium,Food,5,No
Recycled Paper Variant 142,9,32.87,7,3.63,66,0.79,Low,High,Cosmetics,5,No
Aluminum Variant 143,9,30.92,7,4.52,40,1.19,Medium,Low,Electronics,4,Yes
Palm Leaf Variant 144,6,40.55,9,2.17,59,0.78,Low,High,Food,5,No
Biodegradable Plastic (PLA) Variant 145,7,25.85,1,3.05,41,0.87,Medium,High,General,4,No
Palm Leaf Variant 146,8,20.04,9,5.54,41,2.08,Low,Low,Electronics,3,Yes
Aluminum Variant 147,4,12.34,10,3.49,94,1.16,High,Low,Food,1,Yes
Kraft Paper Variant 148,6,29.5,8,4.38,64,2.17,High,Medium,Electronics,5,Yes
Corrugated Cardboard Variant 149,5,31.58,6,2.72,65,0.34,High,High,Food,1,No
Kraft Paper Variant 150,5,33.4,9,2.92,88,1.51,Medium,High,General,3,No
Corrugated Cardboard Variant 151,7,21.24,4,0.33,54,1.33,High,Low,Electronics,1,Yes
Molded Pulp Variant 152,8,15.61,1,1.74,94,1.63,Low,Medium,Cosmetics,3,No
Aluminum Variant 153,8,45.26,2,3.32,70,1.47,Medium,Low,General,3,Yes
Molded Pulp Variant 154,10,26.05,7,2.93,91,1.78,High,Medium,Electronics,4,Yes
Bamboo Fiber Variant 155,6,6.93,8,2.24,54,1.61,Low,Low,Electronics,3,No
Recycled Paper Variant 156,4,37.11,10,3.57,62,1.76,Low,Low,Cosmetics,3,Yes
Biodegradable Plastic (PLA) Variant 157,5,29.06,3,4.34,91,0.53,Low,Medium,Electronics,3,No
Steel Variant 158,8,12.17,9,0.91,98,1.87,Medium,Medium,Cosmetics,1,Yes
Wooden Crate Variant 159,8,13.38,2,4.49,87,2.18,Low,High,Food,4,No
Palm Leaf Variant 160,9,48.05,6,0.74,76,0.91,Medium,Medium,General,3,No
Wooden Crate Variant 161,10,14.58,10,2.45,50,1.89,Low,Medium,Food,5,No
Bagasse Fiber Variant 162,8,2.61,10,4.29,49,2.1,Low,Medium,Electronics,5,Yes
Wooden Crate Variant 163,5,35.53,6,0.26,57,1.25,Medium,High,Food,2,Yes
Corrugated Cardboard Variant 164,10,30.09,6,0.54,78,2.28,Medium,Medium,General,4,No
Mushroom Packaging Variant 165,9,34.34,7,4.58,66,1.62,High,Medium,Cosmetics,1,Yes
Recycled Paper Variant 166,7,1.22,8,3.08,89,2.18,Medium,Medium,Cosmetics,4,No
Biodegradable Plastic (PLA) Variant 167,7,9.58,8,3.77,67,0.39,High,High,General,4,No
Mushroom Packaging Variant 168,4,25.4,3,5.41,89,2.19,High,Medium,Electronics,2,No
Wooden Crate Variant 169,5,40.96,9,3.73,78,1.67,Low,High,General,5,Yes
Recycled PET Variant 170,9,35.76,10,5.1,52,0.25,Medium,High,Electronics,5,No
Steel Variant 171,10,34.19,10,0.35,78,0.53,High,Low,Cosmetics,4,No
Glass Variant 172,4,26.37,6,5.84,48,1.17,Low,High,Cosmetics,4,Yes
Aluminum Variant 173,8,49.53,9,0.97,75,0.81,Medium,High,Electronics,2,No
Recycled PET Variant 174,5,36.59,4,3.66,87,2.24,Low,High,Cosmetics,3,Yes
Corrugated Cardboard Variant 175,7,49.47,1,2.39,90,1.69,Low,Low,Electronics,3,Yes
Palm Leaf Variant 176,6,38.64,4,5.99,72,1.33,Low,High,Food,4,Yes
Biodegradable Plastic (PLA) Variant 177,7,11.49,3,5.7,74,0.38,Medium,High,Food,3,Yes
Bagasse Fiber Variant 178,5,49.6,2,0.27,89,2.3,Low,Medium,Cosmetics,2,No
Bagasse Fiber Variant 179,4,5.92,9,4.68,100,1.16,Low,Medium,General,5,No
Corrugated Cardboard Variant 180,7,31.2,10,0.82,66,1.53,High,Medium,Food,5,No
Bagasse Fiber Variant 181,10,33.3,7,4.1,43,1.08,Low,Low,General,5,No
Recycled Paper Variant 182,5,3.36,9,3.13,97,2.31,Medium,Medium,Food,3,No
Wooden Crate Variant 183,5,37.86,8,0.99,81,1.36,High,Medium,General,1,No
Mushroom Packaging Variant 184,9,48.71,10,3.54,69,1.62,Medium,Low,Cosmetics,2,No
Corrugated Cardboard Variant 185,5,16.96,3,4.65,45,2.07,Low,Medium,General,4,No
Kraft Paper Variant 186,9,5.18,10,2.88,62,1.67,Low,Medium,General,4,Yes
Mushroom Packaging Variant 187,6,36.34,2,3.94,87,0.69,High,High,General,3,No
Biodegradable Plastic (PLA) Variant 188,6,32.91,10,4.54,88,0.41,Low,Medium,General,5,Yes
Corrugated Cardboard Variant 189,10,17.78,9,3.04,81,1.84,Medium,High,Cosmetics,3,No
Mushroom Packaging Variant 190,4,3.0,6,5.3,73,1.78,High,Low,Food,4,Yes
Molded Pulp Variant 191,8,37.89,6,3.62,70,2.4,Low,Medium,Cosmetics,1,No
Glass Variant 192,6,2.86,6,3.61,66,1.97,Low,Low,Electronics,2,Yes
Steel Variant 193,6,15.71,3,4.78,45,0.6,Medium,High,Cosmetics,3,Yes
Cornstarch Packaging Variant 194,8,26.87,1,4.79,73,0.64,High,Low,Cosmetics,5,Yes
Corrugated Cardboard Variant 195,8,9.93,1,2.19,94,2.21,High,Low,Cosmetics,4,No
Bamboo Fiber Variant 196,4,16.6,2,5.04,57,0.53,High,Low,Electronics,1,No
Recycled Paper Variant 197,4,28.87,8,3.67,91,0.97,Medium,Low,Food,3,Yes
Cornstarch Packaging Variant 198,7,16.25,2,0.7,45,2.35,Low,Medium,Electronics,4,Yes
Wooden Crate Variant 199,4,24.53,10,0.52,93,1.32,High,Medium,Electronics,4,Yes
Biodegradable Plastic (PLA) Variant 200,5,6.06,10,4.84,93,2.06,Medium,High,Food,3,Yes
Recycled PET Variant 201,9,23.66,10,4.97,62,1.1,Low,Medium,Electronics,2,Yes
Aluminum Variant 202,10,47.18,3,1.86,52,1.26,Medium,High,Cosmetics,1,No
Palm Leaf Variant 203,4,47.09,10,0.65,46,2.39,Medium,Low,Food,3,Yes
Bagasse Fiber Variant 204,10,36.44,10,1.91,96,2.43,Medium,Medium,General,5,No
Mushroom Packaging Variant 205,10,36.12,4,4.56,72,1.15,High,Low,Food,5,No
Glass Variant 206,4,31.19,9,1.66,90,1.2,Low,Medium,General,2,No
Recycled PET Variant 207,10,6.32,1,4.46,59,0.88,Medium,Low,General,4,Yes
Recycled Paper Variant 208,5,32.23,8,0.45,72,2.11,Medium,Medium,Electronics,4,No
Molded Pulp Variant 209,8,35.89,10,5.36,74,0.92,Low,Low,Electronics,2,No
Bamboo Fiber Variant 210,9,44.64,4,1.69,82,0.41,Low,High,General,4,No
Aluminum Variant 211,10,14.52,5,3.64,79,2.19,Low,Medium,Food,2,No
Steel Variant 212,8,38.44,6,0.23,75,2.48,High,High,General,3,Yes
Bamboo Fiber Variant 213,8,33.97,5,5.18,69,0.31,Medium,Low,Cosmetics,3,Yes
Wooden Crate Variant 214,5,46.21,6,5.58,92,0.24,Low,Low,Electronics,2,No
Mushroom Packaging Variant 215,8,8.97,2,5.26,91,1.68,Low,High,Cosmetics,3,No
Palm Leaf Variant 216,5,42.71,2,2.57,98,2.23,Medium,Low,Food,1,Yes
Bamboo Fiber Variant 217,4,3.3,4,4.49,89,1.56,Medium,Low,Cosmetics,3,No
Aluminum Variant 218,4,32.39,8,4.61,100,1.43,Low,High,Food,4,Yes
Molded Pulp Variant 219,6,47.59,3,1.69,86,1.32,Low,Medium,General,2,Yes
Palm Leaf Variant 220,6,36.11,6,5.3,56,1.05,High,Medium,Food,1,No
Glass Variant 221,7,48.06,3,1.44,85,1.91,High,Medium,General,3,No
Bagasse Fiber Variant 222,6,12.08,9,1.65,73,1.78,Medium,Medium,Electronics,5,Yes
Cornstarch Packaging Variant 223,8,5.26,7,2.59,50,0.43,High,High,Electronics,4,Yes
Glass Variant 224,7,43.3,6,1.38,98,0.57,Medium,Medium,General,2,No
Kraft Paper Variant 225,8,29.84,4,3.94,52,1.16,Low,High,Cosmetics,4,Yes
Recycled Paper Variant 226,10,9.65,9,3.74,97,1.93,Low,Medium,General,4,Yes
Recycled PET Variant 227,5,4.66,8,3.95,59,2.2,Low,High,Food,1,Yes
Kraft Paper Variant 228,6,29.84,10,5.65,91,1.04,High,High,Food,4,Yes
Recycled PET Variant 229,10,3.12,10,4.93,90,2.22,Low,High,General,1,Yes
Glass Variant 230,5,28.82,9,1.03,41,1.3,Medium,Medium,Electronics,5,Yes
Bamboo Fiber Variant 231,6,13.05,1,3.15,55,2.05,High,Medium,Electronics,4,Yes
Cornstarch Packaging Variant 232,7,12.29,8,0.44,40,2.24,High,High,General,1,No
Molded Pulp Variant 233,10,37.61,9,3.51,80,2.34,Low,Medium,Cosmetics,4,Yes
Biodegradable Plastic (PLA) Variant 234,4,44.71,7,3.33,99,0.31,Low,Low,General,5,Yes
Biodegradable Plastic (PLA) Variant 235,8,45.54,4,0.31,78,2.31,Low,Low,Electronics,4,Yes
Recycled Paper Variant 236,10,22.69,2,0.77,73,1.68,High,Low,General,1,No
Mushroom Packaging Variant 237,9,41.8,7,0.5,67,1.47,Medium,Medium,Food,4,No
Bagasse Fiber Variant 238,8,31.67,5,2.48,53,2.01,High,Medium,Food,3,Yes
Mushroom Packaging Variant 239,5,47.69,8,0.85,79,1.32,Low,Medium,General,5,Yes
Aluminum Variant 240,5,6.76,6,2.57,42,1.47,Medium,High,Food,5,Yes
Molded Pulp Variant 241,6,30.95,3,3.34,51,0.92,High,Low,Electronics,2,No
Recycled Paper Variant 242,9,9.63,9,5.49,68,2.43,Low,Medium,Electronics,5,No
Wooden Crate Variant 243,8,30.08,2,3.51,64,1.14,Medium,Low,Cosmetics,4,No
Steel Variant 244,7,45.28,8,3.66,45,0.45,Medium,High,Cosmetics,1,Yes
Steel Variant 245,9,17.92,4,3.19,75,0.71,Low,High,Electronics,3,No
Recycled Paper Variant 246,6,12.88,4,2.05,42,1.33,Medium,Medium,Electronics,3,No
Molded Pulp Variant 247,8,46.29,5,0.64,66,1.17,High,Medium,Cosmetics,5,Yes
Recycled Paper Variant 248,5,21.14,7,3.15,67,1.14,High,High,Electronics,4,Yes
Recycled Paper Variant 249,8,10.34,8,5.77,82,1.47,High,Medium,Cosmetics,4,No
Wooden Crate Variant 250,8,29.42,6,2.31,90,0.46,Low,High,Food,5,No
Bagasse Fiber Variant 251,4,10.91,5,4.51,52,1.22,Medium,Medium,Food,5,No
Molded Pulp Variant 252,5,31.13,10,4.09,89,2.48,High,Low,Electronics,3,Yes
Recycled Paper Variant 253,4,34.97,4,2.03,77,1.48,High,Low,Electronics,3,Yes
Glass Variant 254,7,9.92,3,2.13,85,0.31,High,High,Electronics,5,Yes
Wooden Crate Variant 255,10,38.05,2,0.67,60,1.43,Low,Low,Cosmetics,5,No
Biodegradable Plastic (PLA) Variant 256,10,25.66,9,4.25,71,1.85,Medium,High,General,5,Yes
Wooden Crate Variant 257,5,2.76,9,3.42,43,1.63,Medium,Medium,General,2,No
Recycled Paper Variant 258,10,37.68,4,2.42,54,0.82,Low,Low,Cosmetics,4,No
Bamboo Fiber Variant 259,5,47.67,6,5.57,40,0.61,High,Medium,Food,3,Yes
Kraft Paper Variant 260,4,25.55,2,5.14,56,1.79,Low,High,Food,5,Yes
Recycled Paper Variant 261,8,17.66,4,0.3,57,1.93,Medium,Medium,Food,3,No
Aluminum Variant 262,8,26.65,4,0.77,84,1.89,High,Low,Electronics,2,Yes
Palm Leaf Variant 263,8,31.35,3,4.71,72,2.37,Medium,Low,Electronics,1,Yes
Cornstarch Packaging Variant 264,7,13.36,5,2.57,40,1.47,High,Medium,Cosmetics,5,No
Bamboo Fiber Variant 265,10,12.01,5,2.76,93,2.15,Medium,High,General,3,Yes
Steel Variant 266,6,28.44,3,2.48,44,2.05,Low,High,Cosmetics,1,Yes
Bamboo Fiber Variant 267,8,23.71,3,0.69,40,2.3,Medium,Medium,Electronics,3,Yes
Aluminum Variant 268,8,49.71,9,0.86,82,0.88,High,High,General,5,Yes
Recycled PET Variant 269,5,8.77,6,4.2,94,0.94,Low,Medium,Cosmetics,1,Yes
Wooden Crate Variant 270,8,1.71,8,1.43,52,0.44,Medium,Low,Cosmetics,4,Yes
Wooden Crate Variant 271,7,29.52,4,2.71,50,2.35,Low,Medium,Cosmetics,2,No
Mushroom Packaging Variant 272,5,10.19,4,2.27,99,1.63,Low,High,Cosmetics,5,No
Mushroom Packaging Variant 273,4,8.28,4,1.39,85,0.48,Medium,Low,Electronics,1,No
Recycled Paper Variant 274,9,9.19,5,5.08,81,0.89,Medium,Low,Cosmetics,4,Yes
Molded Pulp Variant 275,7,14.74,6,2.87,60,2.09,High,Low,General,3,Yes
Biodegradable Plastic (PLA) Variant 276,8,41.96,5,5.01,100,1.59,Medium,Low,Food,2,Yes
Corrugated Cardboard Variant 277,4,42.18,6,2.38,82,1.33,Medium,Low,Electronics,4,Yes
Cornstarch Packaging Variant 278,4,28.91,9,0.48,47,1.49,High,Low,General,3,No
Kraft Paper Variant 279,8,40.43,10,3.16,57,1.26,Medium,High,Electronics,3,Yes
Recycled PET Variant 280,7,16.59,4,2.9,56,1.03,High,Medium,Food,2,No
Glass Variant 281,4,7.69,1,5.19,94,1.66,High,Medium,Cosmetics,1,No
Corrugated Cardboard Variant 282,4,42.0,10,1.61,91,1.35,High,High,Food,2,No
Kraft Paper Variant 283,7,10.22,3,2.47,93,1.05,High,Low,Food,4,No
Bagasse Fiber Variant 284,4,20.34,9,4.33,94,1.55,Low,Low,Food,2,Yes
Aluminum Variant 285,4,26.76,9,0.85,44,2.0,Medium,Low,General,4,Yes
Bagasse Fiber Variant 286,8,21.73,2,4.51,51,1.03,Low,Low,Food,1,No
Cornstarch Packaging Variant 287,9,10.68,5,2.87,59,1.37,Medium,Low,Electronics,2,Yes
Kraft Paper Variant 288,8,46.83,10,0.75,80,0.49,Low,High,General,4,No
Wooden Crate Variant 289,5,45.45,10,2.32,95,1.99,Low,High,Cosmetics,1,Yes
Bamboo Fiber Variant 290,8,2.0,4,2.33,84,1.22,Low,Medium,General,1,Yes
Bagasse Fiber Variant 291,5,9.52,6,4.39,91,1.27,Low,Low,Cosmetics,1,Yes
Steel Variant 292,10,49.78,10,3.37,70,1.47,Low,Medium,Cosmetics,2,No
Molded Pulp Variant 293,10,42.21,1,4.7,76,0.8,Low,Medium,General,4,No
Recycled Paper Variant 294,10,42.82,10,1.99,76,0.41,High,Medium,Cosmetics,2,Yes
