material_id,material_name,material_type,flexibility,strength_mpa,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit
M083,virgin paperboard – grade 3,bio-foam,low,20,3,1.38,82,29
M084,glass – soda lime – grade 3,paper,low,10,10,6.41,50,35
M085,pet plastic – grade 3,metal,low,15,6,2.37,63,19
M086,recycled pet – grade 3,glass,high,16,5,4.19,75,10
M087,hdpe plastic – grade 3,bio-foam,high,21,6,7.86,93,20
M088,ldpe plastic – grade 3,glass,high,10,1,7.45,57,34
M089,pp plastic – grade 3,paper,medium,29,7,1.7,62,30
M090,pla bioplastic – grade 3,glass,low,16,1,5.49,51,23
M091,molded pulp fiber – grade 3,paper,low,10,9,3.88,68,43
M092,bagasse fiber – grade 3,bio-foam,medium,3,4,1.38,62,31
M093,bamboo fiber – grade 3,plastic,high,18,9,1.67,64,34
M094,aluminum foil – grade 3,metal,high,14,6,3.22,69,45
M095,tinplate steel – grade 3,metal,high,6,3,2.52,67,18
M096,stainless steel – grade 3,glass,high,25,7,2.34,87,47
M097,eps foam – grade 3,plastic,medium,28,5,7.05,55,13
M098,epe foam – grade 3,plastic,high,23,6,3.25,71,14
M099,bubble wrap – grade 3,bioplastic,medium,14,8,4.75,64,49
M100,stretch wrap film – grade 3,bioplastic,medium,7,5,1.21,91,26
