product_id,product_name,sector,main_packaging_material,strength_score,weight_capacity_score,barrier_score ,biodegradability_score,co2_emission_score,recyclability_percent,cost_score,reuse_potential_score
88,Mechanical pencil pack,Stationery,Recyclable PET sleeve + paper backing,3,3,3,10,52,55,2,1
89,Wrench set box,Industrial/Automotive,Corrugated cardboard box with paper edge guards,4,5,3,75,68,65,4,2
90,Engine filter box,Industrial/Automotive,Recycled cardboard box + paper pad,4,4,3,85,70,70,3,2
91,Hospital gloves pouch,Healthcare/Medical Devices,Compostable PLA film + paper label,3,3,4,80,70,45,3,1
92,Dishwasher box,Household Appliances,Corrugated cardboard + molded fiber supports,5,5,3,80,68,72,4,2
93,Mixer grinder set,Household Appliances,Rigid carton + paper pulp trays,4,4,3,85,70,75,3,2
94,Induction cooktop box,Household Appliances,Laminated paperboard + molded pulp insert,4,4,3,78,68,68,3,2
95,Electric fan heater box,Household Appliances,Recycled cardboard + paper side supports,4,4,3,85,70,75,3,2
96,LED projector pack,Electronics,Folding boxboard + molded pulp tray,3,3,3,85,70,70,3,2
97,Gaming console packaging,Electronics,Corrugated box + paper tray inserts,5,5,3,75,65,65,4,2
98,Smart speaker box,Electronics,Paperboard box + molded paper tray,3,3,3,88,72,75,3,2
99,Power bank pack,Electronics,Recycled PET blister + paper backing,4,4,4,20,55,52,3,1
100,External hard drive box,Electronics,Rigid paperboard box + foam buffer,4,4,4,75,65,55,3,1
101,Wireless charger box,Electronics,Paperboard + mycelium insert,3,3,3,92,80,70,4,2
102,Gaming keyboard box,Electronics,Cardboard box + pulp tray,4,4,3,88,70,75,3,2
103,Office printer box,Electronics,Heavy corrugated board + paper padding,5,5,3,75,65,65,3,2
104,Keyboard + mouse combo pack,Electronics,Recycled cardboard + molded paper tray,4,4,3,85,70,70,3,2
105,Refrigerated yogurt cup,Food,Coated paper cup + foil lid,3,3,4,60,60,38,3,1
106,Soup cup (instant),Food,Paper cup + compostable PLA lid,3,3,4,70,65,45,3,2
107,Bakery pastry box,Food,Recycled kraft board with cellulose window,3,3,3,85,72,75,3,2
108,Frozen peas pouch,Food,Compostable multilayer PLA film,3,3,4,80,72,40,3,1
109,Cooking oil pouch,Food,Recyclable barrier polyethylene,4,4,5,60,55,50,3,2
110,Honey jar,Food,Glass jar + metal lid,4,3,5,0,50,82,3,4
111,Jam refill pouch,Food,Compostable film refill pouch,3,3,4,70,70,35,3,1
112,Cosmetic serum bottle,Cosmetics,Frosted glass bottle + metal cap,4,4,5,0,52,80,3,4
113,Shampoo bar box,Cosmetics,Recycled cardboard + paper wrap,3,3,3,90,78,80,3,3
114,Perfume gift set,Cosmetics,Paperboard box + molded pulp trays,3,3,4,85,72,75,4,3
115,Hair oil bottle,Cosmetics,PCR PET bottle + aluminium cap,4,4,4,0,55,60,3,3
116,Compact powder tin,Cosmetics,Aluminium round tin,5,5,5,0,55,85,3,4
117,Deodorant can,Cosmetics,Aluminium aerosol can,5,5,5,0,55,80,3,3
118,Makeup refill pouch,Cosmetics,Compostable or recyclable mono‑film,3,3,4,70,70,40,3,2
119,Travel cosmetic kit,Cosmetics,Recycled PP pouch,3,3,3,50,58,55,3,4
120,Pain relief spray can,Pharmaceuticals,Aluminium can + actuator,5,5,5,0,55,80,3,3
121,Thermal patch pack,Pharmaceuticals,Foil‑paper laminate sachet,3,3,5,10,55,40,3,1
122,Bandage roll wrap,Healthcare,Compostable cellulose film + paper label,3,3,3,85,72,58,3,2
123,Cotton swab box,Healthcare,Paperboard box + cellulose film window,3,3,3,90,75,70,3,3
124,Safety gloves pack,Industrial,Compostable pouch + paper label,3,3,3,80,70,55,3,2
125,Bike part kit,Automotive,Heavy corrugated box + paper padding,4,5,3,70,60,60,3,3
126,Tool organizer box,Industrial Tools,Recycled PP box + paper sleeve,5,5,4,15,50,65,3,4
127,Paint can,Industrial,Metal can + lid,5,5,5,0,50,85,3,3
128,Office paper ream wrapper,Stationery,Paper wrap + starch‑based glue,3,3,2,95,78,85,2,3
129,Fine art brush set pack,Stationery,Kraft paperboard + paper sleeve,3,3,3,90,75,75,3,3
130,Sports shoe box,Textiles/Apparel,Recycled cardboard shoe box,4,4,3,85,70,80,3,3
131,Jacket mailer,Textiles/Apparel,Compostable film + paper tape,3,3,3,80,70,60,2,3
132,Laundry detergent powder pack,Personal Care/Home,Paper bag with starch liner,3,3,4,80,75,70,3,2
133,Scented candle jar,Home Decor,Glass jar + aluminium lid,4,4,5,0,50,80,3,4
134,Curtain set sleeve,Home Decor,Recycled kraft paper wrap,3,3,2,95,80,80,2,3
