material_id,material_name,material_type,strength_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_kg,cost_per_kg,water_resistance,food_safe,industry_usage,sustainability_rating
28,Starch-based Loose Fill,Plant-Based Polymer,2.5,1.0,1.00,0,0.5,1.2,Low,TRUE,Shipping,A
29,Recycled Cardboard (Heavy),Paper-Based,8.5,25.0,0.80,95,0.6,1.4,Low,FALSE,Industrial,A
30,Bio-PET (30% Plant),Plant-Based Polymer,8.5,20.0,0.10,90,1.6,2.0,High,TRUE,Personal Care,B
31,Peel-and-Stick Grass Paper,Natural Fiber,5.8,4.0,0.92,100,0.4,2.4,Low,FALSE,Labels,A
32,Liquid Packaging Board,Multi-Layer,7.2,15.0,0.40,65,1.2,1.9,High,TRUE,Dairy,C
33,PHA (Marine Biodegradable),Plant-Based Polymer,7.9,15.0,1.00,0,1.3,4.2,High,TRUE,Consumer Goods,A
34,Recycled Corrugated PP,Recycled Plastic,9.1,30.0,0.05,100,1.3,2.5,High,FALSE,Logistics,B
35,Mycelium Composite (Insulated),Natural Fiber,7.0,10.0,0.98,0,0.4,3.2,Medium,TRUE,Cold Chain,A
36,Greaseproof Paper,Paper-Based,5.0,2.0,0.92,100,0.6,1.1,Medium,TRUE,Fast Food,A
37,Recycled Steel Strap,Metal,9.9,100.0,0.00,100,1.2,1.8,High,FALSE,Heavy Industry,B
38,Stone Paper (Calcium Carbonate),Mineral-Based,8.0,12.0,0.30,0,0.8,2.6,High,FALSE,Luxury,C
39,Crushed Eggshell Plastic,Bio-Composite,7.4,14.0,0.60,40,0.9,2.1,High,FALSE,Garden,B
40,Pine Wood Crate,Natural Fiber,9.6,60.0,0.95,100,0.2,2.5,Medium,TRUE,Agriculture,A
41,Woven Polypropylene,Plastic,8.8,50.0,0.00,80,2.0,1.5,High,FALSE,Construction,D
42,Compostable Coffee Pods,Plant-Based Polymer,4.0,0.5,1.00,0,1.1,5.5,High,TRUE,Beverages,A
43,Recycled Glass (Amber),Glass,9.5,30.0,0.00,100,0.9,3.0,High,TRUE,Pharma,A
44,Bagasse Clamshell,Pulp-Based,5.5,4.0,0.98,90,0.5,1.3,Low,TRUE,Food Service,A
45,Expanded Polypropylene (EPP),Recycled Plastic,8.2,18.0,0.05,95,1.4,2.8,High,FALSE,Automotive,B
46,Bamboo Paper,Paper-Based,6.8,8.0,0.94,95,0.7,1.8,Low,TRUE,Household,A
47,Silicone (Reusable),Polymer,9.0,15.0,0.00,0,3.5,8.0,High,TRUE,Kitchenware,D
48,Recycled Paper Pulp,Pulp-Based,5.2,5.0,0.96,100,0.4,1.0,Low,TRUE,Eggs/Produce,A
49,Cotton Muslin Bag,Natural Fiber,7.0,10.0,0.99,100,0.8,2.8,Low,TRUE,Bulk Foods,A
50,Reinforced Gummed Tape,Paper-Based,8.5,10.0,0.80,95,0.7,1.5,Medium,FALSE,Logistics,A
51,Mycelium Leather,Natural Fiber,7.2,12.0,0.99,0,0.4,6.5,Medium,FALSE,Luxury Fashion,A
52,Grape Skin Bio-Plastic,Plant-Based Polymer,6.5,8.0,0.85,30,0.8,3.2,High,TRUE,Wine/Food,A
53,Recycled Cork Composite,Natural Fiber,5.8,5.0,0.92,80,0.5,2.8,High,FALSE,Footwear,A
54,Palm Leaf Plate,Natural Fiber,4.2,2.0,1.00,0,0.2,1.1,Medium,TRUE,Food Service,A
55,Recycled Nylon (Ocean Plastic),Recycled Plastic,9.2,35.0,0.05,100,1.4,4.0,High,FALSE,Apparel,B
56,Algae-Based Ink,Natural Fiber,1.0,0.1,1.00,0,0.1,12.0,Low,TRUE,Printing,A
57,Coffee Ground Composite,Bio-Composite,7.0,10.0,0.75,20,0.9,2.5,Medium,TRUE,Housewares,B
58,Wheat Straw Pulp,Pulp-Based,5.5,6.0,0.96,95,0.4,1.2,Low,TRUE,Food Service,A
59,Recycled Rubber (Tires),Recycled Plastic,9.5,80.0,0.02,100,1.8,0.9,High,FALSE,Industrial,C
60,Orange Peel Fiber,Natural Fiber,4.8,3.0,0.98,0,0.5,3.5,Low,TRUE,Textiles,A
61,Chitin (Shellfish Bio-film),Natural Fiber,6.2,4.0,1.00,0,0.3,5.5,Medium,TRUE,Pharma,A
62,Recycled Tetrapak Board,Multi-Layer,7.5,18.0,0.35,75,1.1,1.5,High,FALSE,Construction,C
63,Bio-Polypropylene (Tall Oil),Plant-Based Polymer,8.7,25.0,0.10,95,1.3,2.4,High,TRUE,Medical,B
64,Recycled Cotton Felt,Natural Fiber,4.0,10.0,0.95,100,0.6,1.4,Low,FALSE,Furniture Padding,A
65,Stone Paper (R-PET base),Mineral-Based,8.2,15.0,0.15,85,1.0,2.2,High,FALSE,Stationery,B
66,Casein (Milk Protein) Film,Natural Fiber,3.5,1.0,1.00,0,0.8,4.5,Low,TRUE,Edible Packaging,A
67,Recycled Polycarbonate,Recycled Plastic,9.4,45.0,0.00,100,1.9,3.2,High,FALSE,Automotive,C
68,Liquid Wood (Arboform),Bio-Composite,9.0,30.0,0.80,60,0.9,3.8,High,FALSE,Electronics,A
69,Recycled Copper Foil,Metal,6.0,5.0,0.00,100,1.5,8.5,High,FALSE,High-Tech,B
70,Pinatex (Pineapple Leaf),Natural Fiber,7.8,15.0,0.90,0,0.5,7.0,Medium,FALSE,Fashion,A
71,Biodegradable Bubble Wrap,Plant-Based Polymer,4.5,5.0,0.88,0,1.2,1.8,Medium,FALSE,Logistics,B
72,Coir (Coconut) Pot,Natural Fiber,6.5,10.0,1.00,0,0.3,0.8,High,FALSE,Horticulture,A
73,Recycled Glass Cullet,Glass,9.0,40.0,0.00,100,0.5,0.6,High,TRUE,Construction,A
74,Corn Starch Loose Fill,Plant-Based Polymer,2.0,0.5,1.00,0,0.4,1.1,Low,TRUE,Shipping,A
75,Recycled Carbon Fiber,Composite,9.9,120.0,0.00,40,3.5,15.0,High,FALSE,Aerospace,D
76,Felted Wool Insulator,Natural Fiber,5.0,12.0,1.00,100,1.0,4.5,Medium,TRUE,Cold Chain,A
77,Bio-Butanol Resin,Plant-Based Polymer,8.3,22.0,0.60,0,1.6,3.0,High,FALSE,Coatings,B
78,Banana Fiber Paper,Natural Fiber,6.4,7.0,0.97,100,0.3,2.1,Low,TRUE,Gift Wrap,A
79,Recycled PVC (Flooring),Recycled Plastic,8.9,55.0,0.00,90,2.1,1.2,High,FALSE,Infrastructure,D
80,Rice Husk Ash Board,Bio-Composite,8.5,35.0,0.50,40,0.6,1.8,High,FALSE,Building,B
81,Eco-Friendly Varnish,Plant-Based Polymer,1.5,0.1,0.90,0,0.7,5.0,High,TRUE,Finishing,B
82,Recycled Jute Sacking,Natural Fiber,9.0,50.0,0.98,100,0.4,1.1,Medium,TRUE,Heavy Cargo,A
83,Starch-Grafted PE,Plant-Based Polymer,7.5,15.0,0.45,60,1.7,1.9,High,TRUE,Grocery,C
84,Recycled Plywood,Natural Fiber,8.8,100.0,0.85,80,0.8,0.7,Low,FALSE,Crating,A
85,Agar-Agar Film,Natural Fiber,2.5,0.3,1.00,0,0.2,6.0,Low,TRUE,Confectionery,A
86,Recycled PET Strapping,Recycled Plastic,9.3,70.0,0.10,100,1.0,1.4,High,FALSE,Bundling,B
87,Soy-Based Adhesive,Plant-Based Polymer,4.0,5.0,0.95,0,0.5,2.5,Low,TRUE,Binding,A
88,Recycled Silver Foil,Metal,5.5,3.0,0.00,100,1.2,25.0,High,TRUE,Jewelry,B
89,Abaca (Manila Hemp),Natural Fiber,9.1,25.0,0.98,100,0.5,3.5,High,FALSE,Marine/Paper,A
90,Recycled Polystyrene (EPS),Recycled Plastic,5.0,12.0,0.00,95,1.5,1.1,High,FALSE,Insulation,C
91,Bamboo Charcoal Board,Bio-Composite,8.2,28.0,0.70,30,0.8,2.9,Medium,FALSE,Air Purification,B
92,Recycled Wood Flour,Natural Fiber,6.7,15.0,0.90,100,0.4,0.8,Low,FALSE,Additives,A
93,Bio-Succinic Acid Plastic,Plant-Based Polymer,8.0,20.0,0.75,50,1.2,3.4,High,TRUE,Bottles,B
94,Recycled Lead Sheet,Metal,9.7,200.0,0.00,100,2.8,4.5,High,FALSE,Shielding,D
95,Sunflower Seed Hull Board,Bio-Composite,7.1,18.0,0.88,20,0.5,2.3,Medium,FALSE,Panels,A
96,Recycled ABS (Electronics),Recycled Plastic,8.6,30.0,0.00,100,1.7,2.1,High,FALSE,Consumer Tech,C
97,Bio-Ethylene (Sugarcane),Plant-Based Polymer,8.4,18.0,0.10,100,0.9,1.8,High,TRUE,Personal Care,B
98,Recycled Cork Stopper,Natural Fiber,5.5,2.0,0.95,90,0.3,0.5,High,TRUE,Beverage,A
99,Flax Fiber Composite,Natural Fiber,8.8,24.0,0.82,50,0.6,4.2,Medium,FALSE,Automotive,A
100,Recycled Leather Fiber,Natural Fiber,7.4,10.0,0.70,40,1.2,5.5,Medium,FALSE,Luxury Packing,C
