Material Name,Product Category,Strength Rating,Weight Capacity (kg),Unit Cost ($),Biodegradability Score,CO2 Emission (kg),Recyclability (%),Fragility Level,Shipping Mode
jute,home,49.0,8.3,0.23,0.97,1.07,67.8,1.0,Ground
plastic,cosmetics,52.0,9.0,0.4,0.14,14.13,46.3,2.0,Ground
bagasse,pharmaceuticals,37.0,6.4,0.16,0.99,0.96,82.4,2.0,Ground
bamboo,pharmaceuticals,46.0,8.9,0.22,0.77,1.29,81.3,2.0,Ground
glass,home,87.0,,0.48,0.0,15.63,89.7,1.0,Ground
bamboo,electronics,42.0,5.6,0.32,0.81,0.98,74.2,3.0,Air
plastic,pharmaceuticals,50.0,8.8,0.29,0.05,6.93,45.3,2.0,Ground
bamboo,food,49.0,7.4,0.28,0.83,0.73,82.7,1.0,Ground
metal,food,86.0,11.8,0.44,0.0,21.17,92.0,1.0,Ground
paper,electronics,53.0,8.4,0.19,0.88,0.97,90.3,3.0,Air
jute,pharmaceuticals,39.0,6.5,0.22,0.99,,63.6,2.0,Ground
paper,cosmetics,44.0,,0.25,0.9,1.24,88.9,2.0,Ground
bamboo,electronics,61.0,11.0,0.25,0.82,1.02,82.8,3.0,Air
jute,cosmetics,39.0,7.8,0.22,0.89,0.95,77.4,2.0,Ground
metal,food,78.0,12.2,0.37,0.0,23.74,91.7,1.0,Ground
jute,home,35.0,5.5,0.15,0.9,1.27,,1.0,Ground
paper,cosmetics,31.0,4.7,0.17,0.91,0.97,94.3,2.0,Ground
bagasse,cosmetics,47.0,6.9,0.25,0.91,0.65,75.7,2.0,Ground
bagasse,electronics,31.0,5.5,0.18,0.93,0.6,84.0,3.0,Air
bagasse,pharmaceuticals,48.0,6.5,0.18,0.96,0.95,86.9,2.0,Ground
bagasse,pharmaceuticals,37.0,6.2,0.27,0.94,1.03,78.2,2.0,Ground
glass,cosmetics,76.0,14.5,0.58,0.03,17.53,93.9,2.0,Ground
jute,home,40.0,5.5,0.28,0.89,1.08,62.5,1.0,Ground
jute,pharmaceuticals,36.0,5.5,,1.0,1.44,69.1,2.0,Ground
bamboo,home,42.0,6.3,0.33,0.77,0.87,65.1,1.0,Ground
metal,home,81.0,14.3,0.42,0.0,19.46,88.0,1.0,Ground
paper,pharmaceuticals,38.0,,0.17,0.94,1.78,81.2,2.0,Ground
plastic,cosmetics,55.0,7.9,0.39,0.14,,42.9,2.0,Ground
bamboo,pharmaceuticals,43.0,6.3,0.29,0.75,1.3,82.4,2.0,Ground
jute,cosmetics,37.0,6.1,0.27,0.99,1.46,77.7,2.0,Ground
glass,food,84.0,15.6,0.31,,20.65,93.3,1.0,Ground
glass,food,66.0,,0.57,0.02,19.55,90.4,1.0,Ground
jute,electronics,35.0,6.5,0.28,0.87,1.21,69.9,3.0,Air
glass,home,69.0,10.9,0.58,0.01,16.75,93.4,1.0,Ground
paper,cosmetics,38.0,6.4,0.24,0.88,1.31,90.9,2.0,Ground
glass,electronics,84.0,12.1,0.35,0.01,9.53,94.2,3.0,Air
paper,pharmaceuticals,45.0,6.4,0.16,0.87,1.05,92.3,2.0,
plastic,food,57.0,9.6,0.39,0.18,11.46,37.2,1.0,Ground
bamboo,home,42.0,8.3,0.28,0.89,1.04,67.1,1.0,Ground
plastic,home,66.0,9.5,0.27,0.1,6.43,35.2,1.0,Ground
metal,home,98.0,16.4,0.65,0.0,16.84,89.9,1.0,Ground
jute,cosmetics,51.0,8.4,0.21,0.93,1.66,66.0,2.0,Ground
plastic,electronics,78.0,13.5,0.37,0.14,,52.1,3.0,Air
glass,home,76.0,12.8,0.59,0.03,17.13,,1.0,Ground
bamboo,electronics,56.0,8.8,0.33,0.81,0.99,78.7,3.0,Air
bamboo,cosmetics,44.0,6.7,0.26,0.82,0.92,75.1,2.0,Ground
plastic,cosmetics,47.0,8.6,0.19,0.24,7.79,47.2,2.0,Ground
glass,food,68.0,9.3,0.58,0.03,9.84,93.2,1.0,Ground
plastic,pharmaceuticals,49.0,8.1,0.2,0.18,8.51,45.7,2.0,Ground
bamboo,home,42.0,6.8,0.3,0.79,0.88,78.0,1.0,Ground
paper,home,33.0,5.4,0.14,0.94,1.53,79.6,1.0,Ground
glass,electronics,72.0,9.9,0.42,0.02,11.06,86.3,3.0,Air
glass,food,88.0,12.4,0.33,0.0,12.02,86.9,1.0,Ground
glass,food,87.0,13.6,0.57,0.01,12.64,86.4,1.0,Ground
jute,pharmaceuticals,54.0,8.1,0.27,0.87,1.28,73.6,2.0,Ground
bagasse,cosmetics,44.0,6.7,0.19,1.0,0.61,77.5,2.0,Ground
bagasse,electronics,34.0,5.3,0.13,1.0,0.93,85.2,3.0,Air
plastic,cosmetics,75.0,13.0,0.27,0.06,12.7,46.1,2.0,Ground
paper,electronics,37.0,6.7,0.2,0.99,0.87,87.4,3.0,Air
paper,electronics,49.0,9.1,0.2,1.0,1.54,92.2,3.0,Air
jute,home,38.0,7.0,0.22,0.95,1.41,78.2,1.0,Ground
paper,cosmetics,50.0,9.1,0.14,0.88,1.15,81.4,2.0,Ground
paper,food,53.0,9.1,0.12,0.87,1.11,90.3,1.0,Ground
paper,pharmaceuticals,53.0,7.4,0.22,0.89,1.06,85.0,2.0,Ground
plastic,food,75.0,11.8,0.2,0.16,11.67,37.3,1.0,Ground
paper,electronics,53.0,10.2,0.19,0.93,1.0,79.8,3.0,Air
bamboo,home,57.0,8.2,0.22,0.77,0.75,81.0,1.0,Ground
paper,food,42.0,7.1,,0.86,1.45,91.6,1.0,Ground
glass,pharmaceuticals,65.0,11.7,0.37,0.0,14.94,,2.0,Ground
jute,electronics,57.0,8.2,0.3,0.97,1.4,62.1,3.0,Air
paper,cosmetics,45.0,6.4,0.22,0.91,1.44,79.5,2.0,Ground
paper,electronics,53.0,7.3,0.17,0.98,1.66,85.0,3.0,Air
metal,pharmaceuticals,95.0,13.7,0.46,0.0,16.98,95.1,2.0,Ground
plastic,cosmetics,53.0,7.7,0.42,0.15,13.76,40.1,2.0,Ground
plastic,cosmetics,63.0,10.3,0.27,0.17,10.58,28.9,2.0,Ground
metal,food,79.0,14.7,0.54,0.0,18.46,90.0,1.0,Ground
glass,electronics,84.0,15.1,0.59,0.02,10.59,92.3,3.0,Air
plastic,pharmaceuticals,75.0,13.8,0.28,0.06,9.57,47.5,2.0,Ground
bagasse,cosmetics,47.0,6.5,0.25,0.99,0.68,85.5,2.0,Ground
paper,electronics,40.0,6.1,0.16,0.86,1.7,,3.0,
jute,home,36.0,4.8,0.21,0.99,1.19,63.6,1.0,Ground
plastic,pharmaceuticals,52.0,9.2,0.24,0.08,,28.4,2.0,Ground
bamboo,food,60.0,9.1,0.3,0.82,0.75,71.9,1.0,Ground
paper,pharmaceuticals,54.0,8.1,0.2,0.94,1.0,76.2,2.0,Ground
metal,cosmetics,94.0,14.4,0.52,0.0,12.6,92.5,2.0,Ground
plastic,cosmetics,55.0,8.3,0.39,0.09,14.65,47.1,2.0,Ground
jute,home,38.0,5.7,0.18,0.94,1.1,71.0,1.0,Ground
jute,cosmetics,56.0,10.1,0.19,,1.13,60.3,2.0,Ground
glass,home,68.0,9.5,0.48,0.03,21.31,90.2,1.0,Ground
metal,home,79.0,11.8,0.36,0.0,13.79,92.8,1.0,Ground
jute,home,54.0,10.4,0.22,0.97,1.54,67.1,1.0,Ground
plastic,electronics,50.0,6.9,0.2,0.11,17.93,,3.0,Air
bamboo,pharmaceuticals,45.0,8.7,0.33,0.86,0.77,69.0,2.0,Ground
metal,pharmaceuticals,87.0,14.7,0.48,0.0,23.02,88.5,2.0,Ground
bagasse,electronics,31.0,5.5,0.23,0.96,0.81,78.1,3.0,Air
glass,food,88.0,13.3,0.59,0.01,11.33,91.0,1.0,Ground
jute,food,46.0,6.3,0.23,0.96,1.48,,1.0,Ground
paper,pharmaceuticals,39.0,5.3,0.12,0.95,0.94,91.5,2.0,Ground
paper,food,30.0,4.5,0.23,0.89,1.23,78.9,1.0,Ground
plastic,home,53.0,10.6,0.42,0.24,6.42,37.2,1.0,Ground
metal,pharmaceuticals,79.0,14.6,0.43,0.0,23.52,94.5,2.0,Ground
plastic,home,77.0,10.4,0.28,0.22,14.1,51.2,,Ground
plastic,cosmetics,71.0,10.2,0.32,0.08,7.69,,2.0,Ground
paper,electronics,35.0,6.1,0.15,0.88,1.13,76.7,3.0,Air
paper,pharmaceuticals,,7.7,0.23,0.93,0.88,87.1,2.0,Ground
metal,home,78.0,10.5,0.41,0.0,22.68,95.4,1.0,Ground
bamboo,pharmaceuticals,51.0,7.1,0.25,0.86,1.07,67.0,2.0,Ground
metal,pharmaceuticals,80.0,11.0,0.62,0.0,21.51,89.8,2.0,Ground
metal,pharmaceuticals,98.0,19.0,0.63,0.0,24.56,92.3,2.0,Ground
jute,food,47.0,8.4,0.24,0.98,1.5,62.4,1.0,Ground
glass,home,87.0,16.2,0.43,0.02,9.7,93.8,1.0,Ground
plastic,home,79.0,13.3,0.29,0.11,10.52,,1.0,Ground
jute,cosmetics,38.0,5.8,0.19,0.91,1.19,71.4,2.0,Ground
paper,pharmaceuticals,54.0,8.8,0.16,0.91,1.26,93.9,2.0,Ground
jute,electronics,37.0,6.2,0.26,0.97,1.65,65.8,3.0,Air
bagasse,home,39.0,5.3,0.2,0.95,0.61,78.5,1.0,Ground
paper,food,49.0,6.8,0.23,0.9,0.88,88.9,1.0,Ground
bagasse,electronics,41.0,6.1,0.19,0.95,0.87,83.1,3.0,Air
jute,cosmetics,36.0,,,0.93,1.07,,2.0,Ground
paper,pharmaceuticals,54.0,10.4,0.21,0.85,1.38,91.7,2.0,Ground
plastic,cosmetics,57.0,10.0,0.26,0.17,17.0,42.5,2.0,Ground
glass,home,84.0,15.6,0.43,0.02,15.9,89.5,,Ground
glass,pharmaceuticals,,11.7,0.54,0.01,16.81,88.0,2.0,Ground
jute,cosmetics,49.0,7.9,0.18,0.94,1.53,76.8,2.0,Ground
paper,food,34.0,6.5,0.22,0.98,1.24,,1.0,Ground
paper,home,36.0,5.7,,0.85,1.39,78.9,1.0,Ground
paper,home,45.0,7.7,0.23,0.93,1.19,85.5,1.0,Ground
plastic,cosmetics,60.0,8.6,0.33,0.15,16.45,51.7,,Ground
bamboo,cosmetics,44.0,7.6,0.32,0.82,0.96,70.0,2.0,Ground
plastic,electronics,54.0,7.9,0.42,0.11,6.88,39.1,3.0,Air
glass,pharmaceuticals,65.0,10.4,0.48,0.02,13.04,88.5,2.0,Ground
jute,pharmaceuticals,44.0,8.7,0.19,0.86,,,2.0,Ground
plastic,cosmetics,74.0,11.1,0.3,0.17,13.46,37.0,2.0,Ground
metal,home,81.0,13.7,0.74,0.0,12.62,95.7,1.0,Ground
plastic,electronics,77.0,12.4,0.26,0.11,13.77,31.3,3.0,Air
jute,pharmaceuticals,47.0,7.5,0.19,0.93,1.58,72.6,2.0,Ground
glass,home,84.0,13.9,0.39,0.01,20.72,93.8,1.0,Ground
bamboo,home,63.0,8.8,0.23,0.81,1.13,71.3,1.0,Ground
paper,pharmaceuticals,32.0,5.1,0.23,0.93,1.24,83.1,2.0,Ground
jute,cosmetics,52.0,8.8,0.24,1.0,1.53,67.5,2.0,Ground
plastic,pharmaceuticals,79.0,11.6,,0.12,16.8,37.9,2.0,Ground
plastic,cosmetics,58.0,8.4,0.39,0.25,15.66,32.3,2.0,Ground
bamboo,home,59.0,8.4,0.3,0.9,1.35,66.9,1.0,Ground
plastic,pharmaceuticals,55.0,10.4,0.34,0.16,,47.5,2.0,Ground
jute,food,40.0,6.9,0.26,0.85,1.34,,1.0,Ground
paper,pharmaceuticals,38.0,6.3,0.18,0.87,1.21,77.2,2.0,Ground
jute,cosmetics,39.0,6.5,0.26,0.93,1.33,63.4,2.0,Ground
plastic,food,60.0,8.5,0.19,0.1,6.4,29.9,1.0,Ground
metal,cosmetics,97.0,,0.61,0.0,17.26,89.8,2.0,Ground
bagasse,pharmaceuticals,37.0,7.1,0.26,0.97,1.03,89.7,2.0,Ground
paper,cosmetics,32.0,5.7,0.16,0.93,1.45,90.4,2.0,Ground
plastic,cosmetics,79.0,14.8,0.29,0.25,17.73,43.6,2.0,Ground
bagasse,home,36.0,5.9,0.16,0.91,1.16,81.5,1.0,Ground
paper,food,42.0,7.5,0.25,0.93,1.75,81.2,1.0,Ground
glass,pharmaceuticals,88.0,14.6,0.56,0.02,15.38,86.0,2.0,Ground
metal,cosmetics,80.0,12.0,0.69,0.0,22.16,88.6,2.0,Ground
bagasse,cosmetics,36.0,6.0,0.14,0.91,0.98,81.4,2.0,Ground
glass,food,81.0,11.3,0.34,0.01,11.5,93.7,1.0,Ground
paper,pharmaceuticals,40.0,7.3,0.16,0.95,1.3,76.0,2.0,Ground
glass,pharmaceuticals,90.0,13.5,0.59,0.02,18.81,89.1,2.0,Ground
glass,pharmaceuticals,88.0,12.7,0.51,0.01,19.63,86.5,2.0,Ground
paper,pharmaceuticals,40.0,7.9,0.21,0.96,1.12,76.3,2.0,Ground
metal,food,93.0,13.6,0.77,0.0,15.82,93.8,1.0,Ground
plastic,electronics,54.0,8.8,0.38,0.21,6.93,28.4,3.0,Air
metal,home,77.0,13.3,0.66,0.0,13.11,88.5,1.0,Ground
glass,electronics,93.0,15.4,0.6,0.03,13.93,87.9,3.0,Air
jute,electronics,41.0,7.2,0.23,0.98,1.29,69.4,3.0,Air
jute,pharmaceuticals,50.0,6.9,0.21,0.92,1.16,78.1,2.0,Ground
bamboo,home,47.0,,0.28,0.82,0.72,66.3,1.0,Ground
paper,electronics,42.0,7.0,0.2,0.96,1.6,94.9,3.0,Air
plastic,pharmaceuticals,77.0,12.7,0.42,0.07,11.5,53.6,2.0,Ground
bagasse,pharmaceuticals,38.0,5.3,0.21,0.9,1.19,76.9,2.0,Ground
paper,cosmetics,50.0,8.3,0.21,0.98,1.23,87.5,2.0,Ground
bagasse,cosmetics,32.0,5.4,0.14,0.99,0.88,82.2,2.0,Ground
plastic,electronics,54.0,9.8,0.18,0.21,13.63,38.2,3.0,Air
metal,electronics,98.0,13.9,0.59,0.0,12.13,94.8,3.0,Air
plastic,food,64.0,11.2,0.39,0.23,7.51,39.5,1.0,Ground
jute,pharmaceuticals,41.0,5.5,0.18,1.0,0.94,62.9,2.0,Ground
glass,electronics,71.0,13.0,0.45,0.0,13.61,89.4,3.0,Air
bagasse,home,46.0,6.6,0.17,0.92,0.61,85.3,1.0,Ground
metal,electronics,93.0,13.7,0.62,0.0,13.53,94.0,3.0,Air
plastic,electronics,79.0,15.1,0.34,0.23,17.13,,3.0,Air
plastic,pharmaceuticals,56.0,9.8,0.35,0.1,17.99,43.6,2.0,Ground
bagasse,food,33.0,4.7,0.12,0.94,1.06,,1.0,Ground
paper,food,39.0,6.3,0.21,0.92,1.38,87.7,1.0,Ground
plastic,food,49.0,6.9,0.19,0.21,6.64,52.5,1.0,Ground
plastic,electronics,67.0,12.0,0.42,0.05,14.41,47.3,3.0,Air
plastic,home,74.0,10.7,0.25,0.18,8.21,32.5,1.0,Ground
bamboo,home,52.0,8.9,0.35,0.79,0.75,76.2,1.0,Ground
paper,home,52.0,7.6,0.23,0.99,1.75,79.5,1.0,Ground
jute,home,46.0,,0.24,0.86,1.02,79.0,1.0,Ground
glass,home,89.0,12.0,0.56,0.02,16.77,87.0,1.0,Ground
bagasse,food,39.0,5.9,0.26,0.9,0.75,89.2,1.0,Ground
bamboo,food,58.0,11.0,0.29,0.86,0.7,82.2,1.0,Ground
metal,electronics,81.0,13.8,0.76,0.0,12.14,89.6,3.0,Air
bamboo,food,47.0,6.6,0.34,0.8,1.31,78.1,1.0,Ground
paper,electronics,35.0,4.9,0.14,0.92,,88.9,3.0,Air
plastic,cosmetics,50.0,6.9,0.44,0.13,17.65,34.6,2.0,Ground
metal,electronics,88.0,15.7,0.4,0.0,,,3.0,Air
paper,food,50.0,9.9,,0.88,0.8,90.1,1.0,Ground
plastic,home,54.0,8.5,0.32,0.12,9.33,43.3,1.0,Ground
bagasse,home,30.0,5.0,0.25,0.95,1.03,,1.0,Ground
bagasse,food,41.0,7.0,0.17,0.92,1.08,81.1,1.0,Ground
jute,cosmetics,,7.0,0.21,0.89,1.25,75.2,2.0,Ground
paper,electronics,31.0,4.4,0.25,0.91,1.78,83.6,3.0,Air
plastic,food,69.0,10.4,0.31,0.24,11.23,45.9,1.0,Ground
glass,cosmetics,85.0,14.8,0.33,0.03,19.38,91.5,2.0,Ground
bagasse,pharmaceuticals,35.0,5.1,0.26,0.95,1.04,,2.0,Ground
plastic,food,58.0,9.8,0.42,0.18,9.37,52.5,1.0,Ground
jute,cosmetics,57.0,8.7,0.16,0.97,0.97,61.5,,Ground
glass,electronics,70.0,11.5,0.48,0.02,,88.5,3.0,Air
jute,home,57.0,7.9,0.25,0.86,1.39,,1.0,Ground
plastic,electronics,45.0,8.3,0.24,0.09,15.04,42.1,3.0,Air
bagasse,pharmaceuticals,41.0,6.3,0.15,0.98,1.13,85.7,2.0,Ground
bamboo,home,56.0,9.0,0.32,0.83,1.29,77.0,1.0,Ground
jute,pharmaceuticals,39.0,5.3,0.17,0.95,1.42,65.7,2.0,Ground
glass,electronics,85.0,16.4,0.46,0.02,9.7,86.4,3.0,Air
jute,food,58.0,11.5,0.21,0.92,1.29,,1.0,Ground
plastic,pharmaceuticals,50.0,7.8,0.43,0.11,6.02,49.8,2.0,Ground
paper,home,53.0,9.7,0.23,0.98,1.12,87.0,1.0,Ground
bagasse,home,31.0,5.2,0.21,0.94,0.92,,1.0,Ground
bagasse,cosmetics,42.0,7.1,0.21,0.97,0.88,86.1,2.0,Ground
jute,electronics,58.0,9.5,0.17,0.86,1.11,62.4,3.0,Air
bamboo,food,50.0,7.4,0.23,0.86,1.06,65.2,1.0,Ground
jute,home,52.0,7.2,0.3,0.92,1.56,79.9,1.0,Ground
bamboo,home,43.0,7.8,0.21,0.85,1.09,77.0,1.0,Ground
bagasse,cosmetics,46.0,8.5,0.13,0.97,1.12,76.4,2.0,Ground
metal,home,85.0,16.5,0.44,0.0,21.1,90.9,1.0,Ground
glass,pharmaceuticals,90.0,16.1,0.32,0.03,16.45,92.8,2.0,Ground
bagasse,pharmaceuticals,38.0,6.3,0.26,0.95,1.13,88.9,2.0,Ground
plastic,pharmaceuticals,,8.2,0.33,0.08,11.35,31.9,2.0,Ground
paper,food,31.0,5.8,0.17,,0.98,84.7,1.0,Ground
bamboo,pharmaceuticals,57.0,8.7,0.2,0.87,0.78,77.0,2.0,Ground
jute,food,44.0,6.5,0.23,0.87,1.59,,1.0,Ground
bagasse,cosmetics,31.0,4.4,0.16,0.98,1.11,85.3,2.0,Ground
plastic,electronics,47.0,6.6,0.38,0.06,7.48,51.9,3.0,Air
bamboo,cosmetics,50.0,10.0,0.26,0.78,1.12,81.6,2.0,Ground
glass,cosmetics,81.0,12.1,0.48,0.02,12.18,87.1,2.0,Ground
plastic,electronics,58.0,9.8,0.44,0.05,10.12,,3.0,Air
bagasse,cosmetics,49.0,7.8,0.27,0.9,1.02,80.1,2.0,Ground
paper,cosmetics,51.0,7.2,0.2,0.92,1.13,94.1,2.0,Ground
jute,home,49.0,8.6,0.26,0.93,1.23,67.9,1.0,Ground
glass,food,72.0,12.8,0.6,0.02,17.85,86.2,1.0,Ground
bagasse,pharmaceuticals,45.0,6.4,0.15,0.98,1.12,85.8,2.0,Ground
glass,electronics,74.0,11.4,0.44,0.03,,87.3,3.0,Air
bamboo,food,44.0,6.1,0.24,0.79,0.96,80.4,1.0,Ground
