Material Name ,ProductCategory,Strength_Value,WtCapacity,Unit Cost($),Bio Score,CO2Emission,Recycle %,FragileLevel,Ship-Type
paper,electronics,84.0,15.0,0.18,0.88,1.01,97.2,,Air
metal,electronics,57.0,17.0,0.5,0.87,1.27,46.5,1,Ground
plastic,,98.0,24.0,0.75,0.63,12.93,97.0,2,Air
bamboo,electronics,92.0,9.0,0.14,0.47,,19.7,2,Ground
paper,home,88.0,,0.4,0.67,3.46,90.5,3,
bamboo,home,,8.0,0.6,0.61,5.92,1.4,3,
bagasse,electronics,80.0,8.0,0.42,0.42,8.52,54.5,1,Air
plastic,cosmetics,50.0,8.0,0.66,0.38,5.84,42.3,1,Air
plastic,pharmaceuticals,,,,0.38,10.09,52.5,2,Air
paper,food,79.0,22.0,0.77,0.59,14.21,55.3,1,Ground
plastic,home,33.0,22.0,0.37,0.65,17.28,38.9,,
,,71.0,20.0,0.34,0.45,24.11,99.8,2,Air
plastic,cosmetics,67.0,,0.71,0.97,,97.7,2,Air
bamboo,food,54.0,22.0,0.49,,14.47,96.2,2,Ground
bamboo,food,43.0,6.0,0.46,0.35,18.49,97.9,3,
metal,home,61.0,8.0,0.61,0.42,23.8,79.3,2,Ground
bamboo,electronics,,16.0,0.51,,2.55,98.9,,
metal,cosmetics,90.0,11.0,0.21,0.36,0.64,89.2,3,
bamboo,home,47.0,19.0,0.57,0.27,1.23,41.6,3,Air
jute,cosmetics,56.0,11.0,0.19,0.51,14.3,78.5,3,Air
metal,,84.0,21.0,0.66,0.34,19.19,91.2,1,Ground
glass,electronics,83.0,20.0,0.79,0.73,9.49,71.3,1,
bagasse,home,50.0,23.0,0.36,0.51,13.86,42.3,,Air
paper,electronics,73.0,13.0,0.41,,13.15,6.6,,Air
bamboo,pharmaceuticals,34.0,18.0,0.13,0.75,2.82,81.0,3,Ground
plastic,food,70.0,21.0,0.11,0.1,8.38,95.3,3,Air
bamboo,home,88.0,9.0,0.74,0.84,0.98,36.2,1,Air
plastic,cosmetics,83.0,6.0,0.19,0.93,3.21,,2,
bagasse,pharmaceuticals,51.0,24.0,0.41,0.32,20.39,32.7,,Air
bagasse,home,94.0,20.0,0.67,0.93,20.82,58.3,3,Air
bagasse,electronics,93.0,18.0,0.72,0.79,20.15,31.7,2,Ground
plastic,electronics,33.0,18.0,0.46,0.92,18.31,61.1,2,Ground
bamboo,electronics,94.0,5.0,0.5,0.67,,96.7,2,Ground
,,44.0,7.0,0.57,0.24,16.94,,2,Air
jute,cosmetics,51.0,11.0,0.77,,16.91,,2,Ground
metal,,76.0,19.0,0.52,0.18,16.85,93.6,3,Ground
plastic,food,75.0,23.0,0.49,0.21,13.09,56.6,1,Air
plastic,cosmetics,43.0,24.0,0.11,0.27,9.4,12.8,3,Ground
bamboo,cosmetics,79.0,6.0,0.16,0.3,18.39,49.9,3,
plastic,food,49.0,23.0,0.5,0.51,7.82,,3,Ground
plastic,food,79.0,13.0,0.76,0.71,13.8,83.8,3,
bagasse,electronics,62.0,23.0,0.71,0.93,11.12,93.6,2,Ground
bamboo,cosmetics,88.0,9.0,0.79,0.09,7.28,31.7,3,Ground
bagasse,home,72.0,22.0,0.47,0.95,24.38,15.6,2,Ground
metal,food,41.0,20.0,0.65,0.92,6.84,7.4,,Air
metal,food,,8.0,0.69,0.05,8.08,73.8,1,Ground
bagasse,pharmaceuticals,49.0,16.0,0.55,0.36,4.46,79.5,,Air
metal,home,67.0,11.0,0.34,0.81,20.66,40.9,1,Air
bamboo,home,32.0,18.0,0.43,0.61,14.87,39.6,1,Ground
paper,food,57.0,16.0,0.7,0.78,15.52,95.4,2,
bagasse,electronics,85.0,7.0,0.31,,20.6,91.7,3,Air
jute,pharmaceuticals,42.0,9.0,0.75,0.5,8.9,23.3,1,
jute,home,95.0,21.0,0.26,0.04,5.24,78.1,2,Air
plastic,food,66.0,14.0,0.62,0.58,5.36,62.3,3,
metal,,78.0,14.0,0.54,0.05,,15.4,1,Air
jute,pharmaceuticals,95.0,15.0,0.62,0.6,15.55,35.7,2,
plastic,pharmaceuticals,65.0,21.0,0.41,0.8,5.56,17.7,2,Ground
paper,cosmetics,83.0,9.0,0.75,0.58,4.05,29.5,2,Ground
bamboo,food,,17.0,0.54,1.0,3.46,61.5,3,Air
bamboo,pharmaceuticals,69.0,,0.3,0.46,15.88,37.5,2,Air
bamboo,cosmetics,72.0,13.0,0.55,0.75,0.5,39.4,,Ground
jute,cosmetics,51.0,,0.3,0.67,0.95,54.0,2,Ground
paper,home,49.0,5.0,0.31,0.99,10.04,8.7,3,Ground
jute,home,37.0,8.0,0.38,0.71,17.44,73.9,,Ground
metal,cosmetics,58.0,8.0,0.7,0.16,17.53,40.2,3,Air
,home,,,0.45,0.96,11.04,48.0,1,Air
paper,pharmaceuticals,59.0,13.0,0.58,0.67,17.43,97.4,1,Ground
paper,electronics,84.0,22.0,0.37,0.06,13.27,34.4,2,Ground
metal,pharmaceuticals,45.0,,,0.66,24.43,64.8,3,
paper,cosmetics,,19.0,0.77,0.88,4.48,,1,Ground
paper,cosmetics,91.0,10.0,0.52,0.58,15.22,89.4,,Air
bamboo,pharmaceuticals,36.0,14.0,0.75,0.35,,84.7,1,Air
metal,home,,19.0,0.24,0.82,5.26,24.2,1,Ground
glass,home,88.0,8.0,0.2,0.78,,69.2,1,
glass,cosmetics,85.0,22.0,0.7,0.54,7.25,6.5,2,Air
,food,77.0,22.0,0.58,0.15,9.85,96.3,,Air
glass,home,56.0,21.0,0.23,0.25,,34.9,1,Air
glass,pharmaceuticals,82.0,16.0,0.29,0.74,6.48,83.2,2,Air
paper,home,64.0,11.0,0.66,,11.05,31.8,1,Ground
glass,pharmaceuticals,80.0,20.0,0.42,0.28,12.1,63.3,3,
jute,cosmetics,66.0,15.0,0.57,,18.73,98.4,1,Ground
plastic,home,86.0,18.0,0.32,0.08,19.24,87.7,2,Ground
metal,pharmaceuticals,,7.0,,0.71,4.38,16.0,,Ground
plastic,cosmetics,49.0,,0.79,0.0,15.02,54.7,2,Ground
paper,food,,22.0,0.27,0.05,22.46,34.9,1,
,pharmaceuticals,41.0,14.0,0.45,0.0,3.17,43.4,1,Air
metal,food,78.0,,0.69,0.65,12.09,,3,
paper,food,46.0,17.0,0.27,0.42,18.88,33.6,3,Ground
bamboo,electronics,93.0,14.0,0.39,0.3,,54.3,,Air
plastic,,71.0,22.0,0.53,,2.96,19.2,3,Ground
paper,pharmaceuticals,58.0,,0.44,0.19,10.22,53.7,,
metal,food,48.0,20.0,0.42,0.39,12.93,27.9,2,
metal,electronics,40.0,10.0,0.35,,24.9,28.9,2,Air
bagasse,cosmetics,,17.0,,0.43,,73.9,1,Ground
jute,pharmaceuticals,87.0,8.0,0.54,0.55,24.57,3.0,2,Ground
glass,food,63.0,18.0,0.56,0.08,9.72,38.1,3,Air
bamboo,home,49.0,,0.15,0.79,5.41,40.8,3,Air
bagasse,electronics,79.0,24.0,0.54,0.42,10.65,48.5,1,Ground
glass,food,39.0,9.0,0.77,0.8,15.54,66.9,2,Air
glass,home,61.0,12.0,0.48,0.25,5.73,37.0,3,Ground
paper,food,81.0,16.0,0.6,0.42,7.64,21.3,2,Ground
glass,pharmaceuticals,44.0,6.0,0.49,0.79,21.44,88.5,1,Ground
jute,pharmaceuticals,32.0,16.0,0.7,0.97,24.98,98.1,3,Air
metal,pharmaceuticals,66.0,9.0,0.75,0.06,,,1,Ground
,electronics,69.0,9.0,0.23,0.81,4.15,,,Air
glass,pharmaceuticals,69.0,17.0,0.41,0.3,19.93,,,
paper,home,85.0,13.0,0.37,0.55,15.21,27.7,2,Air
jute,,52.0,14.0,0.38,0.29,2.96,33.6,2,Air
plastic,cosmetics,40.0,5.0,0.19,0.61,23.7,,,Ground
metal,home,,7.0,0.67,0.35,2.41,19.1,2,Ground
metal,home,37.0,22.0,,0.33,15.82,,1,Ground
bagasse,pharmaceuticals,85.0,16.0,0.47,0.04,10.89,46.6,,Ground
metal,electronics,89.0,7.0,0.56,0.15,14.14,32.6,2,Air
glass,food,39.0,13.0,0.25,0.92,5.72,76.6,1,Air
paper,,68.0,6.0,0.73,1.0,17.36,1.6,2,Ground
metal,food,57.0,,0.69,0.78,24.01,43.2,1,Air
metal,,78.0,18.0,0.43,0.29,11.73,35.5,1,
plastic,electronics,65.0,8.0,0.39,0.4,13.31,33.8,2,Air
plastic,home,42.0,23.0,0.27,0.74,6.38,33.7,2,
bamboo,food,65.0,17.0,0.61,0.97,,3.1,2,
jute,electronics,55.0,11.0,0.19,0.46,24.29,15.2,,Air
glass,food,33.0,16.0,0.58,0.83,19.76,14.2,3,Ground
metal,cosmetics,93.0,7.0,0.69,0.98,13.8,98.9,1,Air
metal,home,67.0,13.0,0.26,0.87,23.94,2.2,1,Ground
paper,,51.0,6.0,,0.23,4.27,16.7,3,Air
bamboo,food,31.0,13.0,0.12,0.01,12.22,97.4,3,Air
jute,cosmetics,60.0,16.0,0.74,0.49,13.67,62.8,3,Air
bamboo,pharmaceuticals,40.0,16.0,0.18,0.53,12.55,45.1,3,
bagasse,pharmaceuticals,75.0,19.0,0.55,0.2,20.16,7.9,1,Ground
jute,food,91.0,6.0,0.28,0.28,16.92,67.0,2,Air
metal,electronics,98.0,22.0,0.69,0.77,3.6,13.8,3,Ground
metal,food,93.0,17.0,0.46,0.47,8.99,67.1,,Air
,cosmetics,39.0,18.0,0.19,0.32,8.81,97.9,1,Air
metal,pharmaceuticals,69.0,9.0,0.5,,14.36,53.2,2,Ground
glass,food,53.0,14.0,0.39,,7.64,21.4,1,Air
jute,,73.0,16.0,0.56,0.77,3.37,62.5,2,Ground
bamboo,food,89.0,14.0,0.72,0.16,16.52,51.3,1,
jute,,91.0,15.0,0.39,0.74,21.35,53.3,,Air
metal,electronics,46.0,6.0,0.3,0.6,23.32,47.8,3,Ground
glass,cosmetics,94.0,9.0,0.11,0.06,,67.4,3,
glass,pharmaceuticals,86.0,,0.5,0.78,19.64,57.2,,Ground
bagasse,food,84.0,,0.38,0.38,3.92,98.7,1,Air
bamboo,electronics,82.0,7.0,,0.33,21.4,82.6,3,Ground
plastic,home,85.0,17.0,0.23,0.45,10.3,,,
plastic,electronics,38.0,7.0,0.4,0.35,18.38,72.6,2,Air
jute,home,51.0,10.0,0.79,0.34,,,3,Air
,cosmetics,42.0,15.0,0.31,0.81,20.8,78.2,2,Air
paper,pharmaceuticals,77.0,,0.52,0.12,10.92,14.8,3,Air
jute,cosmetics,47.0,14.0,0.64,0.97,2.01,47.4,2,Ground
bagasse,food,,16.0,0.62,0.55,14.14,79.1,2,Air
bamboo,electronics,46.0,21.0,0.33,0.18,4.7,28.0,1,Air
bamboo,home,44.0,8.0,0.53,0.13,24.16,83.7,1,Air
,home,44.0,6.0,0.71,0.59,13.41,64.4,1,Ground
,electronics,92.0,15.0,0.11,0.63,14.06,39.8,1,Ground
bamboo,electronics,68.0,11.0,0.41,,,42.3,2,Ground
,food,42.0,6.0,0.26,0.24,,92.6,1,Air
bagasse,cosmetics,61.0,22.0,0.37,0.8,7.92,21.8,1,Ground
glass,home,38.0,8.0,0.39,0.05,7.75,69.3,3,Air
plastic,food,69.0,12.0,0.62,0.86,12.79,70.7,3,
metal,cosmetics,49.0,24.0,0.17,,21.73,92.2,,Air
bamboo,food,92.0,18.0,0.46,0.43,19.97,,,Air
paper,home,73.0,16.0,0.49,0.35,24.09,58.4,1,Air
metal,electronics,67.0,,0.45,0.02,2.26,90.3,1,Air
bagasse,electronics,,15.0,0.61,0.83,7.07,82.9,2,Air
paper,cosmetics,77.0,12.0,0.37,0.14,2.47,71.7,,Ground
paper,pharmaceuticals,47.0,6.0,0.76,0.31,18.9,3.3,3,Ground
paper,cosmetics,45.0,19.0,0.44,0.57,3.95,37.4,2,Air
,pharmaceuticals,,13.0,0.5,0.25,2.95,63.2,1,Ground
bagasse,food,68.0,23.0,0.68,0.5,14.26,52.2,,Ground
paper,food,97.0,24.0,0.29,0.81,10.58,31.9,1,Air
bamboo,home,88.0,12.0,0.15,0.47,18.02,14.4,2,Air
jute,pharmaceuticals,91.0,23.0,,0.95,12.43,55.3,,Air
paper,home,42.0,9.0,0.44,0.85,10.92,28.6,2,Ground
glass,electronics,35.0,15.0,0.73,0.33,10.92,23.3,,Ground
metal,pharmaceuticals,,19.0,,,21.86,39.9,2,Air
bagasse,cosmetics,43.0,12.0,0.38,0.42,10.18,78.5,,Air
glass,electronics,83.0,23.0,0.39,0.63,8.67,48.8,3,Ground
paper,electronics,33.0,12.0,0.39,0.29,8.79,21.6,2,Ground
bagasse,cosmetics,68.0,23.0,,0.97,5.32,11.7,3,Ground
jute,electronics,54.0,22.0,0.65,0.61,21.59,49.9,3,Air
paper,pharmaceuticals,61.0,14.0,,0.4,4.09,79.4,3,
glass,home,88.0,,0.44,0.65,22.76,65.3,1,Ground
plastic,electronics,92.0,13.0,0.13,0.4,7.44,,2,Air
bamboo,pharmaceuticals,67.0,5.0,0.32,0.82,22.54,43.7,2,
metal,food,82.0,23.0,0.3,0.57,19.88,85.5,,Air
glass,pharmaceuticals,96.0,9.0,0.67,0.04,14.76,17.8,,Air
bagasse,,57.0,23.0,0.16,0.18,,53.2,1,
paper,pharmaceuticals,32.0,5.0,0.66,0.86,8.48,,1,Air
bamboo,cosmetics,51.0,19.0,0.57,0.56,14.57,12.4,,Ground
paper,home,67.0,20.0,0.61,0.95,,5.0,1,Air
bagasse,food,91.0,,0.4,0.07,10.36,55.6,1,Ground
paper,cosmetics,86.0,16.0,0.58,0.3,19.23,2.1,1,Air
plastic,pharmaceuticals,35.0,12.0,0.53,0.19,6.48,10.3,1,Ground
bamboo,home,61.0,9.0,0.64,0.55,21.05,34.8,3,Air
bamboo,food,39.0,14.0,,0.38,9.71,4.4,2,Air
bagasse,cosmetics,32.0,9.0,0.43,0.16,13.54,40.0,2,Ground
metal,food,88.0,21.0,0.55,,23.58,13.0,,Air
,pharmaceuticals,78.0,9.0,0.18,0.54,17.19,35.0,1,Air
glass,food,88.0,19.0,0.41,0.27,16.32,79.1,1,Air
paper,electronics,60.0,17.0,0.78,0.48,17.93,62.6,3,
jute,cosmetics,98.0,5.0,0.13,0.75,22.99,44.5,3,Air
paper,food,91.0,15.0,0.32,0.21,6.59,9.2,1,Ground
paper,,81.0,5.0,0.32,,15.52,61.9,2,Ground
glass,pharmaceuticals,70.0,,0.54,0.35,10.31,16.4,2,Air
paper,food,60.0,22.0,,0.75,0.79,7.7,3,Ground
plastic,pharmaceuticals,51.0,22.0,0.54,0.85,3.57,66.4,1,Ground
plastic,home,33.0,20.0,0.17,0.38,8.46,91.2,2,Ground
,home,42.0,17.0,,0.3,14.34,46.1,1,Ground
bagasse,home,74.0,11.0,0.61,0.89,,4.1,3,Air
metal,,71.0,5.0,0.33,1.0,19.88,88.0,2,Ground
jute,food,,20.0,0.78,0.67,14.06,6.7,,Air
paper,electronics,49.0,5.0,0.13,0.99,2.31,86.8,1,Air
paper,,83.0,21.0,0.41,0.66,7.5,39.2,1,Ground
glass,electronics,,10.0,0.18,0.73,9.48,36.5,,Ground
bagasse,pharmaceuticals,30.0,6.0,0.35,0.39,,54.3,3,Air
,pharmaceuticals,44.0,21.0,0.8,0.43,2.09,95.7,3,Air
jute,cosmetics,46.0,10.0,0.72,0.14,13.49,89.9,3,Ground
bamboo,home,,18.0,0.13,0.82,22.59,47.0,1,Ground
plastic,pharmaceuticals,87.0,22.0,0.49,0.93,17.78,,3,Air
bagasse,,52.0,10.0,,0.62,20.03,58.0,1,Air
,,75.0,14.0,0.25,,17.2,,1,Ground
bamboo,pharmaceuticals,37.0,22.0,0.2,0.15,5.56,82.9,3,Ground
metal,pharmaceuticals,88.0,13.0,,0.27,3.21,3.4,3,Air
glass,electronics,88.0,12.0,0.78,0.26,20.82,32.6,3,Air
,,42.0,14.0,0.79,0.61,17.54,95.9,3,Air
paper,home,68.0,21.0,0.65,0.95,14.59,94.9,,Ground
metal,pharmaceuticals,57.0,10.0,0.56,0.05,5.14,1.1,,Ground
bagasse,,90.0,,0.34,0.0,15.28,,,Air
jute,electronics,45.0,10.0,0.22,0.6,1.27,99.4,,Ground
bamboo,home,,11.0,0.16,0.28,3.41,49.3,3,Air
plastic,pharmaceuticals,46.0,16.0,0.59,0.88,,57.3,3,Air
,pharmaceuticals,59.0,,0.65,0.33,11.37,16.6,2,
bagasse,food,42.0,18.0,0.68,,3.45,89.4,3,Ground
glass,home,42.0,23.0,0.74,0.27,3.44,23.1,2,Ground
metal,pharmaceuticals,72.0,20.0,0.72,,18.28,,,
,electronics,50.0,11.0,0.8,0.58,14.46,22.8,1,Air
,food,84.0,,0.27,0.17,13.58,92.0,2,Ground
bamboo,home,69.0,22.0,0.63,0.42,11.58,70.3,1,Ground
glass,food,44.0,17.0,0.51,0.46,24.43,76.9,1,Air
bagasse,electronics,81.0,13.0,0.28,0.02,1.72,,1,Ground
jute,home,82.0,14.0,0.79,0.02,4.93,90.9,1,Ground
glass,food,81.0,13.0,0.73,0.52,16.36,78.9,2,
bamboo,cosmetics,59.0,19.0,0.19,0.7,3.84,75.1,2,Ground
bamboo,electronics,62.0,24.0,0.12,0.94,14.94,97.1,1,Ground
glass,electronics,86.0,6.0,,0.18,14.41,36.6,1,Air
bamboo,electronics,81.0,17.0,0.52,0.1,24.29,61.1,,Ground
glass,cosmetics,38.0,6.0,0.76,0.05,22.14,91.0,1,Ground
plastic,cosmetics,83.0,23.0,0.26,0.44,23.67,79.1,2,Air
glass,pharmaceuticals,30.0,6.0,,0.62,3.28,56.3,1,Ground
metal,food,73.0,7.0,0.28,0.84,21.77,,1,
glass,pharmaceuticals,38.0,10.0,0.11,0.68,3.66,65.3,3,Air
bamboo,food,61.0,7.0,0.13,0.21,16.01,52.7,2,Ground
metal,cosmetics,44.0,14.0,0.74,0.46,18.14,18.4,2,Ground
bamboo,cosmetics,,,,0.91,4.44,88.2,1,
paper,pharmaceuticals,86.0,20.0,0.39,,16.0,34.3,3,Ground
paper,home,37.0,21.0,,0.5,1.79,38.7,3,Air
metal,pharmaceuticals,56.0,23.0,0.29,0.96,7.69,67.2,1,Ground
plastic,food,91.0,7.0,0.66,0.73,23.07,,1,Air
paper,pharmaceuticals,41.0,,0.53,0.75,4.71,,1,
glass,electronics,94.0,11.0,0.63,0.25,2.1,38.7,3,Ground
bamboo,food,71.0,13.0,0.41,0.41,11.37,9.4,1,Air
paper,food,91.0,24.0,0.32,0.08,21.34,19.1,2,
paper,home,40.0,16.0,0.44,0.61,2.38,0.7,1,Air
plastic,cosmetics,72.0,,0.33,0.1,9.21,18.1,1,Air
,food,46.0,7.0,0.69,0.84,22.54,33.0,1,Air
metal,cosmetics,61.0,15.0,0.31,0.81,3.39,53.8,2,Ground
bagasse,pharmaceuticals,69.0,8.0,0.56,0.53,8.11,91.9,1,Ground
plastic,electronics,52.0,9.0,0.2,0.14,19.57,54.0,2,
glass,home,85.0,5.0,0.58,0.03,13.81,70.6,2,Ground
metal,cosmetics,35.0,22.0,0.74,0.8,20.89,35.8,2,Ground
,food,79.0,16.0,0.53,0.6,3.23,75.2,3,Air
plastic,cosmetics,66.0,17.0,0.49,0.71,23.05,62.0,3,Ground
paper,food,93.0,13.0,0.77,0.3,23.41,46.0,3,Ground
bamboo,cosmetics,83.0,6.0,0.54,0.51,4.31,19.4,,Air
bamboo,food,78.0,9.0,0.28,0.75,1.33,30.4,1,Ground
paper,pharmaceuticals,40.0,17.0,0.3,0.46,24.75,62.1,1,Ground
plastic,food,78.0,20.0,0.59,0.6,12.32,42.6,3,
paper,food,50.0,20.0,0.61,0.79,14.52,88.9,2,Ground
bagasse,electronics,95.0,7.0,0.31,,,23.5,2,
bamboo,,92.0,8.0,0.34,0.07,19.85,7.3,1,Air
jute,electronics,57.0,15.0,,,20.39,58.9,2,Air
jute,home,46.0,18.0,0.17,0.06,,88.6,,
glass,electronics,35.0,7.0,0.38,,6.3,36.5,2,Air
metal,pharmaceuticals,48.0,20.0,0.14,0.72,21.98,64.8,,Air
paper,electronics,85.0,19.0,0.67,0.88,20.58,23.1,2,Ground
paper,home,57.0,14.0,0.16,0.64,15.63,,1,
glass,pharmaceuticals,95.0,13.0,0.57,0.07,24.87,78.7,2,Air
,cosmetics,67.0,15.0,0.14,0.25,18.51,86.7,2,Air
glass,cosmetics,66.0,20.0,0.57,0.81,5.79,10.5,3,Ground
bamboo,,97.0,,0.69,0.17,21.24,,2,Ground
bagasse,electronics,78.0,,,0.7,10.66,64.0,2,Air
paper,home,72.0,23.0,0.47,0.78,,,,Ground
bamboo,home,,6.0,0.38,0.33,8.37,,1,Ground
glass,food,87.0,6.0,0.31,0.32,19.21,,2,Ground
,home,42.0,10.0,0.66,0.56,24.03,28.9,,Air
bamboo,food,81.0,23.0,0.29,0.86,7.27,81.5,1,Ground
bagasse,pharmaceuticals,87.0,12.0,0.61,0.22,6.54,29.0,3,
bamboo,electronics,61.0,7.0,0.24,0.94,14.31,99.1,2,Ground
,pharmaceuticals,89.0,18.0,0.27,0.6,20.39,81.6,1,Air
glass,home,87.0,20.0,0.34,0.99,18.79,70.8,1,
bagasse,pharmaceuticals,85.0,5.0,,0.09,14.22,6.1,1,Ground
,pharmaceuticals,,7.0,0.42,0.13,15.97,90.4,,Ground
glass,pharmaceuticals,30.0,22.0,,0.83,6.43,79.0,3,Air
paper,home,71.0,13.0,0.25,0.86,,22.9,,Ground
,pharmaceuticals,77.0,10.0,0.11,,6.76,39.2,3,
plastic,food,,5.0,0.64,,22.17,26.9,2,Ground
bagasse,home,92.0,,0.68,0.87,3.26,98.4,3,Air
plastic,pharmaceuticals,33.0,10.0,0.14,0.04,,85.4,3,Air
plastic,home,67.0,16.0,0.53,0.57,6.88,93.0,,Air
bagasse,cosmetics,56.0,,0.36,0.85,12.15,78.9,1,Air
glass,food,38.0,17.0,0.66,,7.84,45.6,2,Ground
jute,pharmaceuticals,45.0,21.0,0.71,0.3,8.42,20.5,2,Air
paper,cosmetics,85.0,12.0,0.7,0.8,6.88,20.8,1,Air
bamboo,cosmetics,60.0,24.0,0.64,0.34,18.94,15.2,,
paper,home,43.0,7.0,0.29,0.0,,54.7,3,Ground
bamboo,cosmetics,54.0,16.0,0.67,0.96,18.3,,2,Ground
paper,food,63.0,11.0,0.47,0.59,11.67,99.2,,Ground
bagasse,food,,,0.14,0.82,13.91,28.7,1,Ground
jute,electronics,53.0,6.0,0.42,0.83,13.81,69.7,3,Air
bamboo,food,55.0,18.0,0.76,0.07,24.41,59.7,2,Ground
metal,cosmetics,49.0,9.0,,0.17,,48.9,,Air
glass,food,93.0,13.0,0.17,0.31,5.59,66.6,,Air
paper,home,39.0,15.0,0.62,0.32,22.84,37.1,,Ground
paper,electronics,96.0,9.0,0.66,0.66,4.78,,1,
bamboo,cosmetics,53.0,7.0,0.29,,20.94,70.5,,Air
,electronics,34.0,21.0,0.43,0.49,4.18,75.4,,Air
glass,,96.0,6.0,0.6,0.21,,24.2,3,Ground
bagasse,home,87.0,5.0,0.41,0.38,4.19,,,Ground
metal,,56.0,11.0,0.18,0.54,,39.4,2,Air
bagasse,pharmaceuticals,44.0,18.0,0.59,0.47,14.34,76.7,2,Ground
bagasse,cosmetics,64.0,,0.74,0.13,8.57,93.9,1,
bagasse,pharmaceuticals,82.0,23.0,0.56,0.65,3.94,42.7,3,Air
bagasse,electronics,73.0,15.0,0.64,,9.59,77.4,3,Air
bagasse,pharmaceuticals,55.0,6.0,0.35,0.38,17.77,47.0,1,Air
jute,pharmaceuticals,,,,,9.93,29.5,1,
glass,electronics,63.0,13.0,0.55,0.02,6.53,73.9,2,
bagasse,,79.0,,0.33,0.57,14.65,79.8,3,
glass,pharmaceuticals,41.0,6.0,0.7,0.33,10.74,20.3,1,Ground
glass,,33.0,11.0,0.19,,4.56,30.5,1,Air
