product_id,product_name,product_category,product_subcategory,product_weight_g,volume_cm3,fragility_level,temperature_sensitivity,hazard_level,material_type,price_inr
P000023,Xiaomi Mi Power Bank 20000mAh,Electronics,Mobile Device,169.0,203.0,High,Medium,Low,Corrugated Paper,
P000024,Maybellice Mascara,Cosmetics,Haircare,495.0,402.0,Medium,Medium,Low,Recycled Paper,
P000025,Tata Salt 1kg,Food,Dairy,977.0,1099.0,Low,High,Low,LDPE Plastic,
P000026,Robust fault-tolerant intranet,Household Goods,Cleaning Supply,754.0,760.0,High,Low,Medium,EVOH Film,
P000027,Lakme 9to5 Lipstick,Cosmetics,Cream,125.0,175.0,High,Medium,Low,PHBV Bioplastic,
P000028,TP-Link Wireless Router,Electronics,Mobile Device,167.0,200.0,High,Medium,Low,Cellulose Acetate,
P000029,Lakme 9to5 Lipstick,Cosmetics,Cream,230.0,174.0,High,Medium,Low,PHA Bioplastic,
P000030,TP-Link Wireless Router,Electronics,Charger,240.0,298.0,Medium,Medium,Low,Stainless Steel,
P000031,Fortune Soya Oil 1L,Food,Snack,44.0,117.0,Low,Low,Low,LDPE Plastic,
P000032,Re-contextualizcd intangible protocol,Apparel,Topwear,241.0,2469.0,Low,Low,Low,Glass (Borosilicate),
P000033,Triple-buffered encompassing core,Apparel,Topwear,245.0,1816.0,Low,Low,Low,Jute Fiber,
P000034,Amul Butter 500g,Food,Canned Food,387.0,341.0,Medium,Medium,Low,Notpla (Seaweed-based),
P000035,Cross-platform executive secured line,Apparel,Bottomwear,749.0,2360.0,Low,Low,Low,Tinplate,
P000036,Optional local intranet,Household Goods,Cleaning Supply,814.0,1039.0,High,Low,Medium,Coir Fiber,
P000037,Samsung Galaxy S21,Electronics,Charger,190.0,363.0,Medium,Medium,Low,Newsprint,
P000038,Apple xPad 9th Gen,Electronics,Charger,238.0,370.0,Medium,Medium,Low,LDPE Plastic,
P000039,Sony WH-1000XM5 Headphones,Electronics,Charger,340.0,355.0,Medium,Medium,Low,AirCarbon,
P000040,Lakme 9to5 Lipstick,Cosmetics,Haircare,403.0,527.0,Medium,Medium,Low,Paperboard,
P000041,Maggi Noodles Pack,Food,Snack,63.0,112.0,Low,Low,Low,Notpla (Seaweed-based),
P000042,Up-sized value-added adapter,Pharmaceuticals,OTC Medicine,177.0,247.0,High,Medium,Medium,Coconut Husk Fiber,
P000043,Profound disintermediate throughput,Pharmaceuticals,OTC Medicine,165.0,204.0,High,Medium,Medium,PBAT Bioplastic,
P000044,Fortune Soya Oil 1L,Food,Snack,67.0,90.0,Low,Low,Low,AirCarbon,
P000045,Kissan Mixed Fruit Jam,Food,Dairy,1041.0,970.0,Low,High,Low,EVOH Film,
P000046,Dove Body Lotion 250ml,Cosmetics,Haircare,531.0,427.0,Medium,Medium,Low,Corrugated Paper,
P000047,Logitech MX Master 3 Mouse,Electronics,Mobile Device,176.0,185.0,High,Medium,Low,Paperboard,
P000048,Multi-layered regional benchmark,Apparel,Topwear,229.0,2392.0,Low,Low,Low,Sugarcane Bagasse,
P000049,Xiaomi Mi Power Bank 20000mAh,Electronics,Audio Device,806.0,915.0,Medium,Low,Low,PBAT Bioplastic,
P000050,Advanced cohesive algorithm,Household Goods,Cleaning Supply,794.0,969.0,High,Low,Medium,Greaseproof Paper,
P000051,Nestle Milkmaid,Food,Snack,46.0,101.0,Low,Low,Low,PP Plastic,
P000052,Ameliorated web-enabled monitoring,Household Goods,Cleaning Supply,1097.0,1159.0,Low,Low,Medium,Corrugated Paper,
P000053,Centralized optimizing analyzer,Pharmaceuticals,OTC Medicine,187.0,169.0,High,Medium,Medium,PLA Bioplastic,
P000054,Public-key dedicated project,Apparel,Topwear,284.0,1226.0,Low,Low,Low,Newsprint,
P000055,Total encompassing neural-net,Household Goods,Cleaning Supply,937.0,1153.0,Low,Low,Medium,PBAT Bioplastic,
P000056,Maggi Noodles Pack,Food,Canned Food,379.0,378.0,Medium,Medium,Low,Cellulose Acetate,
P000057,Assimilated client-server matrix,Apparel,Topwear,255.0,2492.0,Low,Low,Low,Hemp Fiber,
P000058,Samsung Galaxy S21,Electronics,Charger,269.0,,Medium,Medium,Low,PLA Bioplastic,
P000059,Re-contextualized systematic neural-net,Apparel,Topwear,218.0,1950.0,Low,Low,Low,Tinplate,
P000060,Tata Salt 1kg,Food,Canned Food,375.0,369.0,Medium,Medium,Low,PHBV Bioplastic,
P000061,Digitized stable neural-net,Pharmaceuticals,Liquid Medicine,246.0,278.0,High,High,Medium,PBAT Bioplastic,
P000062,Intuitive foreground approach,Household Goods,Cleaning Supply,666.0,752.0,High,Low,Medium,Newsprint,
P000063,Progressive non-volatile projection,Pharmaceuticals,OTC Medicine,,175.0,High,Medium,Medium,Glass (Borosilicate),
P000064,Networked client-server paradigm,Household Goods,Cleaning Supply,757.0,702.0,High,Low,Medium,Newsprint,
P000065,Re-engineered foreground instruction set,Pharmaceuticals,Liquid Medicine,241.0,353.0,High,High,Medium,Newsprint,
P000066,Xiaomi Mi Power Bank 20000mAh,Electronics,Mobile Device,216.0,145.0,High,Medium,Low,Greaseproof Paper,
P000067,Balanced interactive service-desk,Household Goods,Cleaning Supply,842.0,1145.0,High,Low,Medium,Kraft Paper,
P000068,L'Oréal Paris Shampoo 175ml,Cosmetics,Haircare,486.0,502.0,Medium,Medium,Low,PHBV Bioplastic,
P000069,Biotique Neem Face Wash,Cosmetics,Haircare,358.0,425.0,Medium,Medium,Low,Mushroom Packaging,
P000070,Fortune Soya Oil 1L,Food,Snack,58.0,143.0,Low,Low,Low,Bamboo Pulp,
P000071,Dell Inspiron 15,Electronics,Charger,247.0,593.0,Medium,Medium,Low,Sugarcane Bagasse,
P000072,Enterprise-wide composite open system,Apparel,Topwear,214.0,1576.0,Low,Low,Low,Wheat Straw,
P000073,Apple iPad 9th Gen,Electronics,Audio Device,777.0,,Medium,Low,Low,Paperboard,
P000074,Mandatory transitional encoding,Pharmaceuticals,OTC Medicine,81.0,102.0,High,Medium,Medium,Tinplate,
P000075,Xiaomi Mi Power Bank 20000mAh,Electronics,Audio Device,543.0,1392.0,Medium,Low,Low,PET Plastic,
P000076,Right-sized 6thgeneration intranet,Household Goods,Cleaning Supply,639.0,784.0,High,Low,Medium,Sugarcane Bagasse,
P000077,Nestle Milkmaid,Food,Canned Food,378.0,317.0,Medium,Medium,Low,Glass (Soda-lime),
P000078,Apple iPad 9th Gen,Electronics,Charger,245.0,577.0,Medium,Medium,Low,Greaseproof Paper,
P000079,Multi-layered zero-defect standardization,Pharmaceuticals,OTC Medicine,87.0,223.0,High,Medium,Medium,HDPE Plastic,
P000080,Pond’s BB Crkam,Cosmetics,Cream,121.0,152.0,High,Medium,Low,Tinplate,
P000081,Operative solution-oriznted support,Apparel,Bottomwear,895.0,3477.0,Low,Low,Low,Coir Fiber,
P000082,Logitech MX Master 3 Mouse,Electronics,Audio Device,613.0,843.0,Medium,Low,Low,Notpla (Seaweed-based),
P000083,Dove Body Lotion 250ml,Cosmetics,Cream,236.0,217.0,High,Medium,Low,Paperboard,
P000084,Focused user-facing algorithm,Apparel,Topwear,277.0,2437.0,Low,Low,Low,PP Plastic,
P000085,Maggi Noodles kack,Food,Dairy,1053.0,1116.0,Low,High,Low,Tinplate,
P000086,Logitech MX Master 3 Mouse,Electronics,Audio Device,666.0,1315.0,Medium,Low,Low,Corrugated Paper,
P000087,Enhanced bottom-line alliance,Household Goods,Cleaning Supply,910.0,1021.0,Low,Low,Medium,Mushroom Packaging,
P000088,Mamaearth Ubtan Face Pack,Cosmetics,Cream,166.0,224.0,High,Medium,Low,Palm Fiber,
P000089,Canon EOS 1500D DSLR,Electronics,Mobile Device,197.0,126.0,High,Medium,Low,PHBV Bioplastic,
P000090,Nivea Men Face Wash,Cosmetics,Haircare,494.0,556.0,Medium,Medium,Low,PET Plastic,
P000091,Apple iPad 9th Gen,Electronics,Audio Device,0.0,1392.0,Medium,Low,Low,Paperboard,
P000092,Amul Butter 500g,Food,Snack,75.0,120.0,Low,Low,Low,Palm Fiber,
P000093,Extended secondary challenge,Pharmaceuticals,Liquid Medicine,216.0,321.0,High,High,Medium,Mushroom Packaging,
P000094,Nivea Men Face Whsh,Cosmetics,Haircare,572.0,688.0,Medium,Medium,Low,Aluminum Foil,
P000095,Sony WH-1000XM5 Headphones,Electronics,Mobile Device,178.0,241.0,High,Medium,Low,Wheat Straw,
P000096,Fundamental encompassing success,Pharmaceuticals,Liquid Medicine,283.0,368.0,High,High,Medium,PET Plastic,
P000097,Canon EOS 1500D DSLR,Electronics,Audio Device,863.0,1141.0,Medium,Low,Low,Aluminum Foil,
P000098,Dove Body Lotion 250ml,Cosmetics,Cream,185.0,296.0,High,Medium,Low,Jute Fiber,
P000099,Visionary methodical firmware,Pharmaceuticals,OTC Medicine,108.0,136.0,High,Medium,Medium,Plasticc,
P000100,Cross-group exuding architecture,Pharmaceuticals,OTC Medicine,100.0,245.0,High,Medium,Medium,PBAT Bioplastic,
P000101,Logitech MX Master 3 Mouse,Electronics,Charger,300.0,258.0,Medium,Medium,Low,Tinplate,
P000102,Maybellinb Mascara,Cosmetics,Haircare,583.0,448.0,Medium,Medium,Low,Coconut Husk Fiber,
P000103,Cloned bottom-line implementation,Household Goods,Cleaning Supply,887.0,1116.0,Low,Low,Medium,Tinplate,
P000104,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,249.0,209.0,High,Medium,Low,EVOH Film,
P000105,Versatile executive data-warehouse,Apparel,Bottomwear,830.0,3283.0,Low,Low,Low,Palm Fiber,
P000106,Team-oriented bi-directional analyzer,Pharmaceuticals,OTC Medicine,87.0,138.0,High,Medium,Medium,Greaseproof Paper,
P000107,Vision-oriented eco-centric moratorium,Household Goods,Cleaning Supply,945.0,,Low,Low,Medium,PET Plastic,
P000108,Devolved cohesive monitoring,Pharmaceuticals,Liquid Medicine,397.0,347.0,High,High,Medium,Tinplate,
P000109,Nivea Men Face Wash,Cosmetics,Cream,122.0,233.0,High,Medium,Low,PLA Bioplastic,
P000110,Switchable incremental product,Household Goods,Cleaning Supply,656.0,741.0,High,Low,Medium,Mushroom Packaging,
P000111,Apple iPad 9th Gen,Electronics,Mobile Device,196.0,190.0,High,Medium,Low,HDPE Plastic,
P000112,Mamaearth Ubtan Face Pack,Cosmetics,Haircare,477.0,455.0,Medium,Medium,Low,PS Plastic,
P000113,Monitored global adapter,Apparel,Topwear,248.0,1935.0,Low,Low,Low,Coir Fiber,
P000114,Mamaearth Ubtan Face Pack,Cosmetics,Cream,228.0,242.0,High,Medium,Low,Paperboard,
P000115,Organized dedicated customer loyalty,Pharmaceuticals,OTC Medicine,161.0,189.0,High,Medium,Medium,Stainless Steel,
P000116,Right-sized eco-centric migration,Apparel,Bottomwear,713.0,2238.0,Low,Low,Low,LDPE Plastic,
P000117,Streamlined 24/7 toolset,Pharmaceuticals,OTC Medicine,153.0,216.0,High,Medium,Medium,Jute Fiber,
P000118,Sunfeast Dark Fantasy Choco Fills,Food,Snack,71.0,136.0,Low,Low,Low,PET Plastic,
P000119,Total global groupware,Pharmaceuticals,Liquid Medicine,236.0,385.0,High,High,Medium,Kraft Paper,
P000120,Innovative systemic definition,Pharmaceuticals,Liquid Medicine,272.0,361.0,High,High,Medium,Hemp Fiber,
P000121,TP-Link Wireless Router,Electronics,Charger,336.0,436.0,Medium,Medium,Low,Jute Fiber,
P000122,Optional 24/7 hardware,Household Goods,Cleaning Supply,780.0,822.0,High,Low,Medium,Seaweed Film,
P000123,Sony WH-1000XM5 Headphones,Electronics,Audio Device,502.0,1117.0,Medium,Low,Low,HDPE Plastic,
P000124,Fortune Soya Oil 1L,Food,Snack,76.0,108.0,Low,Low,Low,Edible Films,
P000125,Mamaearth Ubtan Face Pack,Cosmetics,Haircare,391.0,568.0,Medium,Medium,Low,HDPE Plastic,
P000126,Public-key bottom-line artificial intelligence,Apparel,Bottomwear,803.0,3254.0,Low,Low,Low,Coir Fiber,
P000127,Synchronized zero tolerance solution,Pharmaceuticals,OTC Medicine,151.0,171.0,High,Medium,Medium,PHA Bioplastic,
P000128,Assimilated static toolset,Apparel,Topwear,196.0,2292.0,Low,Low,Low,PBAT Bioplastic,
P000129,Digitized eco-centric analyzer,Pharmaceuticals,OTC Medicine,121.0,172.0,High,Medium,Medium,PP Plastic,
P000130,Sunfeast Dark Fantasy Choco Fills,Food,Canned Food,395.0,417.0,Medium,Medium,Low,Rice Husk Composite,
P000131,Biotique Neem Face Wash,Cosmetics,Cream,215.0,288.0,High,Medium,Low,Tinplate,
P000132,Biotique Neem Face Wash,Cosmetics,Cream,205.0,192.0,High,Medium,Low,Newsprint,
P000133,Amul Butter 5g0g,Food,Snack,47.0,86.0,Low,Low,Low,PS Plastic,
P000134,Samsung Galaxy S21,Electronics,Charger,209.0,485.0,Medium,Medium,Low,EVOH Film,
P000135,Cross-platform foreground alliance,Apparel,Bottomwear,890.0,2257.0,Low,Low,Low,Recycled Paper,
P000136,Cross-platform upward-trending synergy,Household Goods,Cleaning Supply,1014.0,1201.0,Low,Low,Medium,PHBV Bioplastic,
P000137,Logitech MX Master 3 Mouse,Electronics,Audio Device,739.0,1072.0,Medium,Low,Low,Tinplate,
P000138,Enhanced bottom-line data-warehouse,Household Goods,Cleaning Supply,1041.0,909.0,Low,Low,Medium,PS Plastic,
P000139,Decentralized executive installation,Pharmaceuticals,Liquid Medicine,308.0,283.0,High,High,Medium,Glaass,
P000140,Open-source client-server portal,Apparel,Topwear,215.0,1246.0,Low,Low,Low,LDPE Plastic,
P000141,Dove Body Lotion 250ml,Cosmetics,Cream,174.0,237.0,High,Medium,Low,Jute Fiber,
P000142,Phased logistical capacity,Apparel,Bottomwear,807.0,3148.0,Low,Low,Low,Newsprint,
P000143,Maggi Noodles Pack,Food,Canned Food,394.0,392.0,Medium,Medium,Low,Tinplate,
P000144,Operative multi-tasking firmware,Pharmaceuticals,Liquid Medicine,246.0,331.0,High,High,Medium,Recycled Paper,
P000145,Networked fresh-thinking access,Apparel,Bottomwear,775.0,3405.0,Low,Low,Low,Cotton Fiber,
P000146,Nivea Men Face Wash,Cosmetics,Haircare,456.0,404.0,Medium,Medium,Low,Kraft Paper,
P000147,Sharable systemic infrastructure,Pharmaceuticals,OTC Medicine,136.0,108.0,High,Medium,Medium,Rice Husk Composite,
P000148,Fortune Soya Oil 1L,Food,Snack,80.0,128.0,Low,Low,Low,Sugarcane Bagasse,
P000149,Enterprise-wide client-driven customer loyalty,Pharmaceuticals,Liquid Medicine,275.0,347.0,High,High,Medium,PLA Bioplastic,
P000150,Mamaearth Ubtan Face Pack,Cosmetics,Cream,166.0,209.0,High,Medium,Low,Stainless Steel,
P000151,De-engineered systemic alliance,Apparel,Bottomwear,787.0,3448.0,Low,Low,Low,Glass (Soda-lime),
P000152,Nestle Milkmaid,Food,Snack,75.0,104.0,Low,Low,Low,AirCarbon,
P000153,Cross-platform stable function,Pharmaceuticals,Liquid Medicine,294.0,257.0,High,High,Medium,PET Plastic,
P000154,Organic bandwidth-monitored installation,Household Goods,Cleaning Supply,763.0,744.0,High,Low,Medium,Rice Husk Composite,
P000155,Kissan Mixed Fruit Jam,Food,Snack,62.0,142.0,Low,Low,Low,LDPE Plastic,
P000156,Extended logistical open architecture,Household Goods,Cleaning Supply,931.0,1313.0,Low,Low,Medium,Corrugated Paper,
P000157,Logitech Mm Master 3 Mouse,Electronics,Mobile Device,159.0,231.0,High,Medium,Low,HDPE Plastic,
P000158,Maybellsne Mascara,Cosmetics,Haircare,371.0,566.0,Medium,Medium,Low,Tinplate,
P000159,Pond’s BB Cream,Cosmetics,Cream,187.0,300.0,High,Medium,Low,Glass (Borosilicate),
P000160,Xiaomi Mi Power Bank 20000mAh,Electronics,Charger,343.0,546.0,Medium,Medium,Low,Aluminum Foil,
P000161,Business-focused regional standardization,Apparel,Topwear,267.0,1553.0,Low,Low,Low,Coconut Husk Fiber,
P000162,Amul Butter 500g,Food,Snack,59.0,149.0,Low,Low,Low,Seaweed Film,
P000163,Front-line contextually-based project,Apparel,Topwear,227.0,2499.0,Low,Low,Low,HDPE Plastic,
P000164,Up-sized didactic array,Pharmaceuticals,OTC Medicine,179.0,223.0,High,Medium,Medium,Recycled Paper,
P000165,Multi-layered 4thgeneration approach,Household Goods,Cleaning Supply,857.0,1062.0,Low,Low,Medium,Rice Husk Composite,
P000166,Synergistic well-modulated throughput,Apparel,Topwear,297.0,2255.0,Low,Low,Low,Hemp Fiber,
P000167,Ergonomic exuding strategy,Household Goods,Cleaning Supply,750.0,1147.0,High,Low,Medium,Jute Fiber,
P000168,Auul Butter 500g,Food,Snack,64.0,123.0,Low,Low,Low,Cellulose Acetate,
P000169,Samsung Galaxy S21,Electronics,Audio Device,493.0,1442.0,Medium,Low,Low,PHBV Bioplastic,
P000170,Sony WH-1000XM5 Headphones,Electronics,Charger,303.0,293.0,Medium,Medium,Low,PP Plastic,
P000171,Advanced systemic capability,Apparel,Topwear,231.0,1449.0,Low,Low,Low,Paperboard,
P000172,Networked intermediate architecture,Household Goods,Cleaning Supply,954.0,1029.0,Low,Low,Medium,Kraft Paper,
P000173,Versatile systematic customer loyalty,Household Goods,Cleaning Supply,643.0,801.0,High,Low,Medium,Seaweed Film,
P000174,Nivea Men Face Wash,Cosmetics,Haircare,446.0,647.0,Medium,Medium,Low,Edible Films,
P000175,Programmable national benchmark,Apparel,Bottomwear,900.0,2799.0,Low,Low,Low,Glass (Soda-lime),
P000176,Nestle Milkmaid,Food,Snack,78.0,150.0,Low,Low,Low,PS Plastic,
P000177,Tata Salt 1kg,Food,Canned Food,408.0,408.0,Medium,Medium,Low,Coir Fiber,
P000178,Diverue global adapter,Apparel,Bottomwear,837.0,3245.0,Low,Low,Low,Kraft Paper,
P000179,Total fresh-thinking focus group,Household Goods,Cleaning Supply,,956.0,High,Low,Medium,Recycled Paper,
P000180,Amul Butter 500g,Food,Snack,44.0,124.0,Low,Low,Low,EVOH Film,
P000181,Function-based user-facing secured line,Apparel,Topwear,256.0,1873.0,Low,Low,Low,Coconut Husk Fiber,
P000182,Fundamental 24hour adapter,Pharmaceuticals,OTC Medicine,83.0,239.0,High,Medium,Medium,Tinplate,
P000183,Realigned interactive solution,Pharmaceuticals,Liquid Medicine,301.0,289.0,High,High,Medium,PS Plastic,
P000184,Sony WH-1000XM5 Headphones,Electronics,Mobile Device,190.0,233.0,High,Medium,Low,Mushroom Packaging,
P000185,Aashirvaad Atta 5kg,Food,Dairy,948.0,1159.0,Low,High,Low,Coconut Husk Fiber,
P000186,Optional explicit success,Pharmaceuticals,Liquid Medicine,209.0,359.0,High,High,Medium,AirCarbon,
P000187,Dell Inspiron 15,Electronics,Audio Device,647.0,1131.0,Medium,Low,Low,PBAT Bioplastic,
P000188,Logitech MX Master 3 Mouse,Electronics,Mobile Device,170.0,242.0,High,Medium,Low,HDPE Plastic,
P000189,Multi-channeled non-volatile migration,Apparel,Topwear,181.0,1503.0,Low,Low,Low,Sugarcane Bagasse,
P000190,Aashirvaad Atta 5kg,Food,Snack,44.0,91.0,Low,Low,Low,Corrugated Paper,
P000191,Synergistic uniform portal,Household Goods,Cleaning Supply,1064.0,939.0,Low,Low,Medium,Glaass,
P000192,Open-source neutral superstructure,Pharmaceuticals,Liquid Medicine,321.0,368.0,High,High,Medium,LDPE Plastic,
P000193,Dell Inspiron 15,Electronics,Charger,0.0,521.0,Medium,Medium,Low,Seaweed Film,
P000194,Ameliorated client-driven database,Pharmaceuticals,OTC Medicine,81.0,148.0,High,Medium,Medium,AirCarbon,
P000195,Secured next generation superstructure,Apparel,Topwear,225.0,1690.0,Low,Low,Low,Seaweed Film,
P000196,Down-sized explicit frame,Household Goods,Cleaning Supply,1067.0,1157.0,Low,Low,Medium,PHA Bioplastic,
P000197,Intuitive context-sensitive methodology,Pharmaceuticals,OTC Medicine,178.0,122.0,High,Medium,Medium,Edible Films,
P000198,Secured hybrid capability,Apparel,Bottomwear,747.0,2853.0,Low,Low,Low,Hemp Fiber,
P000199,Down-sized multi-tasking artificial intelligence,Pharmaceuticals,OTC Medicine,114.0,247.0,High,Medium,Medium,Sugarcane Bagasse,
P000200,Aashmrvaad Atta 5kg,Food,Dairy,991.0,1193.0,Low,High,Low,PHBV Bioplastic,
P000201,Aashirvaad Atta 5kg,Food,Canned Food,370.0,375.0,Medium,Medium,Low,HDPE Plastic,
P000202,Monitored methodical analyzer,Household Goods,Cleaning Supply,658.0,962.0,High,Low,Medium,Tinplate,
P000203,Samsung Galaxy S21,Electronics,Charger,294.0,516.0,Medium,Medium,Low,LDPE Plastic,
P000204,Dell Inspiron 15,Electronics,Charger,350.0,503.0,Medium,Medium,Low,PLA Bioplastic,
P000205,Managed solution-oriented open architecture,Apparel,Bottomwear,916.0,2775.0,Low,Low,Low,LDPE Plastic,
P000206,Horizontal asymmetric application,Household Goods,Cleaning Supply,780.0,705.0,High,Low,Medium,PHBV Bioplastic,
P000207,Expanded discrete policy,Apparel,Bottomwear,976.0,2783.0,Low,Low,Low,AirCarbon,
P000208,Function-based explicit standardization,Pharmaceuticals,Liquid Medicine,330.0,439.0,High,High,Medium,Coconut Husk Fiber,
P000209,Maggi Noodles Pack,Food,Canned Food,401.0,362.0,Medium,Medium,Low,PHBV Bioplastic,
P000210,Tata Salt 1kg,Food,Dairy,1064.0,1165.0,Low,High,Low,PP Plastic,
P000211,Compatible responsive collaboration,Apparel,Bottomwear,0.0,2345.0,Low,Low,Low,Jute Fiber,
P000212,Nivea Men Face Wash,Cosmetics,Cream,191.0,263.0,High,Medium,Low,Rice Husk Composite,
P000213,Xiaomi Mi Power Bank 20000mAh,Electronics,Charger,241.0,497.0,Medium,Medium,Low,Corrugated Paper,
P000214,Kissan Mixed Fruit Jam,Food,Snack,76.0,137.0,Low,Low,Low,Hemp Fiber,
P000215,Nivea Men Face Wash,Cosmetics,Cream,162.0,192.0,High,Medium,Low,HDPE Plastic,
P000216,Synchronized dynamic contingency,Household Goods,Cleaning Supply,669.0,805.0,High,Low,Medium,Tinplate,
P000217,Fundamental 5thgeneration orchestration,Household Goods,Cleaning Supply,653.0,830.0,High,Low,Medium,Glass (Soda-lime),
P000218,Innovative zero-defect matrix,Household Goods,Cleaning Supply,1128.0,1267.0,Low,Low,Medium,Kraft Paper,
P000219,Front-line neutral encoding,Household Goods,Cleaning Supply,662.0,839.0,High,Low,Medium,Coir Fiber,
P000220,Team-oriented 24hour alliance,Household Goods,Cleaning Supply,1045.0,900.0,Low,Low,Medium,Tinplate,
P000221,User-centric exuding open architecture,Apparel,Topwear,183.0,1370.0,Low,Low,Low,Jute Fiber,
P000222,Maybelline Maicara,Cosmetics,Haircare,587.0,421.0,Medium,Medium,Low,Hemp Fiber,
P000223,Aashirvaad Atta 5kg,Food,Dairy,1002.0,1089.0,Low,High,Low,Sugarcane Bagasse,
P000224,Dove Body Lotion 250ml,Cosmetics,Cream,138.0,261.0,High,Medium,Low,Glass (Borosilicate),
P000225,Nivea Men Face Wash,Cosmetics,Haircare,402.0,511.0,Medium,Medium,Low,Paperboard,
P000226,Dell Inspiron 15,Electronics,Audio Device,466.0,1044.0,Medium,Low,Low,Hemp Fiber,
P000227,Pond’s BB Cream,Cosmetics,Cream,187.0,297.0,High,Medium,Low,AirCarbon,
P000228,Object-based interactive core,Household Goods,Cleaning Supply,617.0,1091.0,High,Low,Medium,EVOH Film,
P000229,Nestle Miekmaid,Food,Canned Food,376.0,409.0,Medium,Medium,Low,Paperboard,
P000230,Logitech MX Master 3 Mouse,Electronics,Mobile Device,180.0,157.0,High,Medium,Low,Cellulose Acetate,
P000231,Digitized bifurcated instruction set,Apparel,Topwear,231.0,2473.0,Low,Low,Low,Seaweed Film,
P000232,Logitech MX Master 3 Mouse,Electronics,Charger,241.0,365.0,Medium,Medium,Low,PS Plastic,
P000233,Multi-lateral global model,Apparel,Topwear,291.0,1804.0,Low,Low,Low,Glass (Soda-lime),
P000234,Maggi Noodles Prck,Food,Dairy,1052.0,1013.0,Low,High,Low,Aluminum Foil,
P000235,Team-oriented value-added monitoring,Pharmaceuticals,OTC Medicine,91.0,164.0,High,Medium,Medium,Notpla (Seaweed-based),
P000236,L'Oréal Paris Shampoo 175ml,Cosmetics,Cream,209.0,280.0,High,Medium,Low,PS Plastic,
P000237,Maybelline Mascara,Cosmetics,Cream,195.0,244.0,High,Medium,Low,Aluminum Foil,
P000238,Dove Body Lotion 250ml,Cosmetics,Haircare,373.0,,Medium,Medium,Low,Recycled Paper,99999.0
P000239,Tata Salt 1kg,Food,Dairy,1034.0,1120.0,Low,High,Low,Cotton Fiber,
P000240,Ndtworked mobile artificial intelligence,Household Goods,Cleaning Supply,798.0,1163.0,High,Low,Medium,AirCarbon,
P000241,Mamaearth Ubtan Face Pack,Cosmetics,Haircare,356.0,536.0,Medium,Medium,Low,PHBV Bioplastic,
P000242,Tata Salt 1kg,Food,Snack,41.0,111.0,Low,Low,Low,Notpla (Seaweed-based),
P000243,Samsung Galaxy S21,Electronics,Charger,188.0,398.0,Medium,Medium,Low,Cellulose Acetate,
P000244,Down-sized background benchmark,Apparel,Bottomwear,956.0,2610.0,Low,Low,Low,PVC Plastic,
