material_type,product_category,strength,weight_capacity,cost_per_unit,biodegradability_score,co2_emission_score,recyclability_percentage,fragility_level,shipping_type,co2_impact_index,cost_efficiency_index,material_suitability_score
glass,food,80.0,15.2,0.35,0.01,9.15,85.9,1.0,ground,0.3519967064635653,0.39396041399431025,0.44099719896291717
jute,cosmetics,41.0,5.7,0.26,0.96,1.52,62.1,2.0,ground,0.03787566899958831,0.17119059910138174,0.3220448924599941
glass,home,80.0,11.6,0.45,0.01,17.76,89.8,1.0,ground,0.7064635652531907,0.2289188857413023,0.35758463754454967
paper,pharmaceuticals,54.0,9.3,0.19,0.93,1.38,86.7,2.0,ground,0.03211198023878139,0.5414300773020846,0.4776255211255009
plastic,electronics,64.0,11.2,0.28,0.15,14.31,43.2,3.0,air,0.5644298065047345,0.3856925494166379,0.24130090710620195
bagasse,electronics,47.0,7.6,0.26,0.96,0.62,76.0,3.0,air,0.0008233841086867031,0.24445772704295182,0.40615286303660897
plastic,pharmaceuticals,52.0,8.3,0.2,0.1,7.79,42.0,2.0,ground,0.29600658707286953,0.4650929608089472,0.17018995228537007
bagasse,electronics,49.0,8.5,0.17,0.96,0.81,89.3,3.0,air,0.008645533141210379,0.5536728058578195,0.4602499556821015
glass,electronics,91.0,13.9,0.58,0.01,9.46,88.5,3.0,air,0.3647591601482092,0.1741976834409485,0.45842485113466747
plastic,pharmaceuticals,58.0,8.2,0.36,0.16,13.47,40.4,2.0,ground,0.5298476739398931,0.181495872826403,0.16848003958999927
bagasse,pharmaceuticals,39.0,5.3,0.15,0.97,0.67,88.6,2.0,ground,0.002881844380403461,0.4502219646806311,0.37613310098836017
bamboo,electronics,40.0,6.0,0.34,0.9,0.99,81.7,3.0,air,0.016055990119390698,0.06431799512949425,0.34643535075855036
plastic,cosmetics,63.0,9.0,0.39,0.16,10.96,54.0,2.0,ground,0.42651296829971186,0.18324778581768736,0.23717954706864763
plastic,electronics,78.0,12.5,0.34,0.23,7.83,31.4,3.0,air,0.29765335529024295,0.37991793460515966,0.3336907334935409
bamboo,food,44.0,8.8,0.24,0.81,1.35,72.0,1.0,ground,0.030876904075751343,0.26857078899523024,0.3695490789887851
paper,pharmaceuticals,42.0,6.7,0.19,0.91,1.4,89.1,2.0,ground,0.03293536434746809,0.3561391888488873,0.3911791894810737
bamboo,food,45.0,7.3,0.21,0.79,1.35,73.2,1.0,ground,0.030876904075751343,0.3386136067449309,0.35430504463094
paper,electronics,43.0,6.7,0.17,0.86,1.14,86.4,3.0,air,0.022231370934540962,0.44303584910640953,0.3825048163314303
bagasse,home,40.0,5.6,0.2,0.96,0.64,79.9,1.0,ground,0.0016467682173734062,0.28786091024802185,0.3610561939816143
plastic,home,47.0,6.6,0.29,0.22,11.97,78.7,1.0,ground,0.46809386578839035,0.18375907903731728,0.20126960581537073
plastic,pharmaceuticals,76.0,12.3,0.24,0.14,8.69,33.5,2.0,ground,0.3330588719637711,0.6252455643923863,0.312431691202966
plastic,home,72.0,12.2,0.19,0.25,9.2,31.0,1.0,ground,0.35405516673528203,0.806675253238511,0.3121147777137739
plastic,food,49.0,8.9,0.31,0.06,12.38,49.7,1.0,ground,0.48497324001646774,0.18845308053891355,0.14613506615951577
paper,electronics,52.0,8.4,0.23,0.99,1.04,91.9,3.0,air,0.018114450391107456,0.3713139776148515,0.4779405690178905
paper,cosmetics,48.0,8.5,0.15,0.95,0.89,82.3,2.0,ground,0.011939069575957187,0.6463423649662505,0.4406202872638876
jute,home,49.0,8.3,0.23,0.97,1.07,67.8,1.0,ground,0.01934952655413751,0.33881355081483483,0.40976563838277313
plastic,cosmetics,52.0,9.0,0.4,0.14,14.13,46.3,2.0,ground,0.5570193495265542,0.1058071381691169,0.15570214325640994
bagasse,pharmaceuticals,37.0,6.4,0.16,0.99,0.96,82.4,2.0,ground,0.014820913956360642,0.39214970064793286,0.371598387329344
bamboo,pharmaceuticals,46.0,8.9,0.22,0.77,1.29,81.3,2.0,ground,0.028406751749691234,0.33981417817529114,0.39247577389403754
glass,home,87.0,8.4,0.48,0.0,15.63,89.7,1.0,ground,0.6187731576780569,0.21733118589541245,0.3491332913585303
bamboo,electronics,42.0,5.6,0.32,0.81,0.98,74.2,3.0,air,0.015644298065047347,0.09676443982650886,0.3177840582644898
plastic,pharmaceuticals,50.0,8.8,0.29,0.05,6.93,45.3,2.0,ground,0.26060107039934133,0.22699661565430934,0.16197341202619361
bamboo,food,49.0,7.4,0.28,0.83,0.73,82.7,1.0,ground,0.005351996706463566,0.2237893759241743,0.3980273080676926
metal,food,86.0,11.8,0.44,0.0,21.17,92.0,1.0,ground,0.8468505557842734,0.2740520823290521,0.3756038588664973
paper,electronics,53.0,8.4,0.19,0.88,0.97,90.3,3.0,air,0.015232606010703994,0.5173168794896821,0.4602210527167723
jute,pharmaceuticals,39.0,6.5,0.22,0.99,1.48,63.6,2.0,ground,0.036228900782214905,0.23678498630556497,0.3363565637298768
paper,cosmetics,44.0,8.4,0.25,0.9,1.24,88.9,2.0,ground,0.026348291477974475,0.24349312000813317,0.4166826692969388
bamboo,electronics,61.0,11.0,0.25,0.82,1.02,82.8,3.0,air,0.01729106628242075,0.43254082965321805,0.49806788911120886
jute,cosmetics,39.0,7.8,0.22,0.89,0.95,77.4,2.0,ground,0.01440922190201729,0.2510337043301016,0.3645401651195301
metal,food,78.0,12.2,0.37,0.0,23.74,91.7,1.0,ground,0.9526554137505145,0.3259220207658177,0.340175096735024
jute,home,35.0,5.5,0.15,0.9,1.27,78.7,1.0,ground,0.02758336764100453,0.3891352826244546,0.32457599536882503
paper,cosmetics,31.0,4.7,0.17,0.91,0.97,94.3,2.0,ground,0.015232606010703994,0.24445669596285305,0.33028122528078124
bagasse,cosmetics,47.0,6.9,0.25,0.91,0.65,75.7,2.0,ground,0.002058460271716758,0.25796105697076727,0.3866870582103617
bagasse,electronics,31.0,5.5,0.18,0.93,0.6,84.0,3.0,air,0.0,0.22704177922770657,0.32465747510248794
bagasse,pharmaceuticals,48.0,6.5,0.18,0.96,0.95,86.9,2.0,ground,0.01440922190201729,0.4681736868456958,0.4226183846293352
bagasse,pharmaceuticals,37.0,6.2,0.27,0.94,1.03,78.2,2.0,ground,0.0177027583367641,0.12389162209783207,0.3418654187406371
glass,cosmetics,76.0,14.5,0.58,0.03,17.53,93.9,2.0,ground,0.6969946480032936,0.11433022182878479,0.3832183927792929
jute,home,40.0,5.5,0.28,0.89,1.08,62.5,1.0,ground,0.01976121860848086,0.12991998278226735,0.30215939629832733
jute,pharmaceuticals,36.0,5.5,0.26,1.0,1.44,69.1,2.0,ground,0.0345821325648415,0.12296413513984192,0.3203554898890604
bamboo,home,42.0,6.3,0.33,0.77,0.87,65.1,1.0,ground,0.011115685467270483,0.09101017510270688,0.30021108486607984
metal,home,81.0,14.3,0.42,0.0,19.46,88.0,1.0,ground,0.7764512144915603,0.2852213732513425,0.3879172763383057
paper,pharmaceuticals,38.0,8.4,0.17,0.94,1.78,81.2,2.0,ground,0.04857966241251545,0.3962279058654283,0.38638954400753744
plastic,cosmetics,55.0,7.9,0.39,0.14,1.48,42.9,2.0,ground,0.036228900782214905,0.12698350572914266,0.19968960113900114
bamboo,pharmaceuticals,43.0,6.3,0.29,0.75,1.3,82.4,2.0,ground,0.028818443804034585,0.14800496221942003,0.3373754159855526
jute,cosmetics,37.0,6.1,0.27,0.99,1.46,77.7,2.0,ground,0.0354055166735282,0.12299853930465832,0.34771357177538953
glass,food,84.0,15.6,0.31,0.84,20.65,93.3,1.0,ground,0.825442568958419,0.5128151442063023,0.6006377516845043
glass,food,66.0,8.4,0.57,0.02,19.55,90.4,1.0,ground,0.7801564429806505,0.05282164703370308,0.24051527563566816
jute,electronics,35.0,6.5,0.28,0.87,1.21,69.9,3.0,air,0.025113215314944422,0.09547249906046658,0.30464583245366467
glass,home,69.0,10.9,0.58,0.01,16.75,93.4,1.0,ground,0.6648826677645121,0.07026111814205323,0.302315939765607
paper,cosmetics,38.0,6.4,0.24,0.88,1.31,90.9,2.0,ground,0.02923013585837794,0.18417450411252284,0.36413667454865856
glass,electronics,84.0,12.1,0.35,0.01,9.53,94.2,3.0,air,0.3676410045286126,0.4001609654931838,0.432033829963995
paper,pharmaceuticals,45.0,6.4,0.16,0.87,1.05,92.3,2.0,ground,0.018526142445450807,0.5127155707310939,0.40240882482443874
plastic,food,57.0,9.6,0.39,0.18,11.46,37.2,1.0,ground,0.4470975710168794,0.14986019103986964,0.18652685376791528
bamboo,home,42.0,8.3,0.28,0.89,1.04,67.1,1.0,ground,0.018114450391107456,0.1712569632484282,0.35833558510983754
plastic,home,66.0,9.5,0.27,0.1,6.43,35.2,1.0,ground,0.24001646768217375,0.41235736429294434,0.23371669782352872
metal,home,98.0,16.4,0.65,0.0,16.84,89.9,1.0,ground,0.6685878962536023,0.1624737176750186,0.48799810047769365
jute,cosmetics,51.0,8.4,0.21,0.93,1.66,66.0,2.0,ground,0.04363935776039523,0.42013922116590313,0.4071454558139148
plastic,electronics,78.0,13.5,0.37,0.14,1.48,52.1,3.0,air,0.036228900782214905,0.33439424709524945,0.395791909006015
glass,home,76.0,12.8,0.59,0.03,17.13,78.7,1.0,ground,0.6805269658295594,0.10100521243575857,0.329838212587365
bamboo,electronics,56.0,8.8,0.33,0.81,0.99,78.7,3.0,air,0.016055990119390698,0.21157643337025825,0.430392381424021
bamboo,cosmetics,44.0,6.7,0.26,0.82,0.92,75.1,2.0,ground,0.013174145738987241,0.20828787907179694,0.34985775084615156
plastic,cosmetics,47.0,8.6,0.19,0.24,7.79,47.2,2.0,ground,0.29600658707286953,0.44370817037813803,0.1919544557365743
glass,food,68.0,9.3,0.58,0.03,9.84,93.2,1.0,ground,0.3804034582132565,0.05945171535096809,0.3083823251000665
plastic,pharmaceuticals,49.0,8.1,0.2,0.18,8.51,45.7,2.0,ground,0.3256484149855908,0.4265118341562288,0.17510321490415207
bamboo,home,42.0,6.8,0.3,0.79,0.88,78.0,1.0,ground,0.011527377521613834,0.13032196348299965,0.33971222510001375
paper,home,33.0,5.4,0.14,0.94,1.53,79.6,1.0,ground,0.038287361053931664,0.3994691808090607,0.32404828222431054
glass,electronics,72.0,9.9,0.42,0.02,11.06,86.3,3.0,air,0.4306298888431454,0.20828856801964177,0.32440676740833174
glass,food,88.0,12.4,0.33,0.0,12.02,86.9,1.0,ground,0.47015232606010704,0.47170726938994473,0.42765743565681097
glass,food,87.0,13.6,0.57,0.01,12.64,86.4,1.0,ground,0.49567723342939485,0.16365813815705357,0.4202960564453927
jute,pharmaceuticals,54.0,8.1,0.27,0.87,1.28,73.6,2.0,ground,0.027995059695347883,0.29268427000766556,0.4169468857806933
bagasse,cosmetics,44.0,6.7,0.19,1.0,0.61,77.5,2.0,ground,0.00041169205434335156,0.3815215023356266,0.3972261099832004
bagasse,electronics,34.0,5.3,0.13,1.0,0.93,85.2,3.0,air,0.013585837793330592,0.4670386031887351,0.3537886649420845
plastic,cosmetics,75.0,13.0,0.27,0.06,12.7,46.1,2.0,ground,0.4981473857554549,0.5239927134396597,0.30879012930489785
paper,electronics,37.0,6.7,0.2,0.99,0.87,87.4,3.0,air,0.011115685467270483,0.26495336629797034,0.38338398556391656
paper,electronics,49.0,9.1,0.2,1.0,1.54,92.2,3.0,air,0.03869905310827501,0.4385684362352033,0.4771221041658368
jute,home,38.0,7.0,0.22,0.95,1.41,78.2,1.0,ground,0.033347056401811445,0.23130471014228166,0.36113609642013506
paper,cosmetics,50.0,9.1,0.14,0.88,1.15,81.4,2.0,ground,0.022643062988884313,0.7559993640121629,0.44123454671786744
paper,food,53.0,9.1,0.12,0.87,1.11,90.3,1.0,ground,0.020996294771510916,0.9859340111275917,0.4722512021236805
paper,pharmaceuticals,53.0,7.4,0.22,0.89,1.06,85.0,2.0,ground,0.018937834499794158,0.40009721597140757,0.435210804331079
plastic,food,75.0,11.8,0.2,0.16,11.67,37.3,1.0,ground,0.4557431041580898,0.7845929159017717,0.30382953194007956
paper,electronics,53.0,10.2,0.19,0.93,1.0,79.8,3.0,air,0.01646768217373405,0.5401609616277475,0.47278725404017824
bamboo,home,57.0,8.2,0.22,0.77,0.75,81.0,1.0,ground,0.006175380815150269,0.45270786713892736,0.432447406616422
paper,food,42.0,7.1,0.26,0.86,1.45,91.6,1.0,ground,0.03499382461918485,0.19344896708363088,0.3863827889368769
glass,pharmaceuticals,65.0,11.7,0.37,0.0,14.94,78.7,2.0,ground,0.5903664059283656,0.2379412088832572,0.286339787344333
jute,electronics,57.0,8.2,0.3,0.97,1.4,62.1,3.0,air,0.03293536434746809,0.26214103257713767,0.424946747629706
paper,cosmetics,45.0,6.4,0.22,0.91,1.44,79.5,2.0,ground,0.0345821325648415,0.301452245032308,0.378017834732991
paper,electronics,53.0,7.3,0.17,0.98,1.66,85.0,3.0,air,0.04363935776039523,0.5933886364865307,0.45306577124190284
metal,pharmaceuticals,95.0,13.7,0.46,0.0,16.98,95.1,2.0,ground,0.6743515850144092,0.3078869640173131,0.4625766408038365
plastic,cosmetics,53.0,7.7,0.42,0.15,13.76,40.1,2.0,ground,0.5417867435158502,0.08657398063814503,0.13176034886684995
plastic,cosmetics,63.0,10.3,0.27,0.17,10.58,28.9,2.0,ground,0.4108686702346645,0.3927095428431225,0.2154180408874517
metal,food,79.0,14.7,0.54,0.0,18.46,90.0,1.0,ground,0.7352820090572252,0.1564899188792539,0.3840412998223459
glass,electronics,84.0,15.1,0.59,0.02,10.59,92.3,3.0,air,0.41128036228900783,0.1431012842486689,0.44864854074013144
plastic,pharmaceuticals,75.0,13.8,0.28,0.06,9.57,47.5,2.0,ground,0.36928777274598606,0.5028139940707603,0.33463622268362386
bagasse,cosmetics,47.0,6.5,0.25,0.99,0.68,85.5,2.0,ground,0.0032935364347468125,0.25410294044739823,0.41735045288096095
paper,electronics,40.0,6.1,0.16,0.86,1.7,78.7,3.0,air,0.04528612597776863,0.43284068180099966,0.3439176639603923
jute,home,36.0,4.8,0.21,0.99,1.19,63.6,1.0,ground,0.024289831206257717,0.2065650763447648,0.30226931357127707
plastic,pharmaceuticals,52.0,9.2,0.24,0.08,1.48,28.4,2.0,ground,0.036228900782214905,0.35296707387793763,0.17336672858403143
bamboo,food,60.0,9.1,0.3,0.82,0.75,71.9,1.0,ground,0.006175380815150269,0.2934882502275729,0.4430206940982772
paper,pharmaceuticals,54.0,8.1,0.2,0.94,1.0,76.2,2.0,ground,0.01646768217373405,0.48679484455110145,0.442603825213527
metal,cosmetics,94.0,14.4,0.52,0.0,12.6,92.5,2.0,ground,0.49403046521202143,0.24074896571355817,0.47595147859355313
plastic,cosmetics,55.0,8.3,0.39,0.09,14.65,47.1,2.0,ground,0.5784273363524084,0.1294566608978699,0.1495290091412334
jute,home,38.0,5.7,0.18,0.94,1.1,71.0,1.0,ground,0.020584602717167565,0.3234945422749023,0.3309507858564552
jute,cosmetics,56.0,10.1,0.19,0.84,1.13,60.3,2.0,ground,0.021819678880197608,0.5769653161835195,0.4257656098504787
glass,home,68.0,9.5,0.48,0.03,21.31,90.2,1.0,ground,0.8526142445450802,0.1274087664506488,0.2650355716647387
metal,home,79.0,11.8,0.36,0.0,13.79,92.8,1.0,ground,0.5430218196788802,0.3462698007348414,0.3830826544578691
jute,home,54.0,10.4,0.22,0.97,1.54,67.1,1.0,ground,0.03869905310827501,0.4439394252776741,0.4572411809658598
plastic,electronics,50.0,6.9,0.2,0.11,17.93,78.7,3.0,air,0.7134623301770275,0.42410051374043384,0.1784479387502542
bamboo,pharmaceuticals,45.0,8.7,0.33,0.86,0.77,69.0,2.0,ground,0.0069987649238369715,0.13046822326299648,0.3721344018994395
metal,pharmaceuticals,87.0,14.7,0.48,0.0,23.02,88.5,2.0,ground,0.9230135858377932,0.2489798586608879,0.40137185620516436
bagasse,electronics,31.0,5.5,0.23,0.96,0.81,78.1,3.0,air,0.008645533141210379,0.12074617099536786,0.3139598577935381
glass,food,88.0,13.3,0.59,0.01,11.33,91.0,1.0,ground,0.44174557431041583,0.15209267822812544,0.433990428132921
jute,food,46.0,6.3,0.23,0.96,1.48,78.7,1.0,ground,0.036228900782214905,0.2863935075890014,0.3884659868808601
paper,pharmaceuticals,39.0,5.3,0.12,0.95,0.94,91.5,2.0,ground,0.01399752984767394,0.6282560083720622,0.379202689519849
paper,food,30.0,4.5,0.23,0.89,1.23,78.9,1.0,ground,0.025936599423631124,0.09977815370503448,0.2820177632131777
plastic,home,53.0,10.6,0.42,0.24,6.42,37.2,1.0,ground,0.2396047756278304,0.10322361759127427,0.21319246011956638
metal,pharmaceuticals,79.0,14.6,0.43,0.0,23.52,94.5,2.0,ground,0.9435981885549608,0.26296402877744485,0.3792185438373167
plastic,home,77.0,10.4,0.28,0.22,14.1,51.2,2.0,ground,0.5557842733635241,0.49075737476813014,0.3183599052234635
plastic,cosmetics,71.0,10.2,0.32,0.08,7.69,78.7,2.0,ground,0.29188966652943604,0.3499535582121971,0.34168061812393014
paper,electronics,35.0,6.1,0.15,0.88,1.13,76.7,3.0,air,0.021819678880197608,0.39878054821227193,0.3251395932321347
paper,pharmaceuticals,52.0,7.7,0.23,0.93,0.88,87.1,2.0,ground,0.011527377521613834,0.36397517156323483,0.4472497069552705
metal,home,78.0,10.5,0.41,0.0,22.68,95.4,1.0,ground,0.9090160559901194,0.2585735220649945,0.32624850944112865
