material_id,material_name,material_type,strength_score,weight_capacity_score,biodegradability_score,co2_emission_score,recyclability_percent,co2_impact_index,performance_index,material_suitability_score
64,Sal leaf plates,Lignocellulosic,3,2,95,90,35,47.5,2.5999999999999996,6.73
65,Sago palm starch films,Bio-based starch,2,2,95,80,25,45.5,2.0,8.5
66,Jackfruit seed bioplastics,Bio-based composite,2,2,90,88,30,49.0,2.0,5.659999999999997
67,Durian rind composites,Agro-waste composite,3,3,88,85,45,43.4,3.0,6.140000000000001
68,Mango seed coatings,Bio-based polymer,2,2,92,87,40,45.099999999999994,2.0,6.3799999999999955
69,Papaya leaf fibers,Agro-waste fiber,2,2,90,85,50,41.5,2.0,6.300000000000001
70,Guava pomace fillers,Agro-waste particle,2,3,88,82,55,38.9,2.4000000000000004,6.549999999999997
71,Lentil hull composites,Agro-waste composite,3,3,85,80,60,37.0,3.0,6.420000000000002
72,Chickpea straw pulp,Fiber-based,3,3,90,85,65,37.0,3.0,6.68
73,Soybean hull sheets,Agro-waste fiber,3,3,88,82,55,38.9,3.0,6.759999999999998
74,Alginate films (brown algae),Bio-based polysaccharide,2,2,95,93,25,52.0,2.0,5.899999999999999
75,Carrageenan wraps (red algae),Bio-based polysaccharide,2,2,95,92,25,51.5,2.0,6.099999999999998
76,Fucoidan-based trays,Bio-based polysaccharide,3,3,94,91,25,51.2,3.0,6.400000000000002
77,Pectin films (fruit-derived),Bio-based polysaccharide,2,2,92,88,30,48.599999999999994,2.0,6.159999999999997
78,Bacterial cellulose sheets,Bio-based (microbial),4,3,95,90,20,52.0,3.6,7.050000000000001
79,Pullulan films (fungal),Bio-based polysaccharide,2,2,95,92,25,51.5,2.0,6.099999999999998
80,Xanthan gum coatings,Bio-based polysaccharide,2,2,90,88,30,49.0,2.0,5.659999999999997
81,Guar gum composites,Bio-based polysaccharide,2,3,92,87,35,46.599999999999994,2.4000000000000004,6.509999999999998
82,Orange peel composites,Agro-waste composite,2,2,92,88,40,45.599999999999994,2.0,6.179999999999996
83,Lemon peel films,Agro-waste polymer,2,2,90,87,35,47.0,2.0,5.869999999999997
84,Pomegranate rind trays,Agro-waste composite,3,3,88,85,45,43.4,3.0,6.140000000000001
85,Grape pomace fillers,Agro-waste particle,2,3,90,86,50,42.0,2.4000000000000004,6.240000000000002
86,Tomato skin sheets,Agro-waste fiber,2,2,92,88,40,45.599999999999994,2.0,6.179999999999996
87,Onion peel composites,Agro-waste composite,3,3,85,82,55,39.5,3.0,6.009999999999998
88,Garlic husk padding,Agro-waste particle,2,2,88,85,50,41.9,2.0,5.800000000000001
89,Eggshell calcium composites,Bio-mineral composite,4,4,85,80,60,37.0,4.0,6.77
90,Crab shell chitin films,Bio-based polysaccharide,3,3,90,88,30,49.0,3.0,6.009999999999998
91,Shrimp shell chitosan trays,Bio-based polysaccharide,3,3,92,89,30,49.099999999999994,3.0,6.309999999999999
92,Fish scale bioplastics,Bio-based composite,3,3,85,85,25,50.0,3.0,5.350000000000001
93,Feather keratin foams,Bio-based protein,2,2,90,87,20,51.5,2.0,5.839999999999996
94,Wool fiber padding,Natural fiber (animal),3,3,85,75,70,31.5,3.0,7.440000000000001
95,Silk cocoons composites,Natural fiber (protein),3,3,80,80,40,44.0,3.0,5.129999999999999
96,Casein (milk protein) films,Bio-based protein,2,2,90,82,25,47.5,2.0,6.849999999999998
97,Gelatin-based wraps,Bio-based protein,2,2,95,85,20,49.5,2.0,7.489999999999998
98,Collagen sheets,Bio-based protein,3,3,92,88,30,48.599999999999994,3.0,6.509999999999998
99,Lignin foams (wood extract),Bio-based polymer,3,3,85,90,40,48.0,3.0,4.379999999999999
100,Hemicellulose films,Bio-based polysaccharide,2,2,90,88,35,47.5,2.0,5.669999999999998
101,Glucomannan noodles/padding,Bio-based polysaccharide,2,3,95,87,25,49.0,2.4000000000000004,7.239999999999998
102,Locust bean gum trays,Bio-based polysaccharide,2,2,92,86,30,47.599999999999994,2.0,6.559999999999999
103,Konjac glucomannan films,Bio-based polysaccharide,2,2,95,88,25,49.5,2.0,6.899999999999999
104,Fungal keratinase composites,Bio-based composite,3,3,95,92,20,53.0,3.0,6.439999999999998
105,Bacterial nanocellulose foams,Bio-based (microbial),4,4,95,90,20,52.0,4.0,7.189999999999998
106,PHA from bacteria (films),Bio-based polyester,3,3,95,85,25,48.0,3.0,7.850000000000001
107,PHB bottles/trays,Bio-based polyester,4,4,90,80,30,45.0,4.0,7.959999999999997
108,Polyhydroxybutyrate composites,Bio-based polyester,4,4,92,82,30,45.599999999999994,4.0,8.059999999999995
109,Spider silk-inspired synthetics,Bio-based protein mimic,5,4,85,88,40,47.0,4.6,5.339999999999996
110,Nettle fiber bags,Natural fiber,4,4,90,87,55,41.0,4.0,6.609999999999996
111,Willow bark composites,Lignocellulosic,3,3,88,85,60,38.9,3.0,6.170000000000002
